RunnerPosition,Surname,FirstName,Club,RunnerCategory,FinishTime
1,Balogh,Csoban,Carnethy HRC,M,00:31:31
2,Wilson,Felix,Carnethy HRC,M,00:31:38
3,Barrable,Julian,Corstorphine AAC,M,00:31:44
4,Fraser,Scott,HBT,M,00:33:23
5,Smith,Aidan,Carnethy HRC,M,00:33:37
6,Little,Robert,Unattached,M,00:34:07
7,Morgan,Tim,Carnethy HRC,M,00:34:11
8,Naylor,Donald,HBT,M50,00:35:28
9,Chepelin,Oleg,HBT,M,00:36:04
10,Flanagan,Dessie,Carnethy HRC,M40,00:36:17
11,Layet,Sam,Unattached,M,00:36:56
12,Lloyd,Sam,HBT,M,00:37:34
13,Webber,Eric Mussell,Unattached,M,00:37:44
14,Blackbourn,Luke,Carnethy HRC,M,00:37:52
15,Whitlie,Stewart,Carnethy HRC,M60,00:38:09
16,Wheeler,Gareth,Carnethy HRC,M,00:38:19
17,Stead,Sam,Carnethy HRC,M,00:38:21
18,McKenna,Bryan,Carnethy HRC,M40,00:38:32
19,Callender,James,Westerlands CCC,M,00:38:50
20,Rigby,James,Eryri,M,00:39:05
21,Menu,Sebastien,Carnethy HRC,M,00:39:24
22,Shaw,Ruairidh,Lochaber AC,M,00:39:31
23,Morton,David Benjamin,Musselburgh,M,00:39:54
24,Wilson,David,Carnethy HRC,M40,00:40:37
25,Skillcorn,Sam,Unattached,M,00:41:09
26,Crawford,Sarah,HBT,F,00:41:11
27,Wilson,Rob,Penicuik Harriers,M50,00:41:22
28,Sobolev,Yaakov,Unattached,M,00:41:35
29,Ball,Duncan,Penicuik Harriers,M60,00:42:09
30,Watts,Sam,Carnethy HRC,M,00:42:49
31,Spenceley,Andrew,Carnethy HRC,M60,00:43:01
32,Macintyre,Ian,Unattached,M40,00:43:09
33,McKiddie,Christopher,Westerlands CCC,M40,00:43:50
34,McAllister,Georgina,Penicuik Harriers,F40,00:43:55
35,McLure,Neil,Carnethy HRC,M50,00:43:58
36,Hodkinson,Joy,Unattached,F,00:44:15
37,Borodenkov,Alexey,Carnethy HRC,M40,00:44:27
38,Walker,Scott,Penicuik Harriers,M50,00:44:28
39,Magness,Steve,Unattached,M,00:44:40
40,Gilmour,Ewan,Carnethy HRC,M16,00:45:01
41,Micha?owski,Micha?,Unattached,M40,00:45:06
42,Young,Eleanor,Unattached,F,00:45:14
43,Krikke,Teun,NB Runners,M,00:45:54
44,McClelland,Peter,HBT,M40,00:46:06
45,Sumner,Philippa,Edinburgh Triathletes,F,00:47:08
46,Wise,Helen,Carnethy HRC,F40,00:47:25
47,Southworth,Cathy,Carnethy HRC,F50,00:47:43
48,Thom,Gary,Unattached,M,00:48:52
49,Crawford,Alistair,Carnethy HRC,M50,00:49:02
50,van Oijen,Marcel,Carnethy HRC,M60,00:49:18
51,Johnstone,Terry,EDOC,M50,00:50:34
52,McDougall,Ian,Carnethy HRC,M50,00:51:19
53,Slater,Rebecca,Carnethy HRC,F,00:52:12
54,Fordyce,Kenneth,Carnethy HRC,M50,00:52:37
55,Ritchie,Lucy,Carnethy HRC,F,00:53:31
56,Ascroft,Lorna,Carnethy HRC,F40,00:54:19
57,Seekamp,Ulf,Unattached,M60,00:54:29
58,Allen,Keith,Unattached,M60,00:55:12
59,Organ,Sarah,Unattached,F,00:56:54
60,Innes,Nicki,Carnethy HRC,F50,00:56:58
61,Priestner,Tom,Carnethy HRC,M,00:58:18
62,Wojtczuk,Anna,Unattached,F,00:58:25
