RunnerPosition,Surname,Firstname,Club,RunnerCategory,FinishTime
1,Wilby,Andrew,Highland HR,M40,01:26:25
2,Smith,Alan,Deeside Runners,M50,01:28:56
3,Whiteside,Gavin,Highland HR,M,01:32:45
4,Cabrera Valdes,Francisco Javier,Highland HR,M,01:33:35
5,Comber,Ayron,Insch Trail Runners,M40,01:34:53
6,Worsley,Steven,Inverness Harriers,M50,01:37:58
7,MacDonald,Diana,Highland HR,F,01:40:16
8,Morton,Alastair,Unattached,M,01:47:31
9,Mackie,Shona,Highland HR,F,01:52:18
10,MacLennan,Iain,Highland HR,M40,01:52:26
11,Scott,Marcus,Lochaber AC,M,01:55:25
12,Irvine,Jill,Highland HR,M50,01:56:21
13,Wallace,Keri,Oban,F,01:59:24
14,Byrne,Sara,Lochaber AC,F40,02:08:14
15,Murdoch,Ray,Lochaber AC,M60,02:24:09
16,MacLeod,Don,Highland HR,M,02:59:26
