RunnerPosition,Surname,FirstName,Club,RunnerCategory,FinishTime
1,Wood,Jack,Ilkley Harriers,M,01:41:47
2,Smith,Jack ,Wharfedale Harriers,U23M,01:42:00
3,Butters,John,NFR,MV40,01:47:38
4,Winskill,Phil,Keswick AC,M,01:47:47
5,Johnston,Mark,Carnethy HRC,MV40,01:47:59
6,Wilkinson,Dan,Ilkley Harriers,M,01:48:52
7,Wainwright,Andrew,U/A,MV40,01:49:42
8,Hobbs,Paul,Todmorden Harriers,M,01:49:54
9,Lord,Harvey,Black Combe Runners,M,01:49:58
10,Swarbrick,Steve,Bowland FR,MV40,01:50:18
11,Green,Jon,Preston Harriers,MV40,01:50:23
12,Piercy,Laurence,Dark Peak,M,01:50:39
13,Irving,Mark,Bowland FR,M,01:53:26
14,Lucker,Alan,Bowland FR,MV40,01:54:10
15,Yeomans,Mario,CFR,M,01:56:11
16,Ripper,Tim,Black Combe Runners,M,01:56:18
17,Gregory,David,U/A,M,01:56:24
18,Austin,Tim,U/A,M,01:56:53
19,Crawford,Robert,Coniston Fell Runners,M,01:56:53
20,Harrison,Sam,Bowland FR,M,01:57:04
21,Spurden,Catherine,Keswick AC,F,01:57:10
22,Pearson,Philip,Saltwell Harriers,MV50,01:57:35
23,Bloomfield,Oliver,Eden Runners,MV40,01:58:20
24,Clarkson,Mark,NFR,M,01:58:33
25,Moon,Sam,Helm Hill,M,01:59:07
26,Wrigley,Andrew,CFR,MV40,02:00:09
27,Garvey,Christian,Durham Uni,U23M,02:00:21
28,Tayler,Pete,Black Combe Runners,MV50,02:00:23
29,Sheppard,Darren,Framlingham flyers,MV40,02:00:40
30,Robinson,Sean,Howgill Harriers,M,02:00:53
31,Moon,Josh,U/A,M,02:00:59
32,Strong,Tom,U/A,M,02:01:22
33,Pass,Charlie,U/A,M,02:01:39
34,Gordon,Shelli,New Marske Harriers,F,02:02:00
35,Longley,Gavin,U/A,M,02:02:43
36,Holloway,Adam,U/A,MV40,02:02:48
37,Harrison,Mike,CFR,MV40,02:03:17
38,Moffat,Robert,Howgill Harriers,M,02:03:24
39,Reade,Chris,Bowland FR,MV50,02:03:32
40,Hodgson,Graeme,U/A,MV40,02:04:57
41,Freeman,Steve,Keswick AC,MV50,02:04:59
42,Polkinghorn,Ben,Coniston Fell Runners,M,02:05:23
43,Lane,Gary,Coniston Fell Runners,MV40,02:05:37
44,Malloy,Adam,PB fitness running club,M,02:05:03
45,Harvey,Tim,Nidd Valley,MV40,02:06:14
46,Mason,Karl,Helm Hill,M,02:06:17
47,Tyson,Jim,Ambleside AC,MV40,02:06:19
48,Lancaster,Nick,Derwent AC,MV60,02:06:23
49,Thompson,Simon,Keswick AC,M,02:06:29
50,Drozdowitz,Marie Louise,Elswicz,FV50,02:06:50
51,Stein,Rob,CFR,M,02:06:52
52,White,David,Helm Hill,MV40,02:07:05
53,Andrew,Rob,Rossendale Harriers,M,02:07:57
