RunnerPosition,Surname,FirstName,Club,RunnerCategory,FinishTime
1,Rogers,Davie,LAC,V40,00:23:12
2,Smith,Tom,LAC,SENIOR,00:23:45
3,Taylor,Euan,PERTH RR,SENIOR,00:24:24
4,Beanland,Andy,DARK PEAK,SENIOR,00:25:43
5,Hepburn,John,LAC,VET 40,00:26:11
6,Gorman,Manny,LAC,VET 40,00:26:28
7,Paterson,Donald,LAC,SENIOR,00:27:00
8,Macaskil,Danny,U/A,SENIOR,00:27:05
9,Wright,Megan,HBT,FEMALE,00:27:10
10,Shirley,James,U/A,SENIOR,00:27:21
11,O'Shea,Emma,DEESIDE,FEMALE,00:27:38
12,Binnie,John,LAC,VET 40,00:27:42
13,Bass,Owen,DEESIDE,VET 40,00:27:48
14,Scott,Dawn,LAC,FEMALE,00:28:06
15,Stevenson,John,OCHIL HILL,VET 40,00:28:20
16,Kennedy,Peter,LAC,VET 40,00:28:36
17,Bloomfield,Oliver,LAC,SENIOR,00:28:39
18,Wilson,Stewart,INVERNESS,VET 40,00:28:54
19,Martin,David,U/A,VET 40,00:28:55
20,Mackintosh,Katie,WESTIES,FEMALE,00:29:02
21,Geoghegan,Michael,Portobello,SENIOR,00:29:07
22,Munro,Pele,LAC,VET 40,00:29:24
23,Shirley,Gavin,U/A,SENIOR,00:29:35
24,Benz,Sean,U/A,SENIOR,00:29:57
25,Forster,Nix,LAC,FEMALE,00:30:09
26,Hague,Peter,CAIRNGORM,VET 50,00:30:19
27,Hemm,Michael,U/A,SENIOR,00:30:22
28,Stalker,Jim,LAC,VET 40,00:30:28
29,Anderson,John,MID ARGYLL,VET 40,00:30:36
30,Shirley,John,U/A,VET 50,00:30:47
31,Appleton,John,ST HELENS,SENIOR,00:30:59
32,Munro,Spook,LAC,VET 40,00:31:11
33,Watson,Charlotte,KESWICK AC,FEMALE,00:31:16
34,Mcnab,Graham,LAC,VET40,00:31:39
35,Byrne,Sara,LAC,FEMALE,00:31:50
36,Davidson,Chris,CARNEGIE,SENIOR,00:31:54
37,Lamb,Fergus,U/A,SENIOR,00:31:55
38,Maitland,John,LAC,VET50,00:31:59
39,Lewer,Jenny,U/A,FEMALE,00:32:03
40,Gillies,Eric,LAC,VET40,00:32:06
41,Denny,Colin,LAC,VET40,00:32:21
42,Forster,Foss,LAC,VET40,00:32:36
43,Collins,Richie,LAC,VET 40,00:33:04
44,Roberts,Richard,FRA,VET40,00:33:07
45,Tighe,Mick,LAC,VET60,00:33:08
46,Shaw,Trevor,LOCHTAYSIDE,VET40,00:33:27
47,Weir,Jon,U/A,SENIOR,00:33:28
48,Austin,Davie,U/A,VET40,00:33:54
49,Bowman,Angus,LOMOND HR,VET50,00:33:58
50,Thompson,Phil,U/A,VET40,00:34:17
51,Paterson,Chloe,LAC,FEMALE,00:34:25
52,Bindel,Bert,LAC,VET50,00:34:34
53,Boswell,Roger,U/A,VET 50,00:34:39
54,Sadler,Ian,JOG SCOTLAND,VET40,00:34:49
55,Methol,Henry,LAC,VET 40,00:35:16
56,Prins,Lucy,LAC,FEMALE VET,00:35:19
57,Munro,Craig,JOG SCOTLAND,VET40,00:35:21
58,Shaw,Lyndsey,LAC,FEMALE,00:35:26
59,Pearce,Emma,LAC,FEMALE VET 40,00:35:29
60,Bass,Ursula,U/A,FEMALE VET,00:35:44
61,Cowan,Paula,WESTIES,FEMALE VET,00:35:47
62,Smith,Gordon,LAC,VET 60,00:36:11
63,,Jim,Unattached,VET 40,00:36:27
64,Watson,Graham,WEST CUMB OC,VET40,00:36:36
65,Hynd,John,U/A,SENIOR,00:36:45
66,Gardiner,Fiona,LAC,FEMALE VET,00:37:21
67,Smith,Tilly,DEESIDE,FEMALE VET 50,00:37:23
68,Tighe,Kathy,LAC,FEMALE VET,00:37:27
69,Coyle,Caroline,U/A,FEMALE,00:37:31
70,Gow,Biff,LAC,FEMALE VET,00:37:39
71,Dougan,John,LAC,VET 50,00:37:52
72,Ditchfield,James,U/A,SENIOR,00:37:59
73,McGuire,Josie,WESTIES,FEMALE,00:39:06
74,Orr,Ernie,LAC,VET 60,00:39:21
75,Mackay,Teresa,LAC,FEMALE VET,00:40:43
76,Bellshaw,Sara,LAC,FEMALE,00:40:51
77,Bowman,Jean,BEACON,FEMALE VET,00:40:58
78,Jones,Mike,U/A,SENIOR,00:41:06
79,Lowan,Arlene,U/A,FEMALE,00:41:23
80,Strachan,Robert,N/LAND FR,SENIOR,00:41:37
81,Aitken,Mo,LAC,FEMALE VET,00:41:58
82,Mcinnes,Karen,LAC,FEMALE VET,00:42:32
83,Dunlaw,Annabel,U/A,FEMALE,00:43:13
84,Simpson,Sandra,U/A,FEMALE VET,00:43:40
85,Paul,Brenda,WESTIES,FEMALE VET,00:43:52
86,Hynd,John,LAC,VET 50,00:44:00
87,Clark Day,Carolyn,EDINBURGH,FEMALE VET 50,00:45:18
88,Forster,Katie,LOCHTAYSIDE,FEMALE VET 40,00:45:33
89,Murdoch,Elma,LAC,FEMALE VET,00:46:09
90,Murdoch,Raymond,LAC,VET 60,00:46:10
91,Hynd,Laura,U/A,FEMALE,00:48:46
92,Hynd,Joanna,LAC,FEMALE VET,00:48:47
93,Wilson,Rachel,SPRINGBURN,FEMALE,00:49:32
94,Cant,Ailsa,LAC,FEMALE,00:51:22
95,Corner,Julie,LAC,FEMALE,00:51:23
96,Dougan,Christine,LAC,FEMALE VET 40,00:52:10
