RunnerPosition,Surname,Firstname,Club,RunnerCategory,FinishTime
1,Wild,Finlay,Lochaber AC,M,00:21:53
2,Thorburn,Ewan,Lochaber AC,M,00:23:22
3,Espie,James,Deeside Runners,M,00:24:10
4,Barrington,Andrew,Lochaber AC,M,00:24:29
5,Henry,Peter,Deeside Runners,M,00:24:56
6,Gay,Jon,Lochaber AC,M40,00:25:43
7,Crutchfield,Stuart,Lochaber AC,M,00:25:53
8,Fraser,Callum,Lochaber AC,M,00:26:27
9,Burns,Steven,Lochaber AC,M,00:26:32
10,Gorman,Manuel,Westerlands Cross Country Club,M40,00:26:35
11,Urquhart,John,spey runners,M40,00:27:00
12,Smith,Alan,Deeside Runners,M50,00:27:19
13,Bryce,Andy,Hillingdon AC,M,00:27:25
14,Provan,Stephanie,Deeside Runners,F,00:27:52
15,Malcolm,Stuart,Highland Hill Runners,M40,00:28:11
16,Fallon,Steven,Carnethy Hill RC,M50,00:28:35
17,Wilson,Stewart,Inverness Harriers AAC,M40,00:28:41
18,MacMillan,Gavin,Lochaber AC,M,00:28:56
19,Maddison,Felix,Unattached,M,00:29:00
20,Simpson,Geoff,Hunters Bog Trotters,M50,00:29:04
21,Forrest,Stuart,Highland Hill Runners,M,00:29:11
22,Mardall,Nick,Deeside Runners,M40,00:29:16
23,Wood,Sam,Unattached,M,00:29:43
24,Pryde,Simon,Tyne Bridge Harriers,M40,00:29:45
25,King,Josiah,Unattached,M,00:30:01
26,Waslidge,Neil,Lochaber AC,M40,00:30:27
27,Watson,Dan,Lochtayside,M40,00:30:55
28,Dale,Andy,Loch Eck Orienteers,M40,00:31:00
29,Bass,Owen,Deeside Runners,M50,00:31:09
30,MacKinnon,Barrie,Lochaber AC,M,00:31:18
31,Maxwell,Jamie,Unattached,M,00:31:44
32,Baum,Diane,Lochaber AC,F,00:31:48
33,Maclean,Robert,Lochaber AC,M40,00:32:00
34,Devey,Suzy,Lochaber AC,F,00:32:04
35,Kelly,Graham,Westerlands Cross Country Club,M40,00:32:10
36,Beattie,Fiona,Lochaber AC,F,00:32:17
37,MacBeath,Niall Alisdair,Lochaber AC,M40,00:32:51
38,Campbell,Brian,Lochaber AC,M50,00:32:53
39,Connor,Julia,Unattached,F40,00:32:58
40,Meldrum,Marie,Lochaber AC,F40,00:33:08
41,Caddick,Nick,Unattached,M,00:33:12
42,Macdonald,Diana,Highland Hill Runners,F,00:33:19
43,Shelley,Edward,Unattached,M,00:33:35
44,MacRae,Michael,Highland Hill Runners,M,00:33:38
45,Purdie,Neil,Moray Road Runners,M40,00:33:42
46,Shaw,Trevor,Lochtayside,M50,00:33:49
47,Wilson,Colin,Lomond Hill Runners AAC,M50,00:33:54
48,Oliver,David,Deeside Runners,M50,00:34:03
49,Lee,Phil,Unattached,M,00:34:10
50,Blackhall,Amanda,Lochaber AC,F40,00:34:28
51,Moffat,John,Highland Hill Runners,M50,00:34:44
52,Duncan,David,Ochil Hill Runners,M60,00:34:58
53,Anderson,John,Mid-Argyll Tri & Cycle Club,M50,00:35:02
54,Bowman,Angus,Lomond Hill Runners AAC,M50,00:35:07
55,Wilson,Joan,Lomond Hill Runners AAC,F50,00:35:10
56,Mackinnon,Chris,Glenferness Runners,M40,00:35:14
57,Vrain,Emilie,Unattached,F,00:35:22
58,Fish,Dan,Unattached,M,00:35:29
59,Holgate,Emma,Unattached,F,00:35:34
60,Macdonald,Brian,Lochaber AC,M,00:35:40
61,Weir,Jonathan,Unattached,M,00:36:00
62,McDermott,Martin,Lochaber AC,M40,00:36:10
63,Collins,Richard,Lochaber AC,M40,00:36:32
64,Brennan,Brian,Westerlands Cross Country Club,M60,00:36:48
65,Tighe,Mick,Lochaber AC,M60,00:36:57
66,Ross,Susan-Jane,Lochaber AC,F40,00:37:10
67,MacKinnon,Vikki,Lochaber AC,F,00:37:13
68,Pearce,Emma,Lochaber AC,F50,00:37:27
69,Masson,Rebecca,Lochaber AC,F,00:37:36
70,Bellshaw,Sara,Lochaber AC,F,00:38:09
71,Douglas,George,Westerlands Cross Country Club,M50,00:38:22
72,Blackley,Lisa,Unattached,F,00:38:39
73,Byrne,Sara,Lochaber AC,F40,00:38:48
74,Pescod,Louise,Lochaber AC,F40,00:38:54
75,Oliver,Jane,Deeside Runners,F50,00:38:57
76,Gardiner,Fiona,Lochaber AC,F40,00:39:16
77,Kershaw,Jonathan,City of Salisbury A & RC,M40,00:39:38
78,Tighe,Katharine,Lochaber AC,F50,00:39:44
79,Eunson,Paul,Portobello RC,M50,00:40:03
80,Boucher,Jessica,Unattached,F,00:40:19
81,Bowman,Jean,Lomond Hill Runners AAC,F50,00:40:58
82,Campbell,Klara,Lochaber AC,F40,00:42:01
83,Lee,Victoria,Unattached,F,00:43:28
84,Caddick,Kristy,Unattached,F,00:43:45
85,Caine,Jamie,Unattached,M,00:43:49
86,Forster,Katy,lochtayside,F40,00:44:02
