RunnerPosition,Surname,Firstname,Club,RunnerCategory,FinishTime
1,Dermott,Des,Shettleston Harriers,SM,0:42:34
2,Des,Charlie,Shettleston Harriers,SM,0:43:58
3,Charlie,Dave,Westerlands CCC,V40,0:46:12
4,Dave,Alec,Westerlands CCC,SM,0:46:31
5,Alec,Sandy,East Kilbride Triathlon,SM,0:47:57
6,Sandy,David,East Kilbride Triathlon,SM,0:48:39
7,David,John,East Kilbride Triathlon,SM,0:49:01
8,John,Graham,Shettleston Harriers,SM,0:49:27
9,Graham,Roy,East Kilbride Athletic Club,SM,0:49:48
10,Roy,Helene,East Kilbride Athletic Club,V40,0:49:57
11,Helene,Jimmy,Westerlands CCC,L,0:50:14
12,Jimmy,A,East Kilbride Athletic Club,SM,0:50:26
13,A,John,East Kilbride Triathlon,SM,0:51:41
14,John,C,Giffnock N,V40,0:52:11
15,C,Willy,East Kilbride Triathlon,SM,0:52:33
16,Willy,Jimmy,East Kilbride Athletic Club,V40,0:52:39
17,Jimmy,Elspeth,Calderglen Harriers,V40,0:56:25
18,Elspeth,George,Westerlands CCC,L,0:57:09
19,George,Drew,East Kilbride Triathlon,V40,0:57:46
20,Drew,Patricia,Westerlands CCC,V50,0:57:54
21,Patricia,Terry,Westerlands CCC,L40,0:62:38
22,Terry,Unknown,East Kilbride Athletic Club,V60,0:65:46
