RunnerPosition,Surname,FirstName,Club,RunnerCategory,FinishTime
1,Anthony,Alasdair,Ochil Hill Runners,M,03:30:42
2,Peachey,Simon,Cosmics,M,03:30:57
3,Symonds,Joe,HBT,M,03:32:34
4,Richmond,Kenny,Bellahouston RR,M40,03:42:58
5,Cummins,Dave,Shettleston Harriers,M40,03:46:31
6,Fallas,Andrew,Carnethy Hill Runners,M,03:52:55
7,Eiser,David,Ochil Hill Runners,M,03:58:57
8,Harris,Mark,Fife Athletic Club,M40,04:01:37
9,Ascroft,Jon,Carnethy Hill Runners,M,04:04:16
10,Hesling,Sam,Carnethy Hill Runners,M,04:05:07
11,Britton,James,Moorfoots,M,04:06:45
12,Scott,David,Ochil Hill Runners,M50,04:10:10
13,Walker,Iain,Helensburgh AAC,M,04:13:23
14,Grundy,Lewis,Northumberland Fell Runners,M40,04:13:23
15,Pryde,Gordon,Lomond Hill Runners,M50,04:21:40
16,Knox,Jonathan,Anster Haddies,M40,04:23:42
17,Poll,Bruce,Lochaber Athletic Club,M,04:27:03
18,Mills,Ian,Anster Haddies,M40,04:31:55
19,Upson,Chris,Westerlands,M40,04:33:29
20,Winter,Stephen,Shettleston Harriers,M,04:33:47
21,Hirst,David,Deeside Runners,M40,04:34:37
22,Steen,Duncan,Unattached,M,04:35:17
23,Russell,Colin,Cosmics,M,04:35:17
24,Laing,Martin,Fife Athletic Club,M50,04:35:22
25,Hulme,Martin,Corstorphine Amateur Athletic Club,M50,04:37:23
26,Horsley,William,Northumberland Fell Runners,M,04:37:49
27,Kirby,Graham,Fife Athletic Club,M40,04:38:10
28,Rawlik,Konrad,Unattached,M,04:39:35
29,Ritchie,Paul,Carnethy Hill Runners,M40,04:42:47
30,McDonald,Dennis,Cosmics,M40,04:43:12
31,Abell,Richard,Unattached,M,04:44:32
32,Ross,Jeffrey,Northumberland Fell Runners,M40,04:48:35
33,Gordon,Claire,HBT,F,04:50:34
34,Finlay,Alayne,Ochil Hill Runners,F,04:50:42
35,Mestecky,Phil,Strathearn Harriers,M,04:51:11
36,Mitchell,John,Carnethy Hill Runners,M,04:54:57
37,Donnelly,John,Westerlands,M40,04:55:18
38,Duncan,David,Ochil Hill Runners,M50,04:55:40
39,MacCaffrey,Gordon J.,Unattached,M50,05:01:40
40,Appleby,Paul,NFR,M40,05:02:05
41,Murdoch,Raymond,Lochaber Athletic Club,M60,05:03:36
42,Allison,Murray,Unattached,M40,05:03:59
43,Kerridge,Donald,Deeside Runners,M40,05:05:58
44,Hainsworth,Paul,Northumberland Fell Runners,M50,05:06:43
45,Davidson,Angus,Unattached,M,05:07:33
46,Gorgas,Steffen,Westerlands,M,05:09:41
47,Mitchell,Dave,Dundee Hawkhill Harriers,M40,05:11:03
48,Higginbottom,Jacqui,Carnethy Hill Runners,F40,05:14:46
49,Arthur,Graham,Ilkley Harriers,M60,05:16:35
50,Duff,John,Northumberland Fell Runners,M40,05:18:41
51,Simpson,Peter,Carnegie Harriers,M50,05:18:41
52,Templeman,Simon,Ochil Hill Runners,M,05:23:20
53,Scott,Jocelyn,Fife Athletic Club,F50,05:25:52
54,Bowman,Gus,Beacon Runners,M50,05:31:43
55,Anderson,Joanne,Carnethy Hill Runners,F,05:31:55
56,MacDonald,Gio,Carnethy Hill Runners,M40,05:31:55
57,Brown,Jamie,Unattached,M,05:33:41
58,Bowie,Tom,Fife Athletic Club,M60,05:37:17
59,Mclean,Herbie,Lothian Running Club,M60,05:37:44
60,Schreiber,Joanna,Lochaber Athletic Club,F40,05:39:39
61,Wiseman,Dave,Unattached,M40,05:47:50
62,Henrys,Mark,Lochaber Athletic Club,M40,05:48:54
63,Pugh,Roderick,J.W.Kilmarnock Harriers,M50,05:50:37
64,Love,Charlie,Dundee Hawkhill Harriers,M60,05:51:57
65,Matthews,Steve,Unattached,M,05:59:08
66,Wilson,Colin,Carnethy Hill Runners,M40,06:00:55
67,Wilson,Joan,Carnethy Hill Runners,F40,06:00:55
68,Sim,Andrew,Carnegie,M40,06:03:09
69,Polak,Jo,Unattached,F40,06:04:36
70,Laidlaw,Anita,Fife Athletic Club,F,06:12:50
71,Diver,Michael,Clydesdale Harriers,M40,06:20:38
72,Homewood,Ellie,Westerlands,F,06:21:02
73,Burt,Louise,Fife Athletic Club,F40,06:22:16
