RunnerPosition,Surname,Firstname,Club,RunnerCategory,FinishTime
1,Wilson,Felix,Carnethy HRC,M,03:17:48
2,Taylor,Luke,Highland Hill Runners,M,03:18:20
3,Dowd,Ewan,Edinburgh Uni H&H,M,03:27:54
4,Smith,Aidan,Carnethy HRC,M,03:38:13
5,Pagett,Harris,Strathearn Harriers,M,03:40:00
6,Gilmore,Andrew,Highland Hill Runners,M,03:42:39
7,Beresford,Will,Westerlands CCC,M,03:48:58
8,Mann,Joe,Highland Hill Runners,M,03:55:41
9,Coppock,Mike,Westerlands CCC,M,03:59:48
10,Cunningham,Tom,Corstorphine AAC,M,04:00:12
11,Lamont,Andrew,Carnethy HRC,M40,04:07:08
12,Mckeeman,Iain,Unattached,M,04:07:38
13,McLaren,Jamie,Unattached,M,04:10:55
14,Hamlin,Robert,Westerlands CCC,M,04:15:20
15,Piercy,Laurence,Dark Peak FR,M,04:15:21
16,Williamson,Matt,Unattached,M40,04:19:02
17,Valters,Declan,Carnethy HRC,M,04:21:55
18,Watts,Kieran,Ochil Hill Runners,M,04:22:10
19,Bannister,Richard,Deeside Runners,M40,04:22:29
20,Bunyan,Allen,Macclesfield Harriers,M,04:22:49
21,Owen,Rob,Carnethy HRC,M,04:25:42
22,Connaghan,John,Shettleston Harriers,M50,04:28:34
23,Williamson,Clyde,Cosmics,M,04:29:02
24,Penfold,Dean,Ochil Hill Runners,M,04:30:06
25,Harrison,Philip,Carnethy HRC,M,04:30:57
26,Bowers,William,Ochil Hill Runners,M,04:35:15
27,Comber,Ayron,Deeside Runners,M50,04:38:13
28,Frackowiak,Mateusz,Unattached,M,04:41:40
29,Henderson,Walter,Westerlands CCC,M50,04:45:38
30,Spinks,Nicky,Dark Peak FR,F50,04:46:01
31,Brennan,Ois?n,Unattached,M,04:51:47
32,Anderson,Sebastian,Unattached,M,04:56:04
33,Painter,Myles,Westerlands CCC,M,05:06:56
34,Tibbetts,Andrew,Unattached,M40,05:06:56
35,Gough,Nick,Strathearn Harriers,M40,05:08:19
36,Kenny,Conor,Westerlands CCC,M,05:08:28
37,Eastman,Mark,Bollington Harriers,M,05:13:01
38,Priestley,Andrea,Ochil Hill Runners,F50,05:15:22
39,Hewitson,Christopher,Unattached,M40,05:17:53
40,Warman,Julian,HBT,M50,05:23:12
41,Newton,Matt,Kinross Road Runners,M50,05:23:17
42,Allen,Lynne,Unattached,F,05:24:57
43,Wheeler,Mark,Hamilton Harriers,M40,05:27:45
44,Williamson,Jason,Cosmics,M50,05:34:00
45,Halliwell,Emma,Unattached,F,05:34:21
46,Gillies,Sam,Unattached,M40,05:36:47
47,Hetherington,Michelle,Carnethy HRC,F60,05:39:35
48,O'Neill,Owen,Westerlands CCC,M40,05:46:37
49,Humble,Felton,Westerlands CCC,M40,05:50:20
50,Smith,John,Lomond Hill Runners,M50,05:58:14
51,Wastnedge,Lizzie,HBT,F,05:58:58
52,Allik,Mirjam,Clydeside Orienteers,F40,06:11:01
53,Wilson,Tania M,Fife AC,F60,06:16:08
54,Lammers,Wiebke,Westerlands CCC,F40,07:36:00
