RunnerPosition,Surname,FirstName,Club,RunnerCategory,FinishTime
1,Taylor,Luke,Highland Hill Runners,M,01:45:15
2,Darlow,Tim,Carnethy Hill Racing Club,MV40,01:45:36
3,Murray,Cameron,Carnethy Hill Racing Club,MV40,01:46:41
4,Harrison,James,Corstorphine AAC,M,01:49:03
5,McDonald,Alistair,Unattached,M,01:50:10
6,Burnett,Neil,Carnethy Hill Racing Club,MV40,01:50:11
7,Bareford,Michael,HBT,MV40,01:50:26
8,Smith,Gavin,HBT,M,01:50:49
9,Howett,Andrew,Fife Athletic Club,M,01:51:20
10,Buchanan,Peter,Portobello,MV50,01:51:43
11,Anderson,Adam,Carnethy Hill Racing Club,MV40,01:51:46
12,Tullie,John,Teviotdale Harriers,MV50,01:53:25
13,Scannell,Jack,Unattached,MV40,01:55:43
14,Cowie,Ross,Unattached,M,01:55:43
15,Rathjen,Jon,HBT,MV40,01:55:48
16,Skea,Christopher Magnus,Unattached,M,01:56:31
17,Laucht,Richard,Portobello,M,01:58:56
18,Twigg,Martin,HBT,MV40,02:00:25
19,Hughes,Ian,Calderglen Harriers,MV40,02:01:42
20,Flockhart,Allen,Carnethy Hill Racing Club,M,02:01:47
21,Price,Aron,Westerlands CCC,M,02:01:47
22,Horsburgh,Yan,Penicuik Harriers,MV50,02:03:10
23,Taylor,Gordie,Highland Hill Runners,MV50,02:05:46
24,Mackinnon,Euan,Carnethy Hill Racing Club,MV40,02:08:12
25,Martin,Keith,Harmeny,MV50,02:11:24
26,Watters,Jon,Harmeny,MV40,02:11:40
27,Todd,Stephen,HBT,MV40,02:11:58
28,McLachlan,Gerry,Unattached,MV40,02:12:16
29,Davidson,Brian,Dunbar,MV40,02:12:41
30,Frizzell,Gavin,Unattached,M,02:12:43
31,Ingram,Richard,Cosmics,MV40,02:17:55
32,Carter,Miles,HBT,M,02:18:06
33,Hulme,Martin,Corstorphine AAC,MV60,02:18:34
34,Pogson,Andrea,Gala Harriers,FV50,02:18:57
35,McLean,Graham,Corstorphine AAC,MV50,02:19:04
36,Douglas,George,Westerlands CCC,MV50,02:19:07
37,Burnett,Seona,Harmeny,FV40,02:23:24
38,Smithard,Phil,Carnegie Harriers,MV60,02:23:27
39,Cairns,Gillian,Penicuik Harriers,FV40,02:23:58
40,Kemp,Sadie,Penicuik Harriers,F,02:24:06
41,Coy,Vicky,Unattached,F,02:24:16
42,Thomas,Neil,HBT,MV40,02:24:20
43,Paul,Alastair,Northumberland Fell Runners,MV60,02:25:16
44,McAllister,Georgina,Carnethy Hill Racing Club,F,02:25:31
45,Pogson,Graham,Gala Harriers,MV50,02:26:54
46,Mackinnon,Fionna,Carnethy Hill Racing Club,FV40,02:27:37
47,Walker,Sean,Carnethy Hill Racing Club,MV40,02:31:09
48,Russell,David,Unattached,M,02:43:18
49,Fielding,Alex,Unattached,M,02:43:18
50,Dunbar,Melanie,Penicuik Harriers,FV40,02:43:20
51,McAdam,Pauline,Teviotdale Harriers,FV60,02:43:56
52,Briggs,Andrew,Penicuik Harriers,M,02:50:50
53,Tulloch,Kirsty,West Linton Runners,F,02:53:51
