RunnerPosition,Surname,Firstname,Club,RunnerCategory,FinishTime
1,Espie,James,Deeside Runners,M,00:17:14
2,Battle,Hamish,Metro Aberdeen,M,00:17:58
3,Hoad,James,Aberdeen AAC,M,00:18:44
4,Greig,Kyle,Metro Aberdeen,M,00:18:54
5,Williamson,Clyde,Cosmic Hillbashers,M,00:20:08
6,Otton,Thomas,Edinburgh Uni H&H,M,00:20:22
7,Marshall,Brian,HELP,M40,00:20:27
8,Mondon,Thibault,Ski Nordic Oisans,M,00:20:31
9,Wright,Joe,Deeside Runners,M,00:20:35
10,Watson,Robert,Musselburgh,M50,00:20:40
11,Ramsay,Lawrence,Police Scotland,M,00:21:01
12,Roussias,Dino,Metro Aberdeen,M40,00:21:27
13,Wood,Fergus,Unattached,M,00:21:43
14,Murphy,Ben,HBT,M,00:21:50
15,Ross,Jamie,Deeside Runners,M40,00:21:59
16,Williamson,Jason,Cosmic Hillbashers,M40,00:22:13
17,Smith,Alan,Deeside Runners,M50,00:22:43
18,Walker,Neil,Altrincham,M,00:22:49
19,Highland,Theo,Unattached,M,00:22:58
20,Whitehead,Clare,Deeside Runners,F40,00:23:02
21,Mueller-Thorwart,Ole,Unattached,M,00:23:06
22,Campbell,Eilidh,Deeside Runners,F,00:23:27
23,Sutherland,Ally,Cosmic Hillbashers,M40,00:24:01
24,Walker,Mike,Barnet & District,M40,00:24:10
25,Hampson,Martin,Unattached,M,00:24:38
26,Glass,Jennie,Deeside Runners,F,00:24:46
27,Rigby,Alice,ShUOC,F,00:25:00
28,Ingram,Richard,Cosmic Hillbashers,M40,00:25:05
29,Watson,Fraser,Unattached,M,00:25:32
30,McCluskey,Eddy,Metro Aberdeen,M,00:25:48
31,Jackson,Peter,Barnoldswick,M60,00:25:52
32,Yuill,Andrew,Trail Tribe,M,00:25:56
33,Campbell,Kirsty,Deeside Runners,F,00:26:00
34,Gonden,Andrew,Unattached,M,00:26:06
35,McGahon,David,Unattached,M,00:26:09
36,Buschmann,Florian,Unattached,M,00:26:16
37,Larmour,Colin,Cosmic Hillbashers,M50,00:26:20
38,Watson,Rory,Unattached,M,00:26:27
39,Brindley,Gary,Unattached,M50,00:26:40
40,McMahon,Aiden,Unattached,M,00:26:43
41,Klingenberg,Bjorn,Unattached,M40,00:26:49
42,O'Sullivan,Sean,Unattached,M,00:26:53
43,Holland,Arianne,Edinburgh Uni H&H,F,00:26:58
44,Whiteside,Daniel,Unattached,M,00:27:13
45,Sealy,Frances,Banchory Stonehaven AC,F,00:27:16
46,Stevenson,James,Unattached,M,00:27:20
47,Gambles,Colin,Unattached,M40,00:27:26
48,Flemine,Darren,Unattached,M,00:27:31
49,Cope,Paul,Malvern Tri,M40,00:27:35
50,Thompson,Jonny,Unattached,M,00:27:48
51,Matthews,Clive,Cosmic Hillbashers,M,00:27:58
52,Morgan,Dougal,Unattached,M50,00:28:09
53,Sangster,Chloe,Unattached,F,00:28:10
54,Morgan,Neil,Cosmic Hillbashers,M50,00:28:19
55,Thurel,Mathieu,Unattached,M,00:28:35
56,Robertson,Hugh,Insch Trail Running Club,M40,00:28:41
57,Oliver,David,Deeside Runners,M60,00:29:01
58,Lewis,Lizzie,Unattached,F,00:29:05
59,Taylor,Adrian,Unattached,M,00:29:22
60,Jervis,Scott,Unattached,M50,00:29:28
61,Marr,Stuart,Unattached,M,00:29:48
62,Bannerman,John,Unattached,M50,00:29:58
63,Bellini,Martin,Unattached,M40,00:30:08
64,Murray,Jonathan,Unattached,M50,00:30:19
65,Mann,Phil,Metro Aberdeen,M60,00:30:37
66,Gatenby,Andrew,Unattached,M,00:31:19
67,Kean,James,Unattached,M,00:31:20
68,Milne,Sarah,Metro Aberdeen,F,00:31:22
69,Duffus,Ivor,Unattached,M50,00:31:25
70,Larmour,Pauline,Cosmic Hillbashers,F50,00:31:26
71,Hamilton,Anita,Cosmic Hillbashers,F60,00:31:33
72,Bannerman,Isobel,Unattached,F50,00:31:45
73,Morrison,Ewan,Unattached,M,00:32:00
74,Duncan,Pauline,Unattached,F40,00:32:12
75,Smith,Lewis,Unattached,M,00:32:13
76,Mann,Robert,Unattached,M50,00:32:25
77,Williamson,Ian,Unattached,M50,00:32:41
78,Clements,Tash,Unattached,F,00:33:05
79,Oliver,Jane,Deeside Runners,F60,00:34:21
80,McMahon,Hannah,Unattached,F,00:34:39
81,Kinnear,Lisa,Unattached,F40,00:34:40
82,Whiteside,Andrew,Unattached,M50,00:35:20
83,Thompson,Graham,Unattached,M,00:36:18
84,Szacs,Daniel,Unattached,M,00:36:42
85,Silverthorne,Adam,Team Shepherd,M,00:37:10
86,Bridges,Callum,Team Shepherd,M,00:37:11
87,Schuneman,Will,Unattached,M,00:37:57
88,Davies,Rhys,Unattached,M,00:37:58
89,Schorr,Sabine,Unattached,F,00:38:24
90,Schorr,Tilman,Unattached,M,00:38:25
91,Fizik,Zvika,Run 2 Three,M40,00:38:43
92,Patrick,Paul,Deeside Runners,M50,00:44:00
93,Corbett,Andrew,Unattached,M40,01:02:58
