RunnerPosition,Surname,FirstName,Club,RunnerCategory,FinishTime
1,Wild,Finlay,Lochaber AC,M,00:33:19
2,Yells,John,Lochaber AC,M,00:34:29
3,McAlinden,Niall,Westerlands,M,00:36:40
4,Fisher,Sam,Howgill Harriers,M,00:36:47
5,Austin,Marc,Victoria Park,M,00:37:14
6,Harvey,Dougie,Lochaber AC,M,00:37:45
7,Stewart,Gregor,Westerlands,M,00:37:53
8,Richmond,Kenny,Shettleston,M40,00:38:14
9,Beresford,William,Westerlands,M,00:38:20
10,Carter,Justin,Cambuslang Harriers,M40,00:38:59
11,Cope,David,Howgill Harriers,M,00:39:04
12,McPartlin,Donald,Garscube Harriers,M,00:39:21
13,Freshwater,Craig,HBT,M,00:39:32
14,Traill,Steven,Lochaber AC,M,00:40:04
15,Bowden,James,HBT,M,00:40:13
16,Hamlin,Robert,Westerlands,M,00:40:33
17,Dytch,Ewan,Unattached,M,00:40:52
18,Warman,Julian,HBT,M50,00:40:57
19,Macinnes,Alasdair,Westerlands,M,00:40:59
20,Stephen,Jill,HBT,F,00:41:00
21,Murphy,Ben,HBT,M,00:41:11
22,Macleod,James,Garscube Harriers,M,00:41:15
23,Cornock,Paul,Shettleston,M,00:41:22
24,Godwin,Adam,Rossendale Harriers,M,00:41:23
25,MacKellaig,Iain,Lochaber AC,M50,00:41:24
26,MacDonald,Matt,Lochaber AC,M,00:41:30
27,Callender,James,Westerlands,M,00:41:59
28,Mackenzie,Fraser,Lochaber AC,M,00:42:13
29,Glencorse,Colin,Kilmarnock Harriers,M40,00:42:32
30,McCall,Andrew,Greenock Glenpark Harriers,M,00:42:59
31,Marshall,Brian,HELP,M40,00:43:01
32,Campbell,Alan,Unattached,M40,00:43:14
33,O'Neill,Owen,Westerlands,M,00:43:16
34,Matthews,Robert,Westerlands,M,00:43:17
35,Harper,Paul,Unattached,M,00:43:35
36,Riggans,Liam,Carnethy,M,00:43:51
37,Drysdale,Simon,Lochaber AC,M,00:43:59
38,Brown,Gareth,North Ayrshire A.C,M,00:44:04
39,Mackintosh,Hugh,Lochaber AC,M50,00:44:41
40,Chetwin,Derek,Matlock AC,M,00:45:19
41,McCaffrey,Gordon,Westerlands,M60,00:45:24
42,Dickson,David,Westerlands,M60,00:45:27
43,Fulton,David,HBT,M,00:45:36
44,Lorimer,Hayden,HBT,M40,00:45:46
45,McKiddie,Christopher,Westerlands,M,00:45:54
46,Weir,Jonathan,Unattached,M40,00:45:55
47,McLaughlin,Danny,Greenock Glenpark Harriers,M60,00:46:13
48,Bayliss,Simon,Steel City Striders,M50,00:46:31
49,Reid,Don,Westerlands,M60,00:46:33
50,McGeoch,Ross,Bellahouston RR,M40,00:46:35
51,Poulter,Alwyn,Unattached,M,00:46:53
52,Finch,Tom,Westerlands,M,00:47:03
53,Wheeler,Mark,Hamilton Harriers,M40,00:47:10
54,Normand,Ivor,HBT,M50,00:47:13
55,Watson,Dan,Lochtayside,M50,00:47:24
56,Simpson,Stuart,Stornoway RAC,M40,00:47:26
57,Maclean,Robert,Lochaber AC,M50,00:47:31
58,Roper,Marc,Westerlands,M50,00:47:45
59,Berry,Alex,Westerlands,F,00:47:50
60,Butler,Chris,Westerlands,M,00:48:40
61,Dunn,Michael,Greenock Glenpark Harriers,M60,00:48:44
62,Edwards,Barry,Unattached,M,00:48:45
63,Furse,Chris,Westerlands,M50,00:48:48
64,McEwan,Iain,Helensburgh AC,M40,00:49:04
65,Kelly,Graham,Westerlands,M50,00:49:15
66,Brodie,Stuart,Ochils,M,00:49:18
67,Edwards,Colin,Ochils,M40,00:49:32
68,Adams,Elizabeth,Westerlands,F,00:49:33
69,Crawford,Ross,Unattached,M40,00:49:40
70,Atkin,David,Westerlands,M60,00:49:42
71,Walker,Neil,Unattached,M40,00:49:55
72,King,Gordon,Helensburgh AC,M60,00:50:06
73,MacDonald,Elsie,Garscube Harriers,F,00:50:41
74,Lampard,Stuart,Unattached,M50,00:50:43
75,Craig,Stephen,Garscube Harriers,M,00:50:54
76,Shaw,Trevor,Lochtayside,M50,00:51:13
77,Brennan,Brian,Westerlands,M60,00:51:24
78,Pugh,Roderick,Kilmarnock Harriers,M60,00:51:04
79,Johnston,Stephen,Milburn Harriers,M50,00:51:46
80,Cunningham,Kerry,Westerlands,F,00:51:51
81,Pettigrew,Iain,Ayr Seaforth,M50,00:52:20
82,Fileman,Megan,Westerlands,F,00:52:30
83,Macleod,Murdo,Westerlands,M60,00:52:49
84,Fullwood,Andrew,Westerlands,M50,00:53:18
85,Bowman,Angus,Lomond Hill Runners,M60,00:53:23
86,O'Rourke,Michael,Unattached,M,00:53:36
87,Boyer,Alistair,Westerlands,M,00:53:59
88,Eadsforth,Holly,Westerlands,F,00:54:27
89,Murray,Alicia,Unattached,F,00:54:31
90,Fitzpatrick,Pat,Ochils,M60,00:54:34
91,Duncan,David,Ochils,M60,00:54:53
92,Foy,Luci,Westerlands,F,00:55:19
93,Forte,Phil,Dundee Hawkhill Harriers,M60,00:55:22
94,Douglas,George,Westerlands,M50,00:55:41
95,Crawford,Eddie,Arrochar MRT,M40,00:56:03
96,Gray,Laura,Garscube Harriers,F,00:56:13
97,Gall,Allan,Central AC,M60,00:56:28
98,McAdam,Chloe,Garscube Harriers,F,00:56:35
99,Bruce,Duncan,North Ayrshire A.C,M40,00:56:40
100,Farquhar,Angus,Westerlands,M50,00:58:00
101,Stakes,David,Unattached,M50,00:58:22
102,Urquhart,William,Unattached,M50,00:58:58
103,Fleming,Rod,Westerlands,M,00:59:12
104,McGreevy,Kay,BMF Glasgow,F50,00:59:22
105,Hamer,John,Westerlands,M50,00:59:38
106,Kennedy,Ewen,Westerlands,M,00:59:40
107,McArthur,Claire,Hamilton,F40,01:00:03
108,O'Brien,Audrey,Westerlands,F40,01:00:19
109,Fraser,Ron,Dundee Road Runners,M50,01:01:28
110,Duff,Bill,Falkland Trail Runners,M70,01:01:33
111,Bray,Stella,Westerlands,F,01:02:57
112,McBeath,Kenneth,Unattached,M,01:04:57
113,Davidson,Stewart,Fife A.C,M60,01:08:48
114,Fowler,Rosalind,Unattached,F40,01:10:32
