RunnerPosition,Surname,FirstName,Club,RunnerCategory,FinishTime
1,ABRAHAMS,BEN,COSMICS,Male,00:51:51
2,BANNERMAN,ROSS,HIGHLAND HILL RUNNERS,Male,00:52:03
3,NICOLSON,WILLIAM,COSMICS,Male,00:55:21
4,MACDONALD,DOUGIE,HIGHLAND HILL RUNNERS,M Master,00:55:25
5,HARRISON,SIMON,NORTH HIGHLAND HARRIERS,M Master,00:57:40
6,SPENCER,DAVID,NORTH HIGHLAND HARRIERS,M Master,00:58:37
7,LYONS,KAREN,HIGHLAND HILL RUNNERS,F Master,00:58:47
8,MACDOUGALL,MORINA,HIGHLAND HILL RUNNERS,Female,00:59:08
9,SUTHERLAND,STUART,NORTH HIGHLAND HARRIERS,M Master,01:00:04
10,TAYLOR,GORDIE,HIGHLAND HILL RUNNERS,M Master,01:01:43
11,BAXTER,COLIN,NORTH HIGHLAND HARRIERS,Male,01:02:31
12,HINDLE,NEIL,U/A,M Master,01:03:35
13,ANDREW,STUART,NORTH HIGHLAND HARRIERS,Male,01:03:43
14,BRETT,ALEX,HIGHLAND HILL RUNNERS,M Master,01:04:04
15,MORGAN,GRAEME,NORTH HIGHLAND HARRIERS,Male,01:04:38
16,HUGHES,ALAN,NORTH HIGHLAND HARRIERS,M Master,01:04:54
17,ANDERSON,ROXANNE,NORTH HIGHLAND HARRIERS,Female,01:05:13
18,CHRISTIE,SANDY,NORTH HIGHLAND HARRIERS,M Master,01:08:03
19,MACLELLAN,LAURA,HIGHLAND HILL RUNNERS,F Master,01:08:52
20,WILBY,RAYMOND,HIGHLAND HILL RUNNERS,M Master,01:08:56
21,JETHWA,JAIMIN,U/A,Male,01:13:21
22,FALCONER,NICOLA,NORTH HIGHLAND HARRIERS,Female,01:13:31
23,MACKENZIE,REBECCA,HIGHLAND HILL RUNNERS,Female,01:14:00
24,HUGHES,MARTINE,NORTH HIGHLAND HARRIERS,F Master,01:18:06
25,EDMONSON,LINDA,WREKIN ROAD RUNNERS,F Master,01:18:12
26,CHALMERS,TONY,NORTH HIGHLAND HARRIERS,M Master,01:18:55
27,POLLARD,YVONNE,NORTH HIGHLAND HARRIERS,F Master,01:26:30
28,MACKAY,LESLIE,NORTH HIGHLAND HARRIERS,M Master,01:31:28
