RunnerPosition,Surname,FirstName,Club,RunnerCategory,FinishTime
1,Cowie,Kyle,Central AC,M,00:31:35
2,Gill,Stevie,Keith & District AAC,M,00:31:38
3,Arbuckle,Ross,Keith & District AAC,M40,00:32:36
4,Paterson,Ewan,Moray RR,M50,00:32:58
5,Paterson,Robbie,Unattached,M,00:33:06
6,Green,Colin,Moray RR,M,00:34:03
7,Angus,Gerald,Keith & District AAC,M40,00:34:53
8,Wilson,Kenny,Moray RR,MJ,00:35:15
9,Garland,Simon,Unattached,M,00:35:34
10,Barton,Frankie,Keith & District AAC,M50,00:39:26
11,McArthur,Keith,Moray RR,M40,00:39:27
12,Comber,Ayron,Cosmics,M,00:39:35
13,Stewart,Andrew,Unattached,M,00:39:38
14,Gallagher,Rob,Moray Firth Triathlon,M40,00:40:11
15,Hendry,Michael,Moray RR,MJ,00:40:43
16,Morrison,Graeme,Unattached,M40,00:40:53
17,Duncan,Sandy,Unattached,M40,00:41:50
18,Corrigan,Paul,Royal Navy AAC,M50,00:42:51
19,Farquhar,Raymond,Moray RR,M50,00:44:13
20,Hay,Jane,Unattached,F,00:45:25
21,Munro,Eleanor,Keith & District AAC,F,00:45:39
22,Archibald,Martin,Moray Firth Triathlon,M40,00:46:10
23,Burn,Stu,Forres H,M40,00:46:43
24,Stockdale,David,Denby Dale,M40,00:48:29
25,Laing,Willie,Unattached,M40,00:48:37
