RunnerPosition,Surname,Firstname,Club,RunnerCategory,FinishTime
1,MacCorquadale,Iain,,M,00:31:32
2,Campbell,Angus,,M,00:35:50
3,Vincent,Paul,,M,00:35:55
4,MacRury,William,,M,00:36:14
5,Stoddarts,James,,M,00:37:50
6,Whyte,Crawford,,M,00:38:18
7,Kendall,Edward,,M,00:39:15
8,Luney,Harry,,M,00:42:06
9,Shaw,Andrew,,M,00:43:22
10,Riddell,Duncan,,M,00:43:38
11,Campbell,Calum,,M,00:45:01
12,Campbell,D.P,,M,00:45:02
13,Scanterbury,James,,M,00:45:15
14,Bowman,Angus,,M,00:45:20
15,Scott,Stephen,,M,00:45:47
16,Barr,Andrew,,M,00:46:32
17,MacLeod,Lorna,,F,00:46:37
18,MacInnes,Neil,,M,00:46:57
19,Johnstone,Richard,,M,00:48:25
20,Jolly,John,,M,00:48:30
21,Whyte,Bruce,,M,00:48:35
22,Arthur,Graham,,M,00:48:58
23,Campbell,John Joseph,,M,00:49:39
24,MacIver,Craig,,M,00:49:55
25,Hammond,Jack,,M,00:51:25
26,Wild,James,,M,00:51:25
27,Bainbridge,Jack,,M,00:53:00
28,Davies,Keith,,M,00:53:22
29,Bowman,Jean,,F,00:53:25
30,Alexander,Molly,,F,00:53:51
31,White,Marc,,M,00:54:00
32,MacDonald,Donald John,,M,00:54:06
33,MacRury,Neil,,M,00:54:54
34,Watson,Micheal,,M,00:55:02
35,MacKenzie,Davie,,M,00:56:30
36,Verheal,Sander,,M,00:56:40
37,Steele,Ruaraidh,,M,00:58:10
38,Steele,Gemma,,F,01:00:09
39,Hogg,Iain,,M,01:00:19
40,MacRury,D.R,,M,01:00:48
41,Steele,Daniel,,M,01:01:43
42,Steele,Seonaidh,,M,01:02:53
43,Laing,Eilidh,,F,01:04:09
44,MacPherson,Shiona,,F,01:04:58
45,Campbell,Mary Ellen,,F,01:05:04
46,Hamilton,Scott,,M,01:05:22
47,MacPherson,Stephen,,M,01:05:27
48,Dignam,Paul,,M,01:06:23
49,MacKinnon,Donald,,M,01:06:57
50,MacIntyre,Anne Therese,,F,01:07:12
51,French,James,,M,01:08:21
52,Keir,Roz,,F,01:08:46
53,Watson,Helen,,F,01:10:03
54,Steele,Roddy,,M,01:10:07
55,Boutwood,Cath,,F,01:14:54
56,Laing,Ian,,M,01:16:10
57,MacDonald,Matthew,,M,01:17:04
58,MacNeil,Darren,,M,01:38:20
59,West,Stefney,,F,01:42:05
