RunnerPosition,Surname,Firstname,Club,RunnerCategory,FinishTime
1,Prasad,Prasad,Clydesdale Harriers,M,01:05:51
2,Simpson,Robbie,Deeside Runners,M23,01:08:06
3,Chepelin,Oleg,Shettleston,M,01:10:46
4,Marshall,Brian,HELP,M40,01:11:16
5,Peachey,Simon,Cosmics,M,01:12:29
6,Fallas,Andrew,Carnethy,M,01:12:43
7,Whitlie,Stewart,Carnethy,M40,01:12:47
8,Hesling,Sam,Carnethy,M,01:13:03
9,Smith,Tom,Lochaber AC,M,01:13:20
10,Watson,Cameron,Unattached,M,01:14:11
11,Harris,Mark,Fife AC,M40,01:15:10
12,Davenhill,Anesti,Shettleston,M40,01:15:18
13,Eiser,Dave,Ochil Hill Runners,M,01:16:01
14,Faulkner,Paul,Carnethy,M,01:16:58
15,Smith,Alan,Deeside Runners,M40,01:17:09
16,Fallon,Steven,Carnethy,M40,01:17:32
17,Manners,Will,Strathearn Harriers,M40,01:17:43
18,Gorman,Manny,Westerlands,M40,01:18:05
19,Craft,Gareth,Ranelagh Harriers,M,01:18:23
20,Stewart,Grant,Edinburgh AC,M,01:18:29
21,Gallagher,Ronnie,Carnethy,M50,01:18:48
22,Sullivan,Matthew,Shettleston,M,01:18:59
23,Knox,Jonathan,Anster Haddies,M40,01:19:11
24,Simpson,Peter,Carnegie Harriers,M50,01:19:16
25,Woods,Ben,Unattached,M,01:19:33
26,Wiseman,Bob,Ochil Hill Runners,M,01:19:47
27,Anderson,Adam,Carnethy,M40,01:20:38
28,Thompson,Paul,Helensburgh AAC,M50,01:20:43
29,Smith,Bruce,Carnethy,M40,01:20:57
30,Breckenridge,Bill,Shettleston,M40,01:21:05
31,Buchanan,Catriona,Ochil Hill Runners,F23,01:21:24
32,Laing,Martin,Fife AC,M50,01:21:36
33,Theaker,Damien,Helensburgh AAC,M50,01:21:54
34,O`Brien,Christopher,Corstorphine,M,01:22:04
35,Birnie,Andy,Bellahouston RR,M40,01:22:27
36,Priestley,Andrea,Ochil Hill Runners,F40,01:22:52
37,MacLean,Paul,Lochaber AC,M,01:23:03
38,Love,Craig,Dundee Hawkhill,M,01:23:20
39,Blomfield,Oliver,Lochaber AC,M,01:24:00
40,Allan,Tim,Lomond Hill Runners,M,01:25:45
41,Scott,David,Ochil Hill Runners,M50,01:25:52
42,Meekin,Nicola,Lochaber AC,F,01:26:12
43,Heron,Gregor,Carnethy,M40,01:26:15
44,Mestecky,Phil,Strathearn Harriers,M40,01:26:22
45,Johnson,Bob,Carnethy,M50,01:26:31
46,Blackhall,Keith,Lochaber AC,M40,01:26:40
47,Anderson,Russell,Moorfoot Runners,M50,01:26:49
48,Scott,Tom,Fife AC,M60,01:26:52
49,Roper,Marc,Giffnock North,M40,01:27:12
50,Paton,Derek,Carnethy,M40,01:27:45
51,Pryde,Gordon,Lomond Hill Runners,M50,01:27:49
52,Rowley,Gavin,Unattached,M40,01:27:55
53,Irving,Roger,Annan & District AC,M40,01:28:14
54,Anderson,Laurie,Fife AC,M50,01:28:18
55,King,Steven,Carnegie Harriers,M,01:29:07
56,Pringle,Alastair,Shettleston,M40,01:29:24
57,Kennedy,Ali,Lochaber AC,M40,01:29:29
58,Brown,Jack,Cambuslang Harriers,M40,01:29:32
59,Robertson,Iona,Shettleston,F,01:29:35
60,Jarvis,James,HBT,M,01:29:50
61,Rogers,David,Westerlands,M40,01:29:53
62,Byrne,Sara,Lochaber AC,F,01:30:07
63,McFarlane,Steven,Unattached,M,01:30:12
64,Matthews,Steve,Dundee Hawkhill,M,01:30:23
65,Hunter,Alan,Ochil Hill Runners,M40,01:30:35
66,Walker,Iain,Helensburgh AAC,M,01:30:42
67,Burnett,Neil,Unattached,M40,01:30:43
68,Cameron,Gordon,Carnethy,M50,01:30:47
69,Orr,Robin,Clydesdale Harriers,M40,01:30:52
70,Kerridge,Donald,Deeside Runners,M40,01:30:58
71,Murray,Alan,Ochil Hill Runners,M40,01:31:15
72,Gorgas,Steffen,Westerlands,M40,01:31:20
73,O`Shea,Emma,Deeside Runners,F,01:31:24
74,Hague,Peter,Cairngorm Runners,M40,01:31:26
75,Horsfield,Richard,Dark Peak,M40,01:31:27
76,Shiell,Dougie,Carnethy,M40,01:31:29
77,Oldham,Veronique,Cosmics,F40,01:31:32
78,Higginbottom,Jacqui,Carnethy,F40,01:31:44
79,Milligan,Dougie,Solway,M60,01:31:51
80,Mason,David,Linlithgow Harriers,M40,01:32:11
81,Page,Keri,Lochaber AC,F,01:32:13
82,Manson,Alan,Carnegie Harriers,M40,01:32:14
83,Dickson,David,Garscube Harriers,M50,01:32:40
84,Begley,Tommy,Irvine AC,M,01:32:43
85,Gilmore,Neil,Carnethy,M40,01:32:49
86,Penderis,Jacques,Westerlands,M40,01:32:50
87,Garcia-Catalan,Ramon,Carnethy,M40,01:32:56
88,Stevenson,John,Ochil Hill Runners,M40,01:33:08
89,Millard,Andy,Carnethy,M,01:33:30
90,Mitchell,Dave,Dundee Hawkhill,M40,01:34:11
91,Wiseman,Sarah,Ochil Hill Runners,F,01:34:15
92,Hulme,Martin,Corstorphine,M60,01:34:23
93,Denovan,John,Westerlands,M,01:34:37
94,Shepherd,Andrew,Carnethy,M40,01:34:42
95,Blackhall,Amanda,Lochaber AC,F,01:34:50
96,Wardlaw,Eilidh,HBT,F,01:35:06
97,Darlow,Tim,Carnethy,M,01:35:32
98,Duncan,David,Ochil Hill Runners,M50,01:36:19
99,Galloway,Michael,Dundee Hawkhill,M40,01:36:26
100,Connor,Julia,Moorfoot Runners,F,01:36:31
101,Roberts,Clive,Unattached,M50,01:37:03
102,Rankin,Christina,Kilbarchan,F,01:37:24
103,Pugh,Roderick,Kilmarnock Harriers,M50,01:37:28
104,Jackson,Bryan,Glasgow Uni H&H,M,01:37:32
105,Sheridan,Bob,Cosmics,M40,01:37:43
106,Brannan,Tosh,Lothian,M50,01:37:49
107,MacNab,Graham,Lochaber AC,M40,01:38:19
108,Bowman,Angus,Beacon Runners,M50,01:38:24
109,MacDonald,Kenny,Carnegie Harriers,M40,01:38:48
110,Hamilton,Anita,Cosmics,F50,01:38:54
111,Wilson,Colin,Carnethy,M40,01:39:14
112,Milne,Bruce,Carnethy,M40,01:39:25
113,Weir,Jonathan,Unattached,M,01:40:12
114,Johnston,Stephen,Milburn Harriers,M40,01:40:30
115,Scott,Cameron,Carnethy,M40,01:40:57
116,Finlay,Alayne,Ochil Hill Runners,F,01:40:59
117,Jablonski,Derek,Lomond Hill Runners,M50,01:41:12
118,Brotherston,Chris,Bellahouston RR,M40,01:41:15
