RunnerPosition,Surname,Firstname,Club,RunnerCategory,FinishTime
1,Walker,H D,Blackburn,XV,01:29:38
2,Shields,Robert,Clydesdale,DE,01:31:58
3,Cannon,David A,Kendal,N,01:35:04
4,Naylor,Jos.,Kendal,X,01:35:08
5,Davies,T,7thPara,X,01:36:44
6,Carrington,N,Sale,,01:37:21
7,McINTOSH,R,Lochaber,E,01:37:30
8,Davies,Michael P,Reading,XN,01:37:40
9,Halstead,D R,Blackburn,,01:37:45
10,Weeks,M,Bingley,,01:38:21
11,Walkington,P,Bolton,XN,01:38:42
12,Jardine,J G,Penicuik,,01:39:10
13,Smith,James,Bury,,01:39:19
14,Gauld,W A,EdinburghSouthern O,BE,01:40:01
15,Nicholson,M P,Kendal,,01:40:14
16,Wilde,Richard S,Manchester,AB,01:40:29
17,Bland,P,Kendal,M,01:40:56
18,Jackson,Robert,Sale,,01:40:58
19,Campbell,Ronald,Lochaber,X,01:41:13
20,Jarvie,Charles F,Lochaber,E,01:43:08
21,Himsworth,E M,Kendal,,01:43:24
22,Macrae,Alan,Lochaber,XC,01:43:59
23,McEVOY,Bernard E,Lochaber,ML,01:44:07
24,Breckell,S,Blackburn,,01:44:29
25,Swan,George,EdinburghSouthern,CE,01:44:39
26,Scott,Alistair,Forres,X,01:45:10
27,Jackson,S,SalfordUni,,01:45:45
28,Proctor,Trevor,Rochdale,I,01:45:54
29,Asquith,Robert,Holmfirth,CD,01:46:11
30,Hartley,D,EdinburghSouthern O,XN,01:46:27
31,Fairweather,David J,Law,M,01:46:54
32,Blenkinsop,H,Sale,X,01:47:16
33,Churchill,Andrew R,Clayton,,01:47:33
34,Townsend,D,Invicta,,01:47:39
35,Finlayson,Brian,Lochaber,XN,01:47:46
36,Murray,P J,Bolton,,01:48:04
37,Marstrand,John,Lochaber,XN,01:48:22
38,Norman,Jeffrey,Altrincham,E,01:48:23
39,Harmer,Andrew M,Portsmouth,,01:48:46
40,Blair-Fish,J A,Belgrave,,01:50:05
41,Paton,Ron,Dumbarton,MN,01:50:13
42,Astles,G R,SouthEastLancs O,X,01:50:34
43,Yate,Bill,Maryhill,?,01:51:06
44,Lewney,Robert,Barrow,,01:51:08
45,Churm,Roger,Vauxhall,MP,01:51:24
46,Cooper,W,Manchester,N,01:52:08
47,Campbell,Eddie,Lochaber,,01:52:32
48,Coleman,Peter,Vauxhall,XEG,01:52:33
49,Pyatt,D G,EdinburghSouthern O,XN,01:52:47
50,Peet,M,Ochils O,MN,01:52:50
51,Colls,J S,EdinburghSouthern O,X,01:52:53
52,Trainor,P,Keswick,XNF,01:52:57
53,Castle,R J,Invicta,XN,01:53:12
54,Ryder,Walter,Unattached,,01:53:17
55,Walford,M,Kendal,MN,01:53:32
56,Macpherson,John D,Sparkhill,,01:53:34
57,Macmillan,I,Invicta,,01:54:11
58,Young,George,Rowntrees,,01:54:12
59,Beresford,D,Clayton,C,01:54:20
60,Skinner,George,Cambuslang,,01:54:28
61,Pocock,J A,Leamington,X,01:54:33
62,Boxen,Barry,Manchester,MVN,01:54:40
63,Macmaster,A,Beith,X,01:54:46
64,Soper,Hugo A,Vauxhall,LN,01:55:17
65,McNEIL,Sandy,Clydesdale,,01:55:30
66,Osborn,John S,Blackburn,C,01:55:50
67,Rice,N,ForthValley,V,01:56:48
68,Firstbrook,Clifford,Salford,XS,01:56:51
69,Napier,,Andrew FRA,XVFP,01:57:23
70,Heaton,Alan,Clayton,,01:57:27
71,Payne,D,Bury,XV,01:57:55
72,Pearson,G,Invicta,X,01:58:03
73,Phipps,George A,Leamington,,01:58:14
74,Wilson,John,Cambuslang,E,01:58:27
75,Martin,Harry J,Dumbarton,,01:58:37
76,Mayor,Kenneth L,Bolton,,01:58:40
77,Saunders,A,7thPara,XN,01:58:58
78,Taylor,T,RAFLeuchars,,01:59:01
79,Lewis,T,RAFLeuchars,,01:59:02
80,Hutton,Thomas A,Lochaber,JN,01:59:16
81,Brad,Christopher,Worksop,,01:59:43
82,Wallace,Robert,ScottishPoliceCollege,XV,01:59:47
83,Dawes,Peter,Kendal,XN,02:00:10
84,Elliott,A,EdinburghSouthern O,MNS,02:00:22
85,Hobden,Michael J,Grimbsby,E,02:00:24
86,Clarke,John,Unattached,X,02:01:10
87,Grenfell,Robert G,ForthValley,X,02:02:37
88,Covell,B,Edinburgh,XV,02:02:45
89,Smith,William R,Clayton,BE,02:02:50
90,Knight,D,7thPara,C,02:03:48
91,Warley,J,Cambuslang,XN,02:03:51
92,McMANUS,Francis,Penicuik,X,02:03:58
93,Clarkson,Ian,GruntfuttockFertlers,XN,02:04:02
94,Anderson,John,Kinlochleven,,02:04:05
95,Ebbage,M J,Bingley,AG,02:04:18
96,Newton,Geoff,Vauxhall,A,02:04:30
97,Smith,James,Clydesdale,XN,02:04:38
98,Hargreaves,Robert K,Clayton,,02:04:39
99,Matthews,Stuart G,Bexhill,C,02:05:03
100,Little,Martin,EdinburghSouthern,,02:05:18
101,Baker,Victor,Chelmsford,MV,02:05:30
102,Makin,John,GruntfuttockFertlers,,02:05:45
103,Timms,Brian,Liverpool,XN,02:06:50
104,Hodgart,Robert L,Unattached,CH,02:06:59
105,Lamb,Alan R,NorthShieldsPoly,X,02:08:06
106,Radley,Robert,Bingley,X,02:08:29
107,Davis,A,Badenoch,XV,02:08:40
108,Whiteley,William,Blackburn,,02:09:07
109,Leal,Edmund G,Ryde,,02:09:22
110,Cameron,Malcolm,Kettering,MVV+N,02:10:41
111,Diamond,John,Law,,02:10:57
112,Smith,Thomas,Rochdale,C,02:11:14
113,Johnson,Christopher,Sparkhill,XN,02:11:22
114,McCULLOCH,T,Ayr,,02:12:29
115,Harvey,E,EdinburghSouthern O,,02:12:37
116,Paton,David L,Dundee,C,02:12:48
117,Carroll,E,Barrow,ML,02:13:09
118,Shepherd,John,Clayton,,02:13:39
119,Manning,Harry C,Clayton,A,02:13:46
120,Black,John,Livingston,EL,02:13:58
121,Nile,R J,Hillingdon,E,02:14:10
122,Smith,M,Bingley,J,02:14:12
123,Chisholm,Neil A,Lochaber,,02:14:13
124,Lowrey,Jim,RAFLossiemouth,X,02:14:27
125,Kohler,Hamish M,Morpeth,,02:14:51
126,Clelland,Gnr,27thMed,,02:15:31
127,Parker,Derek,RAFLossiemouth,MX,02:15:43
128,Connor,Ronald M,Unattached,XNJ,02:15:50
129,Heaton,Ken,Clayton,,02:15:58
130,Callister,David I,Manx,L,02:17:02
131,Smith,Dennis A,BathUni,D,02:17:44
132,Dickson,Alan,RAFLossiemouth,,02:17:50
133,Tatham,Brian,Kendal,,02:17:58
134,Hepburn,James,ScottishPoliceCollege,X,02:18:04
135,Boyce,Bryan E,Unattached,,02:18:21
136,McWATT,Ian,Dumbarton,A,02:18:26
137,McCOLL,M,RAFLeconfield,A,02:18:34
138,Harrison,Thomas,Maryhill,XN,02:18:40
139,Payne,Martin,Bury,X,02:19:09
140,Kielty,Frank,Clydesdale,CH,02:19:22
141,Clemerson,Leonard R,Kettering,,02:21:13
142,Clark,L/Bdr,27thMed,?,02:21:40
143,Singleton,B,Clayton,XN,02:23:27
144,Johnston,Robert J,ThamesValley,XN,02:24:03
145,Jackson,B,Salford,,02:24:43
146,Meek,D,Keswick,P,02:28:55
147,Meath,Michael A,Clayton,XV,02:31:58
148,Young,Henry,ScottishPoliceCollege,XNJ,02:33:50
149,Glen,D,Cambuslang,,02:34:06
150,Mackenzie,Brian,RAFLossiemouth,,02:35:17
151,Brownlie,James,Cambuslang,,02:35:36
152,Knight,A,7thPara,XNV,02:35:49
153,Large,Derek,Barrow,L,02:40:33
