RunnerPosition,Surname,Firstname,Club,RunnerCategory,FinishTime
1,Duncan,John,Cosmics,M,2:01:30
2,Whitlie,Stewart,Carnethy Hill Running Club,MV,2:03:24
3,Keith,Alec,Hunters Bog Trotters,M,2:10:47
4,Smith,Alan,Deeside Runners,MV,2:17:04
5,Campbell,Ruairidh,Arbroath Footers,M,2:20:49
6,Smith,Bruce,Standard Life Athletic Club,M,2:21:55
7,Reeve,Steve,Moray Road Runners,M,2:24:35
8,Angus,Gerald,Keith & District AAC,MV,2:25:31
9,Mykura,Willie,Carnethy Hill Running Club,MV,2:26:48
10,Matheson,Ian,Thames Valley Harriers,M,2:30:19
11,Richards,Caspian,Deeside Runners,M,2:30:44
12,Harwood,Eddie,Moravian,MS,2:31:31
13,McGuire,Alex,Fife AC,MS,2:33:18
14,Bain,Andy,Tri-buchan,M,2:34:36
15,Gordon,Robert,Bristol,M,2:37:35
16,McEwen,Murdo,Carnethy Hill Running Club,MV,2:38:00
17,Duncan,David,Ochil Hill Runners,MV,2:41:42
18,Hunter,Stuart,Cosmics,M,2:44:05
19,Johnstone,Derek,Cosmics,MV,2:45:32
20,Main,Gordon,Nairn Road Runners,MV,2:47:26
21,Bain,Gilbert,Moray Road Runners,MV,2:47:26
22,Beyts,Angus,Forfar Road Runners,MV,2:48:19
23,Gibson,Willie,Carnethy Hill Running Club,MV,2:48:39
24,Stewart,Moira,Carnethy Hill Running Club,FV,2:48:46
25,Amphlett,Pete,Moray Road Runners,MV,2:49:23
26,Stewart,Jim,Lochaber AC,MS,2:49:30
27,Dowell,Findlay,Irvine A C,MV,2:53:59
28,MacLeod,Johnathan,Lochaber AC,MV,2:57:46
29,McDonald,Brian,Perth Road Runners,M,3:00:30
30,Stafford,Margaret,Cosmics,FV,3:30:00
31,Mardall,Nick,Ballater,M,3:04:55
32,Stewart,Elaine,Cosmics,FV,3:06:26
33,Anderson,Joanne,Carnethy Hill Running Club,FV,3:08:02
34,Cotton,Hugh,Dark Peak,MS,3:10:46
35,Green,Dave,Moray Road Runners,MV,3:17:50
36,Smith,Craig,Lossiemouth,M,3:17:50
37,Crowe,Johnathan,Cosmics,M,3:22:46
38,Knight,Moira,Deeside Runners,FV,3:26:56
39,Gillespie,Drew,Lossiemouth,MV,3:29:57
40,Donald,Pat,Deeside Runners,FV,3:32:22
41,Stanyon,Peter,Lossiemouth,M,3:33:08
42,Spear,Derek,Moray Road Runners,MV,3:33:59
43,McDonald,Kevin,Dufftown,M,4:00:41
44,Kirkby,Paul,Losimouth,M,4:05:40
45,Wilkins,John,Arbroath Footers,MS,4:20:00
46,McGregor,Jim,Moray Road Runners,MS,dnf
47,Lahoz,Manuel,Spain,MV,dnf
