RunnerPosition,Surname,FirstName,Club,RunnerCategory,FinishTime
1,Sinclair,Rob,Highland HR,M,01:56:29
2,Owens,Tom,Shettleston H,M,02:02:39
3,Greig,Kyle,Metro Aberdeen,M,02:04:59
4,Lennon,Eoin,Carnethy,M,02:07:54
5,Alexander,Sam,Westerlands,M,02:13:33
6,Newsom,John,Inverness H,M,02:14:35
7,McAlinden,Niall,Westerlands,M,02:17:19
8,Wagner,Stefan,Cosmics,M40,02:17:49
9,Carter,Justin,Cambuslang,M40,02:19:10
10,Williamson,Clyde,Cosmics,M,02:21:28
11,Campbell,Donald,Highland HR,M,02:21:57
12,Brian,Tom,Metro Aberdeen,M,02:22:25
13,Stephen,Jill,HBT,F,02:23:29
14,Winter,Stephen,Shettleston H,M40,02:24:44
15,Pringle,Stuart,Deeside Runners,M40,02:28:45
16,McDougall,Stephen,Carnethy,M,02:29:34
17,Muir,Jonny,Carnethy,M,02:29:56
18,Ward,Jon,Moray,M,02:30:05
19,Stewart,Mike,Keith & District,M50,02:30:17
20,Collins,Ted,Forres,M,02:31:26
21,Ramsay,Lawrence,Police Scotland,M,02:31:39
22,Callender,James,Westerlands,M,02:31:45
23,Morrison,Catriona,Highland HR,F40,02:32:03
24,Walmsley,Dan,Highland HR,M40,02:32:55
25,Paterson,Robbie,Moray,M,02:34:53
26,Rogan,Paul,Moray,M50,02:38:21
27,Willis,Jake,Lochaber AC,M40,02:38:45
28,Ashworth,James,Ochil,M40,02:38:58
29,Mitchell,Scott,Club Atletismo Cuarte,M,02:39:58
30,Dashper,Wayne,Moray,M40,02:40:49
31,Freshwater,Craig,HBT,M,02:41:53
32,Svisdal,Odin,Unattached,M40,02:42:45
33,Gamble,Jon,Metro Aberdeen,M,02:43:19
34,Henderson,Walter,Shettleston H,M50,02:43:21
35,Matthews,Steve,Dundee Hawkhill,M40,02:44:00
36,Buchan,Steve,Metro Aberdeen,M40,02:44:13
37,Gillies,Jenny,Spey Runners,F,02:44:24
38,Wingrove,Scuz,Unattached,F40,02:44:35
39,Campbell,Rachael,Highland HR,F,02:44:54
40,Ball,Duncan,Penicuik Harriers,M50,02:45:09
41,Oldham,Veronique,Cosmics,F50,02:46:16
42,MacDonald,Matt,Lochaber AC,M,02:51:56
43,Hurst,Harry,Forres,M,02:59:59
44,Williamson,Jason,Cosmics,M40,03:00:45
45,Cameron,Hilary,Forres,F40,03:01:13
46,Winn,Mike,Unattached,M40,03:02:27
47,Inglis,Andrew,Cosmics,M,03:02:51
48,Angus,Gerald,Keith & District,M50,03:03:58
49,Caldwell,Christine,Wee County,F40,03:04:11
50,McFadzean,Peter,Deeside Runners,M40,03:05:06
51,Baxter,Ros,Insch TR,F40,03:06:01
52,MacLean,Robert,Lochaber AC,M50,03:09:52
53,Younie,Shane,Unattached,M,03:10:39
54,Smith,Lynn,Cosmics,F50,03:10:57
55,Wilson,Euan,Insch TR,M,03:11:51
56,Naughton,David,Deveron,M40,03:14:32
57,Frazer,Bob,Unattached,M40,03:15:34
58,Low,Matthew,Dundee Road Runners,M,03:16:11
59,Bentley,Andy,Spey Runners,M40,03:16:28
60,Gordon,Andrew,Cosmics,M50,03:19:09
61,Troon,Alistair,Unattached,M40,03:20:23
62,Maltman,Iain,Unattached,M,03:20:41
63,Campbell,Graeme,Inverness H,M50,03:26:10
64,Martin,Keith,Harmeny,M50,03:26:33
65,Morrison,Sandy,Carnethy,M,03:28:53
66,Antczak,Steven,Unattached,M40,03:29:54
67,White,David,Helm Hill,M40,03:30:07
68,Aubrey,Kathleen,Helm Hill,F50,03:30:07
69,Dales,Mike,Perth RR,M50,03:30:32
70,Ferguson,Allan,Forfar,M,03:33:21
71,Garrett,Blair,Calder Valley,M,03:33:46
72,Little,Rachel,Insch TR,F,03:37:03
73,Robertson,Hugh,Insch TR,M40,03:37:21
74,Anderson,Lauren,Cosmics,F,03:38:11
75,Athanasiadis,Andreas,Unattached,M50,03:38:41
76,Sinclair,William,Unattached,M,03:42:10
77,Thomson,Iain,Strathearn,M70,03:42:16
78,Broadhurst,Lorna,Harmeny,F50,03:43:22
79,Manson,Fiona,Perth RR,F50,03:46:12
80,Mackie,Eugene,Highland HR,M,03:46:19
81,Walker,Grant,Unattached,M,03:46:20
82,Yuill,Andre,Trail Tribe,M,03:46:27
83,Gates,Dan,Glasgow Triathlon,M40,03:48:56
84,Main,Gordon,Nairn,M60,03:51:09
85,Day,Marc,Unattached,M40,03:55:31
86,Munro,Eleanor,Keith & District,F40,03:58:54
87,Dawson,Stewart,Unattached,M40,04:05:26
88,Munro,Mike,Spey Runners,M,04:05:26
89,Campbell,Rod,Cosmics,M70,04:08:22
90,Simpson,Marianne,Spey Runners,F50,04:19:33
