RunnerPosition,Surname,FirstName,Club,RunnerCategory,FinishTime
1,Espie,James,Deeside Runners,M,00:26:37
2,Rawlinson,Stephen,Lochtayside,M,00:28:03
3,Cowie,Ross,Unattached,M,00:30:24
4,Smith,Alan,Deeside Runners,M50,00:30:58
5,MacInnes,Alasdair,Westerlands,M,00:31:06
6,Cooper,David,Unattached,M,00:31:16
7,Freshwater,Craig,HBT,M,00:31:32
8,McWhinnie,Iain,Fife AC,M,00:31:39
9,Carter,Justin,Cambuslang Harriers,M40,00:31:56
10,Stephen,Jill,HBT,F,00:32:10
11,Fallon,Steven,Carnethy,M50,00:32:43
12,McWhinnie,Gavin,Fife AC,M,00:32:49
13,Gilkison,Alan,Westerlands,M40,00:33:07
14,Cunningham,Roddy,Westerlands,M,00:33:58
15,Bass,Owen,Deeside Runners,M50,00:34:38
16,Gilmore,Neil,Carnethy,M50,00:34:43
17,Mason,David,Linlithgow AC,M50,00:34:48
18,Brodie,Stuart,Ochil HR,M,00:34:52
19,Campbell,Donald,Unattached,M40,00:34:59
20,Lipton,Gareth,Unattached,M,00:35:00
21,Cowan,David,Fife AC,M50,00:35:08
22,Black,Ali,Carnethy,M,00:36:33
23,Houston,Val,Westerlands,F50,00:36:41
24,Melville,Peter,Unattached,M,00:37:09
25,Coombs,Richard,Ochil HR,M40,00:37:14
26,Wyse,Ross,Fife AC,M,00:37:19
27,Shaw,Trevor,Lochtayside,M50,00:37:41
28,Scott,David,Ochil HR,M60,00:37:49
29,McIntosh,Mairi,Ochil HR,F40,00:37:59
30,Dudchenko,Paul,Linlithgow AC,M50,00:38:48
31,Hetherington,Michelle,Westerlands,F50,00:39:00
32,McKiddie,Christopher,Westerlands,M,00:39:20
33,Macleod,Murdo,Westerlands,M60,00:39:24
34,Brown,Jamie,HBT,M,00:39:26
35,Cocking,Peter,Unattached,M,00:39:35
36,Fitzpatrick,Pat,Ochil HR,M60,00:40:22
37,Kealey,Philip,Unattached,M40,00:41:09
38,Weir,Jonathan,Unattached,M40,00:42:22
39,Fleming,Rod,Westerlands,M,00:42:47
40,Sinclair,David,Perth Road Runners,M,00:42:51
41,Duncan,David,Ochil HR,M60,00:43:12
42,Gall,Allan,Central AC,M60,00:43:28
43,Stevenson,John,Ochil HR,M50,00:43:33
44,Harris,Mark,Kilbarchan AAC,M40,00:43:36
45,Crow,Sonja,Perth Road Runners,F,00:45:09
46,Friel,Caroline,Unattached,F,00:45:14
47,Rheinalls,Helledd,Perth Road Runners,F,00:45:15
48,Dunn,Mark,Perth Road Runners,M,00:49:12
49,Stakes,David,Bellahouston Road Runners,M50,00:50:10
50,Chadband,Michael,Unattached,M,00:51:55
51,McLean,Herbie,Lochtayside,M70,00:52:24
52,Webley,Ella,Perth Road Runners,F,00:54:24
53,Henderson,John,Fife AC,M40,01:08:23
