RunnerPosition,Surname,Firstname,Club,RunnerCategory,FinishTime
1,Bartlett,Graeme,Forres Harriers,M Record,0:55:10
2,Whitehead,Dan,Cosmics,M,0:55:41
3,Raistrick,Paul,Unknown,M,0:55:51
4,Whittet,Jeremy,Keith & Dist,M,0:58:57
5,Flynn,Martin,Carnethy Hill Racers,MV,1:00:16
6,Smith,Alan,Deeside Runners,MV,1:01:51
7,Williamson,Jason,Garioch Road Runners,M,1:02:32
8,Armitage,David,Cosmics,MSV,1:02:48
9,Cowie,Philip,Metro Aberdeen,MV,1:02:57
10,Smith,Stephen,Aberdeen AAC,M,1:03:05
11,Lorimer,Hayden,Hunters Bog Trotters,M,1:03:18
12,Duguid,David,Aberdeen AAC,M,1:03:31
13,Robertson,Keith,Cosmics,M,1:04:59
14,Reeve,John,Cosmics,M,1:05:39
15,Wood,Douglas,Three Peaks Triathletes,MV,1:07:59
16,Armitage,Sonia,Cosmics,FV,1:08:01
17,Wilkinson,David,Cosmics,MV,1:08:10
18,Leach,Rupert,Unknown,M,1:08:36
19,Jermieson,Ashley,Cosmics,MSV,1:09:55
20,Doig,Alex,Unknown,M,1:11:22
21,Anderson,Laurie,Unknown,MV,1:11:58
22,Edwards,David,Kings Triathletes,MV,1:12:15
23,Slater,Paul,Unknown,M,1:12:55
24,Preece,Ben,Deeside Runners,MSV,1:12:56
25,Cran,Ian,Garioch Road Runners,MV,1:13:36
26,Litterick,Tom,Aberdeen AAC,MV,1:13:48
27,Gray,Russell,Unknown,M,1:14:04
28,Amphlett,Pete,Moray Road Runners,MSV,1:14:35
29,Bryce,Murray,Garioch Road Runners,MSV,1:14:56
30,Blain,Alastair,Cosmics,M,1:15:08
31,Hope,Matt,Unknown,M,1:15:43
32,Bethell,Linda,Lochaber AC,F,1:16:12
33,Hamilton,Jim,Metro Aberdeen,M,1:16:15
34,Eaton,Jane,Garioch Road Runners,F,1:16:24
35,McDonald,Derek,Unknown,MV,1:16:44
36,Cromar,Steve,Dundee Hawkhill,MSV,1:17:18
37,Golightly,Chris,Unknown,M,1:17:36
38,Marks,Graeme,Cosmics,MSV,1:17:39
39,Dougherty,Michael,Deeside Runners,MSV,1:17:42
40,Taylor,Colin,Cosmics,MV,1:18:17
41,Reid,Colin,Unknown,M,1:19:07
42,Davidson,Ian,Maroc,MV,1:19:19
43,Cook,Georgina,Unknown,F,1:19:35
44,Nicol,Leslie,Unknown,MSV,1:19:47
45,Urwin,Donna,Garioch Road Runners,F,1:19:50
46,Craig,Bruce,Unknown,M,1:19:53
47,Jennings,Vaughan,Deeside Runners,MV,1:20:03
48,Oliver,David,Aberdeen AAC,MSV,1:20:37
49,Morrison,Andrew,Unknown,M,1:22:05
50,Noble,Lois,Cosmics,FV,1:22:52
51,Stewart,Elaine,Cosmics,FV,1:23:09
52,Sutherland,Lynda,Unknown,F,1:23:10
53,Hardt,Bo,Unknown,MV,1:23:18
54,Higgins,A,Fraserburgh,MSV,1:23:37
55,MacRitchie,Neil,Unknown,M,1:24:02
56,Arbuthnott,Neil,Unknown,MV,1:24:14
57,Bethell,Andy,Unknown,M,1:24:44
58,Carter,Sue,Metro Aberdeen,FV,1:25:36
59,Askew,Roy,Unknown,MV,1:25:45
60,Owens,Phil,Garioch Road Runners,MV,1:26:08
61,Giudicelli,Christian,Unknown,MV,1:26:15
62,Mullin,John,Unknown,MV,1:26:56
63,Kane,Paul,Unknown,M,1:27:28
64,Hird,Caroline,Chapel Cheetahs,F,1:28:00
65,Manson,Robert,Unknown,M,1:28:02
66,Munro,Eleanor,Keith & Dist,F,1:29:23
67,Hairabetian,Verenique,Unknown,F,1:30:30
68,Gayle,Vernon,Buchan-smith Harriers,M,1:32:03
69,Staniforth,David,Unknown,MSV,1:33:15
70,Guy,Diane,Unknown,F,1:33:54
71,Hernon,Claire,Unknown,F,1:38:47
72,Stephen,Peter,Garioch Road Runners,MV,1:40:14
73,Cheyne,Suzanne,Unknown,F,1:40:29
74,Musgrave,Frank,Unknown,MSV,1:40:53
75,Fowler,Graham,Unknown,M,DNF
76,Jermieson,Diana,Cosmics,FSV,DNF
