RunnerPosition,Surname,FirstName,Club,RunnerCategory,FinishTime
1,Greig,Kyle,Forres Harriers,MS,00:54:17
2,Shearer,Craig,HCAC,MS,00:58:32
3,Espie,James,Deeside Runners,MS,00:58:33
4,Hill,Chris,Cosmic HB,MS,00:58:34
5,Wilby,David,Highland Hillrunners,MS,00:59:13
6,French,George,GRR,MS,01:00:05
7,Manson,Iain,Unattached,MS,01:00:57
8,Gaastra,Alex,Cosmic HB,MS,01:02:20
9,Tomlin,Chris,Cosmic HB,MV,01:02:40
10,Henry,Peter,Deeside Runners,MS,01:03:01
11,Nicolson,William,Cosmic HB,MV,01:03:27
12,Marshall,David,Cosmic HB,MS,01:03:34
13,Pringle,Stuart,Deeside Runners,MS,01:03:43
14,Geoghegan,Michael,Portobello Running Club,MS,01:04:25
15,Whiteside,Gavin,Highland Hillrunners,MS,01:05:11
16,Milne,David,Unattached,MS,01:05:19
17,Smith,Alan,Deeside Runners,MSV,01:05:25
18,Body,Stephen,Unattached,MS,01:05:45
19,Lorimer,Hayden,Unattached,MV,01:06:26
20,Inglis,Andrew,Cosmic HB,MS,01:06:52
21,Ingram,Barry,Metro Aberdeen Running Club,MS,01:06:53
22,Stephen,Kevin,Garioch Road Runners,MS,01:07:34
23,Young,Gregor,HNSC,MS,01:08:04
24,Ross,Jamie,Deeside Runners,MS,01:08:18
25,Rennie,Nick,Unattached,MSV,01:08:43
26,McDonald,Dennis,Cosmic HB,MSV,01:09:29
27,Knight,Paul,Metro Aberdeen Running Club,MS,01:09:42
28,Oldham,Veronquie,Cosmic HB,FV,01:09:55
29,Crighton,Calum,Fraserburgh Running Club,MS,01:10:23
30,Ord,Steven,Deeside Runners,MV,01:10:30
31,Marwick,Caroline,Inverness Harriers,FS,01:10:38
32,Roach,John,Kingsford Crusaders,MS,01:10:42
33,McLeod,Carolyn,Unattached,FSV,01:10:46
34,Muir,Innes,Jura AC,MS,01:11:09
35,Andrews,Dave,Unattached,MS,01:11:12
36,Souter,John,Unattached,MS,01:11:19
37,Bain,Andy,MAROC,MV,01:11:23
38,Mackenzie,Ruth,Deeside Runners,FV,01:11:23
39,Orme,Ian,Three Peaks,MS,01:11:29
40,Taylor,Gordie,Highland Hillrunners,MSV,01:11:31
41,Rahn,Thilo,Aberdeen Mountain Rescue Team,MS,01:11:33
42,Prise,Siobhan,AAAC,FS,01:11:37
43,Chateil,Adrien,Unattached,MS,01:11:47
44,Thompson,Stuart,Nairn Road Runners,MS,01:12:05
45,Yeats,Peter,Unattached,MV,01:12:12
46,Ridley,Nick,Unattached,MS,01:12:15
47,Anderson,Craig,Metro Aberdeen,MV,01:12:51
48,Riddell,Hugh,Unattached,MSV,01:12:59
49,Roberts,Richard,Unattached,MSV,01:13:00
50,Fenton,Robert,Unattached,MS,01:13:02
51,Wallis,Sally,Deeside Runners,FS,01:13:19
52,Morgan,Neil,Jog Scotland BoD,MV,01:13:32
53,Soloman,Chris,Unattached,MS,01:14:10
54,Stockton,Mark,Cosmic HB,MS,01:14:12
55,Moffat,John,Highland Hill Runners,MSV,01:14:15
56,Irwin,Larry,Unattached,MS,01:14:17
57,Rhodes,Peter,Unattached,MS,01:14:22
58,Bacon,Robert,Unattached,MS,01:14:29
59,Jennings,Peter,Metro Aberdeen Running Club,MSV,01:14:38
60,Pritchett,Martin,MAROC,MV,01:15:00
61,Leonard,Lisa,Unattached,FS,01:15:27
62,Sutherland,Ally,Unattached,MS,01:15:43
63,Fraser,Mitchell,Edinburgh RC,MV,01:15:53
64,Naughton,David,Banff Road Runners,MV,01:15:59
65,Andrews,Guy,Unattached,MV,01:16:05
66,Glennie,Martin,Unattached,MS,01:16:13
67,Wilkie,Martin,Unattached,MS,01:16:22
68,Newman,Miles,Deeside Runners,MSV,01:16:25
69,McPherson,George,Metro Aberdeen Running Club,MSV,01:16:34
70,Morrison,Angus,Unattached,MV,01:16:41
71,Reeves,Carl,Cosmic HB,MV,01:16:47
72,Rendall,Samantha,Deeside Runners,FS,01:16:49
73,Grant,Ewan,Unattached,MS,01:16:57
74,Young,James,The Darkside,MS,01:17:05
75,Weir,Jonathan,Unattached,MS,01:17:08
76,Milne,Ronald,Forfar Road Runners,MSV,01:17:24
77,Hodgkinson,Sarah,Cosmic HB,FS,01:17:39
