RunnerPosition,Surname,FirstName,Club,RunnerCategory,FinishTime
1,Greig,Kyle,Metro Aberdeen,M,04:22:31
2,Payne,Edward,Unattached,M,04:39:42
3,Paterson,Robbie,Moray Road Runners,M,04:41:22
4,Stevens,David,Metro Aberdeen,M,04:45:02
5,Massie,Paul,Unattached,M,04:48:47
6,Killingbeck,Siobhan,Metro Aberdeen,F,04:53:56
7,Herbert,Anthony,Deveron Harriers,MV,05:01:09
8,Sutherland,Ally,Cosmics,MV,05:07:12
9,Torrance,Peter,Unattached,M,05:10:28
10,Doidge-Harrison,Steve,Unattached,MV,05:16:19
11,Naughton,David,Deveron Harriers,MV,05:19:56
12,Le Huray,Mark,Metro Aberdeen,MV,05:23:40
13,Mackay,Craig,Unattached,M,05:24:05
14,Murray,Emma,Jog Scotland Kintore RC,F,05:25:20
15,Hargreaves,Stephen,Steel City Striders RC,MV,05:25:36
16,Scott,David,Metro Aberdeen,MV,05:27:36
17,Pallister,Jamie,Newburgh Dunes RC,M,05:27:56
18,Sweeney,Gary,Moray Road Runners,M,05:27:56
19,Young,Scott,Unattached,M,05:29:08
20,Dallas,Robert,Unattached,MV,05:29:37
21,Watson,Catherine,Unattached,FV,05:30:34
22,Ellis,Mike,Unattached,M,05:36:53
23,Robertson,Angus,LTRC,MV,05:37:32
24,Helmore,Steven,Cosmics,MV,05:42:58
25,Maltman,Stuart,Unattached,M,05:46:24
26,Thompson,Andrew,Metro Aberdeen,MV,05:47:57
27,Young,Shona,Lothian Running Club,FSV,05:52:41
28,Gillespie,Angus,Unattached,MSV,05:55:53
29,Lamont,Gary,Unattached,MV,05:56:20
30,Boza,Tomas,Garioch Gazelles,M,05:57:13
31,Calder,Mark,Insch Trail Running Club,M,05:57:47
32,Milne,Sarah,Unattached,F,05:57:51
33,Dey,Jacoline,Insch Trail Running Club,FV,05:58:23
34,Davidson,Kevin,Unattached,M,06:00:53
35,Bruce,Chris,Unattached,M,06:00:56
36,Keenan,Jack,Unattached,MV,06:04:19
37,Barron,Bob,Deveron Harriers,MV,06:04:24
38,Cumming,Robert,Deveron Harriers,MSV,06:04:24
39,Mutch,Caron,Unattached,FV,06:07:40
40,Torrance,Andy,Unattached,MV,06:11:42
41,Watson,Gareth,Turriff Running Club,MV,06:12:11
42,Toller,Richard,Dundee Road Runners ,MV,06:32:13
43,Odriscoll,Andrew,Unattached,M,06:35:04
44,Ipsen,Poul,Insch Trail Running Club,MV,06:35:26
45,Burnett,Chris,Unattached,MV,06:35:47
46,Armstrong,Iain,Jog Scotland Kintore RC,MSV,06:35:47
47,Whyte,Jo,Garioch Roadrunners,FV,06:37:22
48,Garnham,Jenny,Garioch Roadrunners,FSV,06:37:22
49,Macdougall,Martin,Deveron Harriers,MV,06:41:33
50,Masson,Richard,Metro Aberdeen,MV,06:41:40
51,Mann,Phil,Unattached,MV,06:42:49
52,Gray,Donna,Unattached,FV,06:43:06
53,Liversidge,Ray,Unattached,MV,06:43:49
54,Anderson,Fiona,Unattached,FV,06:43:58
55,Carstens,Jan,Unattached,MV,06:43:58
56,Buchan,Glynis,Unattached,FV,06:43:58
57,Gilmore,David,Fraserburgh Running Club,M,06:47:35
58,Sahraie,Tracey,Unattached,FSV,06:51:06
59,Smith,Jennifer,Carnegie Harriers,FV,07:00:49
60,Rathbone,John,Insch Trail Running Club,M,07:07:19
61,Mckechnie,Russell,Highland Hill Runners,MSV,07:11:05
62,Vasey,Don,Unattached,MV,07:22:07
63,Kershaw,Daniel,Falkland Trail Runners,MV,07:22:07
64,Kirk,Leonie,Unattached,FV,07:23:26
65,Calder,Colin,Insch Trail Running Club,MSV,07:24:06
66,Cowan,Victoria,Unattached,FV,07:27:13
67,Michie,Joy,Unattached,FSV,07:30:05
68,Duncan,Michael,Unattached,MSV,07:30:09
69,Chalmers,George,Unattached,MSV,07:30:36
70,Mcintosh,David,Unattached,MSV,07:32:01
71,Donoghue,Karen,Unattached,FSV,07:32:23
72,Walker,Hazel,FIt Like Joggers,FV,07:36:03
73,Wallace,Sarah,Metro Aberdeen,F,07:36:03
74,Kidd,John,Unattached,MV,07:47:50
75,Johnston,Mhairi,Three Peaks Triathletes,F,07:53:26
