RunnerPosition,Surname,Firstname,Club,RunnerCategory,FinishTime
1,Lennox,Jethro,Shettleston H,M,00:17:29
2,Symonds,Andy,Carnegie H,M,00:18:12
3,Anthony,Alasair,Ochil HR,M,00:18:18
4,Peachey,Simon,Carnethy HRC,M,00:18:30
5,Symonds,Joe,Dundee HH,M,00:18:40
6,Marshall,Brian,HELP,M,00:18:43
7,Wright,Andrew,Carnegie H,M,00:19:07
8,Owens,Tom,Shettleston H,M,00:19:10
9,Blake,Henry,Highland HR,M,00:19:16
10,Whitlie,Stewart,Carnethy HRC,M40,00:19:19
11,Richmond,Kenny,Bellahouston RR,M,00:19:20
12,Donnelly,Colin,Lochaber AC,M40,00:19:39
13,Sullivan,Matthew,Shettleston H,M,00:19:45
14,Crowe,Des,Shettleston H,M40,00:19:48
15,Fallon,Steven,Carnethy HRC,M40,00:19:56
16,Smith,Tom,Lochaber AC,M,00:19:59
17,Watson,Cameron,Pitreavie,M,00:20:04
18,Scott,Nigel,Westerlands CCC,M40,00:20:05
19,Cummins,Dave,Shettleston H,M40,00:20:17
20,Lawrence,Tommy,Carnegie H,M,00:20:29
21,Gay,Dan,HBT,M,00:20:31
22,Riach,David,Westerlands CCC,M40,00:20:31
23,Britton,James,Moorfoot R,M,00:20:35
24,Smith,Alan,Deeside R,M40,00:20:35
25,Mitchell,Craig,Lochaber AC,M,00:20:43
26,Davis,Adrian,Carnethy HRC,M40,00:20:47
27,Iida,Yujiro,EUH&H,M,00:20:49
28,Ward,Peter,Lochaber AC,M,00:20:52
29,Thin,Jamie,HBT,M40,00:20:53
30,Johnston,Mark,Bellahouston RR,M,00:20:54
31,Patterson,Malcolm,Shettleston H,M50,00:20:57
32,Crowe,Jamie,Dundee HH,M23,00:21:02
33,Ascroft,Jon,Carnethy HRC,M,00:21:09
34,Harris,Adam,Fife AC,M23,00:21:10
35,Smith,Bruce,Carnethy HRC,M40,00:21:15
36,Spenceley,Andy,Carnethy HRC,M40,00:21:19
37,Popham,Frank,Fife AC,M,00:21:20
38,Bannerman,Ross,Highland HR,M,00:21:23
39,Laing,Martin,Fife AC,M50,00:21:29
40,Mair,Will,HBT,M,00:21:36
41,Roper,Marc,Giffnock North AC,M40,00:21:38
42,Kemp,Benjamin,Portobello RC,M,00:21:39
43,Gorman,Manny,Westerlands CCC,M40,00:21:47
44,Schmidt,Elke,Bellahouston RR,F,00:21:54
45,Love,Craig,Dundee HH,M,00:21:58
46,Scott,David,Ochil HR,M50,00:22:11
47,Bennet,Sandy,Carnegie H,M40,00:22:14
48,Reid,Don,Westerlands CCC,M50,00:22:20
49,Buchanan,Peter,Portobello RC,M40,00:22:21
50,Howett,Andrew,Fife AC,M,00:22:26
51,McMillan,Malcolm,Unatt,M,00:22:35
52,Clarke,Daniel Wade,Fife AC,M,00:22:37
53,Gordon,Claire,HBT,F,00:22:42
54,McDonald,Graeme,Unatt,M,00:22:43
55,Anderson,Laurie,Fife AC,M40,00:22:47
56,McDonald,Kenny,Carnegie H,M40,00:22:50
57,Scott,Dawn,Lochaber AC,F,00:23:01
