RunnerPosition,Surname,Firstname,Club,RunnerCategory,FinishTime
1,Bryson,Gavin,Unattached,M20,00:36:07
2,Carcas,Freddie,Edinburgh AC,M20,00:37:09
3,Donnelly,Colin,Cambuslang H,M40,00:39:23
4,Khursheed,Faisal,Gala H,M20,00:39:23
5,Berry,Tom,Garscube H,M20,00:40:34
6,Smith,Daniel,PH Racing Club,M20,00:40:54
7,Sanderson,Stuart,Penicuik Harriers,M40,00:43:08
8,Walling,Craig,HBT,M,00:43:09
9,Stevenson,Cody,Garscube H,M20,00:43:32
10,Hickey,Hamish,Ross County AC,M20,00:43:57
11,Morris,Craig,Fife AC,M20,00:44:11
12,Davidson,Kenneth,Moorfoot R,M40,00:44:45
13,Johnson,Bob,Gala H,M40,00:45:00
14,Renville,Alan,Carnethy HRC,M40,00:46:01
15,Smith,Arun,Garscube H,M20,00:47:26
16,Lunn,Anthony,Gala H,M40,00:47:43
17,Roberts,Clive,Fife AC,M40,00:47:53
18,Milne,Jeremy,Carnethy HRC,M40,00:48:38
19,McCulloch,Billy,Gala H,M40,00:49:22
20,Furse,Chris,Westerlands CCC,M40,00:49:56
21,Waldie,David,Unattached,M40,00:51:55
22,Elder,Alan,Moorfoot R,M40,00:53:52
23,Purves,James,Gala H,M40,00:56:06
24,Stewart,Alister,Tinto HR,M40,00:56:13
25,Todd,Finlay,Ross County AC,M20,00:57:21
26,Khursheed,Amjad,Unattached,M40,00:57:54
27,Coyle,Shaun,Unattached,M40,00:58:02
28,Lockie,Paul,Teviotdale H,M40,01:00:48
29,Sloan,Robin,Carnethy HRC,M40,01:01:21
30,Gunn-Russell,Kenny,Harmeny AC,M40,01:05:10
31,Birch,Frank,Teviotdale H,M40,01:11:18
