RunnerPosition,Surname,FirstName,Club,RunnerCategory,FinishTime
1,Park,Luke,HBT,M,00:05:31
2,Marks,Jonathon,Carnethy,M,00:05:42
3,Chepelin,Alexander,Carnethy,M,00:05:45
4,Brodie,Stuart,Ochil HR,M,00:06:02
5,Shekleton,Nigel,Carnethy,M,00:06:04
6,Gardner,Peter,HBT,M,00:06:09
7,Reid,Don,Westerlands CCC,M60,00:06:13
8,Luetchford,Alex,HBT,M,00:06:19
9,Russell,Alan,Unattached,M,00:06:23
10,Weir,Jonathan,Unattached,M40,00:06:32
11,Robson,Scott,Carnethy,M,00:06:34
12,McDougall,Stephen,Carnethy,M,00:06:40
13,Seefeldt,Scott,Carnethy,M,00:06:41
14,Kinninmonth,Alex,Carnethy,M,00:06:41
15,Lampard,Stuart,Unattached,M50,00:06:41
16,Lavin,Daniel,Carnethy,M,00:06:47
17,Bladon,Andrew,Carnethy,M,00:06:47
18,Burnett,Neil,Carnethy,M50,00:07:01
19,Valters,Declan,Carnethy,M,00:07:05
20,Fathers,James,Carnethy,M,00:07:06
21,Wilson,Richard,Carnethy,M,00:07:12
22,Smith,Bruce,Carnethy,M50,00:07:12
23,Greig,Rory,Unattached,M,00:07:17
24,Mitchell,Neill,Fife AC,M50,00:07:18
25,Owen,Rob,Carnethy,M,00:07:36
26,Preston,Lee,Ochil HR,M,00:07:36
27,Haines,Lucy,Edinburgh Uni H&H,F,00:07:38
28,Marks,Freya,Carnethy,F,00:07:45
29,Friedrich,Juliane,Penicuik H,F,00:07:47
30,Hogg,Alan,Carnethy,M60,00:07:47
31,Marks,Lindsay,Carnethy,F,00:07:59
32,Fordyce,Ken,Carnethy,M40,00:08:08
33,Downie,Chris,Penicuik H,M50,00:08:18
34,Henly,Kathy,Carnethy,F50,00:08:18
35,Leason,Elizabeth,Carnethy,F,00:08:30
36,Cameron,Gordon,Carnethy,M60,00:08:38
37,Sandeman,Donald,Harmeny,M60,00:08:42
38,Dobbs,Alex,Carnethy,M,00:09:08
39,Duncan,David,Ochil HR,M60,00:09:16
40,Fortune,Carole,Gala Harriers,F50,00:09:29
41,McPherson,Hugh,Tinto HR,M70,00:10:11
42,Wilkinson,Michael,Carnethy,M50,00:10:17
43,Caldwell,Alison,Carnethy,F,00:10:48
