RunnerPosition,Surname,Firstname,Club,RunnerCategory,FinishTime
1,Griffin,Tim,Cosmics,SM(1),0:47:54
2,Musgrave,Jon,Deeside Runners,VM(1),0:49:15
3,Lorimer,Hayden,Cosmics,SM(2),0:49:26
4,Smith,Alan,Deeside Runners,VM(2),0:50:21
5,Armitage,David,Cosmics,SVM(1),0:50:36
6,Robertson,Keith,Cosmics,SM(3),0:51:22
7,Pryce,Carl,Cosmics,VM(3),0:51:29
8,Williamson,Jason,Garioch Road Runners,SM(4),0:53:34
9,Love,Craig,Dundee Hawkhill,SM(5),0:54:32
10,Hanlon,Dave,Dundee Hawkhill,VM(4),0:54:55
11,Copeland,Barry,Splash n Dash,VM(5),0:55:33
12,Wilkinson,David,Cosmics,VM(6),0:56:21
13,Wilson,Ian,Cosmics,SM(6),0:56:24
14,Macgregor,James,Unattached,SM(7),0:56:38
15,Bass,Owen,Deeside Runners,VM(7),0:56:45
16,Smith,Frank,Aberdeen AAC,VM(8),0:57:08
17,Brown,Philip,Highland Hill Runners,SVM(2),0:57:31
18,Donaldson,G,Garioch Road Runners,SM(8),0:58:17
19,Sullivan,David,Deeside Runners,VM(9),0:58:41
20,Hunter,Stuart,Cosmics,SM(9),0:58:51
21,Love,Charlie,Dundee Hawkhill,SVM(3),0:59:38
22,Ingram,Jim,Fraserburgh,SVM(4),0:59:50
23,Blain,Alistair,Cosmics,SM(10),1:01:02
24,Cran,Ian,Garioch Road Runners,VM(10),1:01:29
25,Halenko,Roman,Cosmics,SVM(5),1:02:28
26,Noble,Lois,Cosmics,VL(1),1:02:39
27,Taylor,Colin,Cosmics,VM(11),1:03:58
28,Cromar,Steve,Dundee Hawkhill,SVM(6),1:04:28
29,Macmillan,Chris,Cosmics,SM(11),1:05:12
30,Farrar,Shelley,Cosmics,SL(1),1:06:41
31,Stewart,Elaine,Cosmics,VL(2),1:09:00
32,Stone,Anne,Cosmics,SVL(1),1:10:34
33,Waites,Steve,Garioch Road Runners,VM(12),1:10:56
34,Burt,John,Aberdeen AAC,VM(13),1:11:25
35,Hirst,David,Deeside Runners,VM(14),1:11:40
36,Joy,A,Unattached,VM(15),1:15:50
37,Mckay,Alfred,Cosmics,SVM(7),1:18:10
38,Dale,Kathy,Deeside Runners,,DNF
