RunnerPosition,Surname,FirstName,Club,RunnerCategory,FinishTime
1,Espie,James,Deeside,M,00:46:26
2,Brian,Tom,Metro,M,00:50:20
3,Tole,Jim,Metro,M,00:50:44
4,Tomlin,Chris,Cosmics,M40,00:52:55
5,Pringle,Stuart,Deeside,M,00:54:23
6,Murray,Rab,Darkside,M50,00:55:19
7,Forrest,Stuart,Highland HR,M,00:55:35
8,Williamson,Jason,Cosmics,M40,00:55:36
9,Ord,Steven,Deeside Runners,M40,00:56:48
10,Davie,Moira,Forres,F,00:57:05
11,Oldham,Veronique,Cosmics,F40,00:57:07
12,Dewhurst,David,Garioch,M40,00:58:00
13,Urquart,John,Speyside Runners,M40,00:58:01
14,McDonald,Dennis,Cosmics,M50,00:58:20
15,Clarke,David,Cosmics,M40,00:59:05
16,Ingram,Richard,Cosmics,M40,00:59:17
17,Stockton,Mark,Cosmics,M,00:59:21
18,MacKenzie,Ruth,Deeside,F50,00:59:35
19,Bellarby,Jonathan,Cosmics,M40,00:59:46
20,Comber,Ayron,Garioch,M40,01:02:02
21,Ward,Peter,Unattached,M40,01:02:06
22,Strachan,Graham,Unattached,M40,01:02:11
23,Newman,Miles,Deeside,M50,01:02:36
24,Coldgrave,John,Cosmics,M50,01:03:53
25,Hamilton,Ian,Cosmics,M50,01:03:58
26,Douglas,Andrew,Deeside,M40,01:04:13
27,MacDonald,Diana,Highland HR,F,01:04:14
28,McKay,Heather,Unattached,F40,01:06:22
29,Williams,Rupert,Cosmics,M50,01:06:26
30,Melbourne,Rowena,Unattached,F,01:06:35
31,Ward,Sarah,Cosmics,F40,01:07:01
32,Clarke,Lesley,Cosmics,F40,01:07:15
33,Kammer,Phil,Cosmics,M50,01:07:24
34,Gutteridge,Gary,Cosmics,M50,01:08:45
35,Frankl,Steve,Unattached,M,01:09:01
36,Hamilton,Petra,Metro,F,01:11:22
37,Reid,Colin,Cosmics,M40,01:11:53
38,Kirk,David,Grampian Orienteers,M40,01:12:18
39,Stewart,Elaine,Cosmics,F50,01:13:25
40,Wade,Richard,Holmfirth,M40,01:13:26
41,Bass,Ursula,Deeside,F40,01:13:36
42,Hare,Rolfe,Deeside,M50,01:13:57
43,Khan,Mohamed,Dumfries,M,01:14:20
44,Cran,Ian,Garioch,M50,01:18:58
45,Smith,Steven,Unattached,M50,01:20:13
46,Maclean,Tricia,Unattached,F40,01:21:42
47,Whitefield,Gill,Unattached,F,01:21:43
