RunnerPosition,Surname,FirstName,Club,RunnerCategory,FinishTime
1,Wild,Finlay,Lochaber AC,M,00:27:00
2,Burns,Stephen,Lochaber AC,MV40,00:28:57
3,Burns,Steven,Lochaber AC,MU23,00:29:06
4,MacLean,Bruce,Lochaber AC,MU23,00:29:19
5,Stewart,Ryan,Lochaber AC,M,00:29:44
6,Brand,Tim,Lochaber AC,MV50,00:29:49
7,Bossard,Michael,Lochaber AC,M,00:29:55
8,Mackenzie,Ryan,Highland Hill Runners,M,00:30:09
9,Donnelly,Aidan,Lochaber AC,M,00:30:26
10,Gay,Jon,Lochaber AC,MV40,00:31:14
11,Lamont,Allan,Lochaber AC,M,00:31:38
12,Baum,Diane,Lochaber AC,F,00:31:41
13,Smith,Alan,Deeside Runners,MV50,00:31:52
14,Craig,Andy,Lochaber AC,MV40,00:31:57
15,MacKinnon,Barrie,Lochaber AC,M,00:32:05
16,Waslidge,Neil,Lochaber AC,MV40,00:32:36
17,Dodman,Ben,Lochaber AC,MV40,00:33:03
18,Macbeath,Niall,Lochaber AC,MV40,00:33:34
19,Martens,Markus,Lochaber AC,MV40,00:33:43
20,Blackhall,Keith,Lochaber AC,MV40,00:33:51
21,MacGillivray,Paul,Lochaber AC,M,00:33:57
22,Connolly,Michael,Lochaber AC,MV60,00:34:01
23,Collins,Richie,Lochaber AC,MV40,00:34:12
24,MacKova,Johana,Unattached,F,00:34:15
25,Craig,Alistair,Unattached,M,00:34:53
26,Duncan,Davy,Ochill Runners,MV60,00:35:10
27,Forster,Damien,Lochaber AC,MV40,00:35:20
28,MacDermott,Martin,Lochaber AC,MV40,00:35:22
29,MacLean,Robert,Lochaber AC,MV40,00:35:23
30,Bass,Owen,Deeside Runners,MV50,00:35:24
31,Blackhall,Amanda,Lochaber AC,FV40,00:35:26
32,Conlon,Lisa,Lochaber AC,F,00:35:37
33,Wallace,Kerry,Unattached,F,00:36:03
34,Taylor,Tony,Lochaber AC,MV40,00:36:06
35,Denny,Colin,Lochaber AC,MV50,00:36:15
36,Devey,Suzy,Lochaber AC,F,00:36:21
37,MacKinnon,Vikki,Lochaber AC,F,00:36:23
38,Forster,Nix,Lochaber AC,FV40,00:36:28
39,Kyle,Phil,Lochaber AC,MV50,00:36:33
40,Oliver,David,Deeside Runners,MV50,00:36:44
41,Prins,Lucy,Lochaber AC,FV40,00:37:10
42,Briton,Emma,Lochaber AC,F,00:37:15
43,MacDonald,Brian,Lochaber AC,M,00:37:22
44,Thompson,Phill,Lochaber AC,MV40,00:37:33
45,Byrne,Sarah,Lochaber AC,FV40,00:38:00
46,Masson,Rebecca,Lochaber AC,F,00:38:05
47,Ross,Susan-jane,Lochaber AC,FV40,00:38:07
48,Davie,Bruce,Lochaber AC,MV40,00:38:10
49,Valentine,Debbie,Lochaber AC,F,00:38:15
50,Treasurer,Jim,Lochaber AC,MV60,00:38:33
51,Blackhall,Robyn,Lochaber AC,FU18,00:38:44
52,Graham,Shaun,Unattached,M,00:38:47
53,Wittaker,Alison,Lochaber AC,F,00:39:01
54,MacDonald,Sean,Unattached,M,00:39:10
55,Gardiner,Fiona,Lochaber AC,FV40,00:39:15
56,Corner,Julie,Lochaber AC,FV40,00:39:23
57,Pearce,Emma,Lochaber AC,FV50,00:39:32
58,Campbell,Klara,Lochaber Jog Scotland,FV40,00:40:07
59,Bass,Ursula,Deeside Runners,FV40,00:40:31
60,Dougan,John,Lochaber AC,MV60,00:40:36
61,Tighe,Mick,Lochaber AC,MV60,00:41:19
62,Smith,Helen,Lochaber AC,FV40,00:41:36
63,MacItyre,Chirsty,Unattached,F,00:42:59
64,Tighe,Kathy,Lochaber AC,FV50,00:43:11
65,Hamilton,Jim,Lochaber AC,MV40,00:43:32
66,Oliver,Jane,Deeside Runners,FV50,00:43:35
67,Aitken,Morag,Lochaber AC,FV50,00:45:00
68,Mertens,Corrina,Lochaber AC,FV40,00:45:32
69,Orr,Ernie,Lochaber AC,MV70,00:46:25
70,Scott,Bill,Lochaber AC,MV50,00:46:48
71,Strachan,Colette,Jog Scotland,FV50,00:47:39
72,Feeney,Elvire,Lochaber AC,FV50,00:50:37
73,McKay,Niha,Unattached,F,00:58:22
74,McKay,Affan,Unattached,M,00:58:22
