RunnerPosition,Surname,FirstName,Club,RunnerCategory,FinishTime
1,Chepelin,Sasha,Carnethy HRC,M,02:27:55
2,Smith,Aidan,Carnethy HRC,M,02:34:49
3,Pagett,Harris,Strathearn Harriers,M,02:35:17
4,Ashwood,Daniel,Carnethy HRC,M,02:36:17
5,Fallas,Andrew,Carnethy HRC,M40,02:36:23
6,Bunn,David,Carnethy HRC,M,02:39:51
7,Otton,Thomas,Carnethy HRC,M,02:42:11
8,Owens,Tom,Shettleston Harriers,M40,02:43:48
9,Dowd,Ewan,Edinburgh Uni H&H,M,02:47:49
10,Dickson,Kirsty,Carnethy HRC,F,02:50:39
11,Laverick,Ben,Carnethy HRC,M,02:52:35
12,Stewart,Fraser,Cambuslang Harriers,M,02:56:20
13,Masson,Alistair,Carnethy HRC,M,02:56:56
14,Sedman,Eliot,Carnethy HRC,M40,02:59:23
15,Oldham,Kirsty,Unattached,F,02:59:28
16,Bowers,William,Ochil Hill Runners,M,02:59:45
17,Mckenna,Jack,Carnethy HRC,M,02:59:50
18,Smallwood,Adam,Bingley Harriers,M,02:59:58
19,Turnbull,Jonathan,Strathearn Harriers,M40,02:59:59
20,Bailey,Jim,EUOC,M,03:00:01
21,David,Fergus,Unattached,M,03:00:13
22,Waring,Hamish,Carnethy HRC,M40,03:01:50
23,Mckeeman,Iain,Unattached,M,03:03:33
24,Carter-Brown,David,Moorfoot Runners,M40,03:03:53
25,Lloyd,Sam,HBT,M,03:06:11
26,White,Steven,Durham FR,M,03:08:44
27,Chepelin,Oleg,HBT,M,03:09:35
28,Buky,Ben,Unattached,M,03:10:09
29,Darlow,Tim,Gala Harriers,M40,03:10:59
30,Curry,Matthew,Carnethy HRC,M40,03:11:13
31,Henderson,Walter,Cumbernauld AAC,M50,03:15:19
32,Anderson,Sebastian,Unattached,M,03:15:50
33,Phillimore,Albert,HBT,M40,03:16:07
34,Shepherd,Oscar,Edinburgh Uni H&H,M,03:17:25
35,Brown,Will,Carnethy HRC,M,03:17:49
36,Maciver,Angus,Unattached,M,03:18:32
37,Pomorski,Pawel,Puffin Team,M,03:19:28
38,Odenwald,Christian,Carnethy HRC,M,03:19:41
39,Smith,Libby,Edinburgh Uni H&H,F,03:20:02
40,Eng,Sean,Edinburgh AC,M,03:20:10
41,Brattle,Jonny,Willowfield Harriers,M,03:20:44
42,Craig,Campbell,Unattached,M,03:21:21
43,Shand,Robert,Unattached,M,03:21:39
44,Blackbourn,Luke,Carnethy HRC,M,03:21:44
45,McCavana,Aoife,Carnethy HRC,F,03:23:27
46,McConnell,Morgan,Hartfell HRC,M,03:24:01
47,Nicolson,Ben,Edinburgh AC,M,03:24:21
48,Henderson,Jacob,Unattached,M,03:24:52
49,Scott,Vivian,Unattached,M40,03:26:36
50,Blaikie,Robert,Westerlands CCC,M,03:27:01
51,Daley,Alex,Ochil Hill Runners,M,03:27:17
52,Mykura,Jill,Carnethy HRC,F40,03:29:10
53,Hetherington,Sandy,Carnethy HRC,M,03:30:01
54,Baker,Ioan,Unattached,M,03:30:48
55,Kennedy,Anna,Carnethy HRC,F,03:31:12
56,McGregor,Colin,Unattached,M40,03:31:59
57,Samplonius,Jelmer,HBT,M,03:32:25
58,Greig,Robert,Carnethy HRC,M,03:32:45
59,Robinson,Suzanne,HBT,F,03:32:53
60,Little,Rachel,Unattached,F40,03:34:52
61,Bothwell,Alexander,Unattached,M,03:35:14
62,Young,Scott,Good Time RC,M,03:36:41
63,Goldsborough,Thibaut,Unattached,M,03:37:44
64,Talavera,Jose,Unattached,M,03:38:02
65,Hunter,Niamh,Carnethy HRC,F,03:38:26
66,MacMillan,Iris,Unattached,F,03:38:45
67,Pieters,Imogen,EUOC,F,03:38:46
68,Lockie,Gavin,Cumberland FR,M,03:38:52
69,Dowse,Dave,Strathearn Harriers,M40,03:39:51
70,Knox,Rosie,Carnethy HRC,F,03:40:10
71,Wright,Cat,Carnethy HRC,F,03:40:17
72,Halliwell,Emma,Carnethy HRC,F,03:41:59
73,Painter,Myles,Westerlands CCC,M,03:42:29
74,Wilson,Stewart,Highland Hill Runners,M50,03:42:57
75,Creber,Jess,Unattached,F,03:43:24
76,Creber,Ross,Unattached,M,03:43:25
77,Forsyth,Catriona,Highland Hill Runners,F,03:43:38
78,Wilson,Rob,Penicuik Harriers,M50,03:43:51
79,Dijkman,Naomi,Lauderdale Limpers,F40,03:43:52
80,Roberts,Angela,The Green Runners,F40,03:44:17
81,Lefevre,Lucas,Carnethy HRC,M40,03:44:29
82,Hetherington,Michelle,Carnethy HRC,F60,03:44:33
83,Cavanagh,Matthew,Carnethy HRC,M,03:45:14
84,Hermann,Andreas,Unattached,M40,03:45:17
85,De Wulf,Wolf,Unattached,M,03:45:22
86,Moretto,Maurits,Unattached,M,03:45:23
87,Davidson,Angus,Carnethy HRC,M40,03:45:46
88,Cowie,Catherine,Carnethy HRC,F40,03:47:20
89,Fishburn,Rona,Carnethy HRC,F,03:48:36
90,Kohlert,Frederik,Carnethy HRC,M40,03:48:46
91,Lockhart,Dave,Unattached,M50,03:48:48
92,Fraser,Calum,Cumberland FR,M,03:49:16
93,Denholm,Katrina,Kirkstall Harriers,F,03:49:40
94,Vasepuru,Tom,Ochil Hill Runners,M,03:51:15
95,Wilkinson,Owen,Carnethy HRC,M,03:51:22
96,Meldrum,Alasdair,Ayr Seaforth AC,M50,03:51:28
97,Henderson,Katie,Deeside Runners,F40,03:51:28
98,James,Megan,Eden Runners,F40,03:51:29
99,McMillan,Ewan,Carnethy HRC,M,03:52:10
100,Gilmore,Neil,Carnethy HRC,M60,03:52:11
101,Chojnowska,Gabriela,Puffin Team,F,03:52:20
102,Stewart,Karen,Carnethy HRC,F,03:54:11
103,Pargeter,Tony,RTC Warriors,M50,03:54:12
104,O'Callaghan,Alan,Vegan Runners UK,M,03:54:24
105,Dean,Hazel,Ochil Hill Runners,F60,03:54:27
106,Davidson,Neil,Edinburgh RC,M50,03:54:43
107,Easson,Euan,Carnethy HRC,M,03:54:47
108,Kennaugh,Joe,Unattached,M,03:55:28
109,More,Dave,Unattached,M40,03:55:36
110,Farrell,Tom,Unattached,M,03:56:34
111,Weston,Steve,Carnethy HRC,M,03:56:52
112,Young,Iain,Unattached,M,03:57:00
113,Baxter,Ros,Deeside Runners,F50,03:57:06
114,Froude,Keith,Unattached,M50,03:57:10
115,Polgreen,Lizzie,Portobello RC,F,03:57:32
116,Bartlett,Pat,Interlopers,M50,03:57:39
117,Allwood,Luke,Unattached,M,03:59:16
118,Dawson,Nicola,Westerlands CCC,F40,03:59:28
119,Humphries,Phil,Carnethy HRC,M50,03:59:57
120,Balfour,Mabel,Deeside Runners,F,04:00:03
121,Shaw,Peter,Unattached,M,04:00:10
122,Pryde,Gordon,Lomonds,M60,04:00:51
123,Jenner,Lucy,Carnethy HRC,F,04:04:03
