RunnerPosition,Surname,FirstName,Club,RunnerCategory,FinishTime
1,Simpson,Robbie,Banchory Stonehaven AC,M16,00:27:56
2,Williamson,Jason,Cosmic Hillbashers,M20,00:29:23
3,Smith,Alan,Deeside Runners,M40,00:29:28
4,Brookes,Robert,Cosmic Hillbashers,M20,00:29:40
5,McDonald,Dennis,Cosmic Hillbashers,M40,00:30:10
6,Sealy,Al,Deeside Runners,M40,00:30:32
7,Copeland,Barry,Cosmic Hillbashers,M40,00:32:34
8,Larmour,Colin,Cosmic Hillbashers,M40,00:33:11
9,Curtis,Briony,Edinburgh Univ H&H,F20 Record,00:33:24
10,Steel,John,Splash 'n' Dash,M40,00:33:42
11,O'Sullivan,Sean,Cosmic Hillbashers,M20,00:33:58
12,Reid,George,Splash 'n' Dash,M50,00:34:15
13,Manning,Bruce,Cosmic Hillbashers,M50,00:34:23
14,Brettle,Matt,Cosmic Hillbashers,M20,00:37:40
15,Duncan,David,Ochil Hill Runners,M50,00:38:09
16,Bryce,Murray,Cosmic Hillbashers,M50,00:38:14
17,Hogg,Anna,Cosmic Hillbashers,F20,00:39:48
18,Dahl,Fiona,Cosmic Hillbashers,F20,00:39:53
19,Anderson,Keith,Splash 'n' Dash,M20,00:40:33
20,Simpson,Bill,U/A,M20,00:40:38
21,Dingwall,Murray,Splash 'n' Dash,M20,00:42:07
22,Stewart,Elaine,Cosmic Hillbashers,F50,00:42:39
23,Gallon,Calain,Stonehaven,F20,00:43:20
24,Thom,Jo,U/A,F40,00:43:41
25,Cannon,Margaret,Jog Scotland,F20,00:43:44
26,Clunas,Gillian,Cosmic Hillbashers,F40,00:43:49
27,Copper,Christopher,U/A,M20,00:45:36
28,Wright,James,HBT,M50,00:45:43
29,McKay,Alfie,Cosmic Hillbashers,M50,00:45:55
30,O'Sullivan,Sarah,Cosmic Hillbashers,F20,00:45:59
31,Pyper,Gillian,Splash 'n' Dash,F40,00:48:04
32,Macaskil,Jane,Metro,F50,01:23:00
