RunnerPosition,Surname,FirstName,Club,RunnerCategory,FinishTime
1,Wilby,David,Highland Hill Runners,M,01:09:11
2,Paterson,Robbie,Forres Harriers,M,01:09:30
3,O'Donnell,Michael,Inverness Harriers,M,01:11:15
4,Macrae,Andrew,Inverness Harriers,M40,01:11:57
5,Cabrera Valdes,Francisco Javier,Highland Hill Runners,M,01:14:52
6,Henry,Peter,Deeside Runners,M,01:15:37
7,Stewart,Mike,Keith District AAC,M50,01:16:07
8,Macleod,Richard,Lochaber AC,M,01:16:24
9,Trevelyan,Jack,Highland Hill Runners,M40,01:17:16
10,Worsley,Steve,Inverness Harriers,M50,01:18:09
11,Maclennan,Iain,Highland Hill Runners,M40,01:18:36
12,Buchanan,Kenneth,Highland Hill Runners,M,01:18:56
13,Macmillan,Gavin,Lochaber AC,M,01:21:52
14,Comber,Ayron,Insch Trail Runners,M40,01:22:49
15,Meek,Ian,Highland Hill Runners,M50,01:23:03
16,Wilson,Stewart,Inverness Harriers,M50,01:23:09
17,Cooke,Tim,Inverness Harriers,M50,01:24:23
18,Macdonald,Dougie,Highland Hill Runners,M40,01:24:34
19,Mcintyre,Steven,Highland Hill Runners,M40,01:24:34
20,Rogan,Kirstie,Forres Harriers,F,01:24:54
21,Davidson,Gregor,Acoy 4 Para,M,01:25:01
22,Shepherd,Jon,Highland Hill Runners,M50,01:26:01
23,Gordon,Martin,Highland Hill Runners,M40,01:27:15
24,Hitchen,John,Highland Hill Runners,M40,01:28:45
25,Bryan,David,East Sutherland AC,M40,01:28:52
26,McDougall,Alasdair,Highland Hill Runners,M40,01:28:59
27,Ord,Steven,Deeside Runners,M40,01:29:00
28,Mackenzie,Gavin,Highland Hill Runners,M50,01:29:39
29,Popple,Steve,Highland Hill Runners,M50,01:30:55
30,Allan,Lisa,Highland Hill Runners,F,01:31:11
31,Macintyre,Calum,East Sutherland AC,M,01:31:26
32,Angus,Gerald,Keith District AAC,M50,01:34:11
33,Watson,Alastair,Highland Hill Runners,M50,01:34:28
34,Dent,Matt,Unattached,M40,01:34:40
35,Kiln,Philip,Highland Hill Runners,M50,01:34:45
36,Cameron,Hilary,Forres Harriers,F40,01:35:18
37,Innes,Scottie,Highland Hill Runners,M,01:36:20
38,Moffat,John,Highland Hill Runners,M50,01:37:19
39,Lamont,Allan,Lochaber AC,M,01:39:32
40,Howison,Michael,Highland Hill Runners,M40,01:40:44
41,Macdonald,Steve,Tring RC,M40,01:41:20
42,Wallace,Craig,Highland Hill Runners,M,01:43:01
43,Gill,Stephen,Keith District AAC,M40,01:44:20
44,Stewart,Gordon,Keith District AAC,M,01:44:20
45,Ross,Stuart,Highland Hill Runners,M,01:47:07
46,Munro,Scott,Lochtayside,M40,01:47:59
47,Sharpe,Jodi,Inverness Harriers,F40,01:48:09
48,MacPherson,Shona,Highland Hill Runners,F40,01:48:26
49,Beck,Sharon,Inverness Harriers,F40,01:48:43
50,Duncan,Davie,Ochil Hill Runners,M60,01:49:11
51,Polak,Jo,Highland Hill Runners,F50,01:51:52
52,Paterson,George,Highland Hill Runners,M50,01:53:25
53,Crocket,Angus,Unattached,M40,02:07:37
