RunnerPosition,Surname,Firstname,Club,RunnerCategory,FinishTime
1,Murray,T,Unknown,MV40,0:37:16
2,Rodwell,D,Westerlands CCC,,0:38:08
3,Morrison,A,Unknown,,0:38:53
4,Fuller,C,Westerlands CCC,,0:41:25
5,Mewse,D,Kilbarchan Athletic Club,MV50,0:42:31
6,Galbraith,J,Giffnock North Athletic Club,MV40,0:42:43
7,Anderson,M,Unatt,MV40,0:42:55
8,Begley,T,Irvine RC,,0:42:57
9,Byron,M,Tynedale,,0:43:11
10,Ross,S,Kilbarchan Athletic Club,,0:43:25
11,Campbell,C,Westerlands CCC,,0:43:48
12,McNamee,G,Giffnock North Athletic Club,MV40,0:44:37
13,Shaw,R,Unknown,MV40,0:45:46
14,Brunton,A,Westerlands CCC,,0:47:28
15,Emsley,P,Arran Runners,MV40,0:47:36
16,Myant,M,Giffnock North Athletic Club,MV50,0:47:45
17,Dowell,F,Irvine RC,MV40,0:48:03
18,McFarlane,P,Unatt,,0:50:21
19,Horton,L,Westerlands CCC,L (record),0:50:53
20,Brunton,V,Bella Rr,F,0:51:33
21,Proudfoot,A,Unatt,,0:52:06
22,McManus,I,Irvine RC,MV60,0:52:31
23,Turnbull,D,Westerlands CCC,MV60,0:53:27
24,Tallon,W,Bella Rr,MV40,0:55:32
25,McLaughlin,P,Westerlands CCC,FV50,0:57:45
26,McFarlane,M,Kilbarchan Athletic Club,MV40,0:60:42
