RunnerPosition,Surname,FirstName,Club,RunnerCategory,FinishTime
1,Espie,James,Deeside Runners,M,00:47:23
2,Simpson,Robert,Shettleston Harriers,M,00:47:26
3,Stewart,Gregor,Westerlands,M,00:49:18
4,Callan,Thomas,Glasgow Univ Hare and Hounds,M,00:51:58
5,Mackie,Peter,Shettleston Harriers,M40,00:52:53
6,Carter,Justin,Cambuslang,M40,00:53:13
7,Marshall,Brian,Haddington,M40,00:53:23
8,McAlinden,Niall,Westerlands,M,00:53:43
9,Houston,David,Shettleston Harriers,M,00:54:18
10,Winter,Stephen,Shettleston Harriers,M40,00:55:06
11,Crowe,Des,Penicuik Harriers,M50,00:55:20
12,Upson,Chris,Westerlands,M50,00:55:45
13,Henderson,Walter,Shettleston Harriers,M40,00:55:46
14,MacLeod,James,Unattached,M,00:56:41
15,Edwards,Andy,Blane Runners,M40,00:57:28
16,Gilmore,Neil,Carnethy,M50,00:57:44
17,Baxter,Grant,Ochil Hill Runners,M40,00:58:22
18,Bloodworth,Jack,Ochil Hill Runners,M,00:58:59
19,Ashworth,James,Ochil Hill Runners,M40,01:00:29
20,MacMillan,George,Unattached,M40,01:00:33
21,Mooney,Edel,Ochil Hill Runners,F40,01:00:46
22,McBride,Andrew,Westerlands,M40,01:01:06
23,Brodie,Stuart,Ochil Hill Runners,M,01:01:37
24,McKiddie,Christopher,Westerlands,M,01:01:39
25,Mason,David,Linlithgow AC,M50,01:02:00
26,Nicholl,Ross,Blanerunners,M40,01:02:12
27,Pugh,Roderick,Kilmarnock Harriers,M60,01:03:18
28,Hawthorne,Stuart,Ayrodynamic Triathlon Club,M40,01:03:22
29,Dudchenko,Paul,Linlithgow AC,M50,01:03:39
30,Melville,Craig,Blanerunners,M40,01:04:40
31,Butler,Chris,Westerlands,M,01:04:52
32,Shaw,Trevor,Lochtayside,M50,01:05:19
33,Melville,Peter,Unattached,M,01:05:45
34,Duffy,John,Shettleston Harriers,M50,01:05:51
35,Crichton,Andrew,Ayr Seaforth,M,01:06:03
36,Ballantine,Jamie,Blanerunners,M40,01:06:21
37,McCaffrey,Gordon,Westerlands,M60,01:06:35
38,Kelly,Graham,Westerlands,M40,01:06:38
39,Boyer,Alistair,Westerlands,M,01:07:07
40,Brown,Jamie,Hunters Bog Trotters,M,01:08:08
41,Johnston,Stephen,Milburn Harriers,M50,01:08:21
42,Ferguson,Iain,Ayrodynamic Triathlon Club,M40,01:08:29
43,MacLeod,Murdo,Westerlands,M60,01:08:48
44,Strachan,Paul,Westerlands,M60,01:08:49
45,Douglas,George,Westerlands,M50,01:08:49
46,Buchanan,Peter,Ochil Hill Runners,M50,01:08:55
47,Duncan,David,Ochil Hill Runners,M60,01:09:04
48,Sword,Lawrence,Unattached,M50,01:09:09
49,Heath,Charlotte,Westerlands,F,01:09:13
50,Cowper,Stephen,Milburn Harriers,M50,01:09:23
51,Furse,Chris,Clyde Orienteers,M40,01:09:56
52,Sheridan,Sarah,Unattached,F40,01:10:03
53,Brennan,Brian,Westerlands,M60,01:10:28
54,McKendry,Paul,Clydesdale Harriers,M50,01:10:45
55,Horsburgh,Stephen,Unattached,M40,01:11:56
56,Midgley,Peter,Westerlands,M50,01:11:58
57,Pettigrew,Iain,Ayr Seaforth,M40,01:12:06
58,Coyle,Shaun,Unattached,M50,01:12:18
59,Wilson,Paul,Unattached,M,01:12:28
60,Bulloch,Gordon,Westerlands,M40,01:12:38
61,Friel,Finn,Unattached,M18,01:13:19
62,Cowper,Jo,Unattached,F40,01:13:49
63,Paparakis,Niko,Ayrodynamic Triathlon Club,M,01:14:00
64,Reis,Rodrigo,Shettleston Harriers,M,01:14:03
65,Fullwood,Andrew,Unattached,M40,01:15:37
66,Hamer,John,Westerlands,M50,01:15:40
67,Harris,Mark,Kilbarchan,M40,01:18:45
68,Coon,John,Unattached,M60,01:28:26
69,Niciu,Cristina,Unattached,F,01:39:34
