RunnerPosition,Surname,Firstname,Club,RunnerCategory,FinishTime
1,Burns,Stephen,Lochaber AC,M,0:18:36
2,Gallagher,Ronnie,Westerlands CCC,M40,0:19:14
3,Paterson,Donald,Lochaber AC,M,0:19:42
4,Brittleton,Peter,Howgill Harriers,M,0:19:46
5,Smith,Alan,Deeside Runners,M40,0:20:02
6,Cant,Robbie,Lochaber AC,M,0:20:46
7,Maitland,John,Lochaber AC,M40,0:21:25
8,Cairns,George,Lochaber AC,M,0:21:54
9,Shaw,Richard,Lochaber AC,M,0:21:55
10,MacBeath,Niall,Lochaber AC,M,0:22:21
11,Rumgay,Ken,Lochaber AC,M,0:22:30
12,Cant,Stephen,Lochaber AC,M,0:22:31
13,Fay,Thomas,Orkney,JnrM,0:22:34
14,Boswell,Rodger,Ua,M50,0:22:54
15,Forster,Damian,Lochaber AC,M,0:23:07
16,Sheill,Marbeth,Carnethy Hill Racers,JnrF,0:23:38
17,Banks,John,Lochaber AC,M50,0:23:39
18,Fudge,Steven,Lochaber AC,M,0:23:46
19,Muir,Gregor,Lochaber AC,M,0:24:57
20,Paterson,Eilidh,Ua,F,0:25:04
21,BrooksSnr,Billy,Lochaber AC,MSV,0:25:09
22,Byrne,Sara,Lochaber AC,F,0:25:14
23,Noble,Lois,Cosmics,FV,0:26:13
24,O`neill,John,Lochaber AC,M40,0:26:17
25,Waugh,Ross,Lochaber AC,JnrM,0:26:58
26,Blackhall,Amanda,Lochaber AC,F,0:27:01
27,Callander,Scott,Ua,M,0:27:13
28,Ross,Colin,Lochaber AC,M,0:27:54
29,Marshall,Laura,Lochaber AC,F,0:27:54
30,Sheil,Dougie,Carnethy Hill Racers,M40,0:28:36
31,Shaw,Lyndsey,Lochaber AC,F,0:28:49
32,MacKenzie,Sarah,Lochaber AC,JnrF,0:29:14
33,Morrison,Ellen,Lochaber AC,F,0:30:23
34,Ness,Jo,Lochaber AC,FV,0:30:43
35,Pearce,Emma,Lochaber AC,F,0:31:57
36,Forster,Nicola,Lochaber AC,F,0:33:36
37,McCormick,Craig,Ua,JnrM,0:37:09
