RunnerPosition,Surname,Firstname,Club,RunnerCategory,FinishTime
1,Campbell,Craig,Inverness Harriers,M,00:36:22
2,Beaven,Ally,Highland HR,M,00:37:10
3,Lennox,Gordon,Inverness Harriers,M,00:37:51
4,Bee,Graham,Inverness Harriers,M,00:38:00
5,Ward,Jack,Highland HR,M,00:38:39
6,Nicolson,Willie,Highland HR,M40,00:39:02
7,Burnett,Robin,Inverness Harriers,M40,00:39:18
8,Keith,Alec,Inverness Harriers,M50,00:39:32
9,Gilmore,Andrew,Carnethy,M,00:39:46
10,Faulkner,Calum,Ross County AC,M,00:39:51
11,Miller,Paul,Inverness Harriers,M40,00:40:21
12,Kerr,David,Highland HR,M40,00:40:39
13,Ramsay,Lawrence,Police Scotland,M,00:40:52
14,Morrison,Catriona,Highland HR,F40,00:40:54
15,MacKintosh,Fraser,Highland HR,M50,00:41:12
16,Comber,Ayron,Deeside Runners,M40,00:42:02
17,Duncan,Eric,Highland HR,M40,00:42:06
18,Petersen,Johannes,Unattached,M,00:42:15
19,Whiteside,Gavin,Highland HR,M40,00:42:40
20,McAdam,Dominic,Unattached,M40,00:43:08
21,Walmsley,Dan,Highland HR,M40,00:43:29
22,MacInnes,Garry,Carnethy,M50,00:43:34
23,MacKenzie,Morvern,Highland HR,F,00:43:45
24,Ord,Steven,Deeside Runners,M50,00:43:46
25,Meek,Ian,Highland HR,M50,00:44:19
26,Wilson,Stewart,Highland HR,M50,00:44:36
27,MacDonald,Dougie,Highland HR,M40,00:45:14
28,Bain,Julian,Highland HR,M,00:45:21
29,Wilkinson,Chris,Unattached,M,00:45:24
30,Lyons,Karen,Highland HR,F40,00:45:31
31,MacPherson,John,Unattached,M,00:46:22
32,Staniforth,Sam,Unattached,M,00:46:27
33,Chatburn,Richard,Highland HR,M50,00:46:43
34,Thompson,Vikki,Ross County AC,F,00:46:53
35,McWilliam,Tom,Inverness Harriers,M40,00:47:34
36,Macrae,Ritchie,Highland HR,M,00:47:58
37,Bryan,David,East Sutherland,M40,00:48:06
38,Dobbs,Simon,Moray Road Runners,M50,00:48:11
39,Borrowman,Dagmar,Highland HR,F40,00:48:47
40,Soffe,Ben,Unattached,M,00:49:01
41,Hammonds,Claire,Unattached,F,00:49:09
42,Noel,Pen,Highland HR,F,00:49:16
43,Meehan,Jim,Highland HR,M50,00:49:25
44,Davidson,John,Highland HR,M,00:50:43
45,Coull,Lorraine,Ross County AC,F40,00:51:53
46,Watson,Alastair,Highland HR,M50,00:52:22
47,Rydor,Stephen,Unattached,M50,00:52:23
48,Sinclair,William,Unattached,M,00:52:56
49,Bakermans,Manouk,Cairngorm Runners,F,00:53:07
50,Ross,Niall,Highland HR,M,00:53:46
51,Piper,Claire,Highland HR,F40,00:55:46
52,Arthur,Graham,Highland HR,M60,00:56:08
53,Beck,Sharon,Inverness Harriers,F40,00:56:14
54,Sweeney,Mhairi,Highland HR,F,01:00:52
55,Mason,Louise,Unattached,F,01:02:31
56,Shadforth,Jane,Unattached,F50,01:11:56
57,Welbourn,Libby,Highland HR,F,01:14:29
