RunnerPosition,Surname,Firstname,Club,RunnerCategory,FinishTime
1,Rigby,Mark,Westerlands Cross Country Club,M,0:50:05
2,Ramsbottom,Will,Livingston and District Athletic Club,M,0:51:07
3,Weir,Dave,Perth Strathtay Harriers,M,0:51:13
4,Murphy,Ian,Clydesdale Harriers,M,0:51:30
5,Grieve,Brian,Dumfries RC,M,0:52:28
6,Shields,James,Clydesdale Harriers,MV,0:53:25
7,Auchie,Ian,Dalry Thistle,M,0:54:21
8,James,Mark,Carnethy Hill Running Club,M,0:55:14
9,Blair-fish,John,Carnethy Hill Running Club,M,0:55:21
10,Johnston,Mike,Carnethy Hill Running Club,M,0:55:22
11,McIntyre,Ian,Livingston and District Athletic Club,M,0:55:35
12,Matthewson,Al,Edinburgh University Hare & Hounds,M,0:55:47
13,Philpot,Adrian,Achilles Club (n. Irelamd),M,0:55:53
14,Marsh,John,Teviotdale Harriers,M,0:57:17
15,Tyson,David,Solway Strollers,M,0:57:28
16,Milligan,Douglas,Solway Strollers,MV,0:57:28
17,Spenceley,Andrew,Carnethy Hill Running Club,M,0:57:34
18,McCulloch,Tom,Ayr Seaforth,M,0:57:46
19,Shiell,Douglas,Carnethy Hill Running Club,M,0:58:07
20,Stark,Gavin,Durham University,M,0:58:09
21,Curtis,Andy,Livingston and District Athletic Club,M,0:59:01
22,Jackson,Ian,Livingston and District Athletic Club,MV,0:59:02
23,Marland,Glenn,Annan and District Athletic Club,M,0:59:19
24,Finnigan,Hugh,Dalry Thistle,M,0:60:00
25,Lee,Mike,U/a,M,0:60:37
26,Dale,Andrew,Durham University,M,0:60:39
27,Davenhill,Anesti,U/a,M,0:61:00
28,Johnson,Adam,Dumfries Athletic Club,M,0:61:14
29,Chadderton,Dave,Solway Strollers,MV,0:61:27
30,Carberry,Jon,Preston Harriers,M,0:61:32
31,Monaghan,Vernon,U/a,MV,0:61:35
32,Harvey,Eddie,Carnethy Hill Running Club,MV,0:61:44
33,Bodecott,Dave,Cumberland Fell Runners,M,0:62:17
34,Kettles,Bob,Lasswade Athletic Club,M,0:62:43
35,Dunnion,James,Annan and District Athletic Club,M,0:62:51
36,Dobie,Alan,Carnethy Hill Running Club,M,0:62:57
37,Stuart,Duncan,Keswick Athletic ClubKeswick Athletic Cl,M,0:63:28
38,Mason,Paul,Edinburgh University Hare & Hounds,M,0:63:40
39,Turnbull,R,U/a,M,0:63:46
40,Gregory,Ian,Durham University,M,0:64:05
41,MacKin,Drew,Solway Strollers,M,0:64:21
42,Kassyk,Mark,Livingston and District Athletic Club,F,0:64:50
43,Turner,Ian,Solway Strollers,MV,0:65:01
44,Maxwell,Jack,Carnethy Hill Running Club,MV,0:65:14
45,Campbell,Ian,Hunters Bog Trotters,M,0:65:31
46,Jardine,Derek,Solway Strollers,M,0:66:14
47,Mitchell,Robert,Teviotdale Harriers,MS,0:66:16
48,Buchanan,Jim,Annan and District Athletic Club,MS,0:66:51
49,Paterson,Kenny,Solway Strollers,MV,0:67:05
50,Hunter,John,Gala Harriers,MV,0:67:28
51,Cotterill,Philip,Cumbrian Fell Runners,MV,0:67:43
52,Dennison,John,Carnethy Hill Running Club,MV,0:68:33
53,MacPherson,Murray,Dumfries Rr,MV,0:68:35
54,Gray,Patrick,Cumbrian Fell Runners,M,0:68:52
55,Hughes,Bob,Cumberland Fell Runners,M,0:69:19
56,Fenna,Jane,Border Liners,F,0:70:12
57,McCrae,Robert,Galloway Harriers,MV,0:70:24
58,R Dyson,N,Mandale Harriers,MV,0:70:33
59,MacPherson,Helen,Westerlands Cross Country Club,F,0:71:19
60,Dennsion,Michael,Livingston and District Athletic Club,M,0:71:30
61,Kerr,David,Irvine RC,MS,0:71:31
62,Cockburn,Anton,U/a,M,0:71:41
63,Johnson,David,Dumfries Athletic Club,MV,0:71:45
64,Wood,William,Galloway Harriers,MS,0:72:19
65,Soper,Jack,Dark Peak Fell Runners,MS,0:72:21
66,Maxwell,Kevin,U/a,M,0:73:06
67,Brown,Ian,Dumfries Athletic Club,M,0:73:18
68,Paul,Gillain,Carnethy Hill Running Club,F,0:73:23
69,Bolas,Karl,Solway Strollers,M,0:76:20
70,Spenceley,Hilary,Carnethy Hill Running Club,F,0:76:35
71,McLaughlin,Pat,Westerlands Cross Country Club,F,0:76:57
72,Pringle,William,Teviotdale Harriers,MS,0:77:20
73,McCrae,Elizabeth,Galloway Harriers,FV,0:77:25
74,Harrison,David,Durham University,M,0:80:11
75,Small,Marjorie,Clydesdale Harriers,FV,0:80:47
76,King,Shelagh,Clydesdale Harriers,F,0:81:12
77,Blake,Pippa,Perth Strathtay Harriers,F,0:84:09
78,Hamilton,Iain,Irvine RC,MV,0:90:41
79,McPhail,Marion,U/a,FV,0:92:42
80,Baxter,Duncan,U/a,M,0:93:00
