RunnerPosition,Surname,Firstname,Club,RunnerCategory,FinishTime
1,Burns,Steven,Lochaber AC,M,0:35:29
2,Paterson,Donald,Lochaber AC,M,0:35:50
3,Cairns,George,Lochaber AC,M,0:36:39
4,Forster,Damian,Lochaber AC,M,0:37:52
5,Carter,Nick,U/A,M,0:37:53
6,Rumgay,Ken,Lochaber AC,M,0:38:06
7,Gray,Stuart,Lochaber AC,MV,0:38:15
8,Duncan,David,Ochil Hill Runners,MV,0:38:41
9,Boswell,Roger,U/A,MV,0:38:49
10,Ford,Dave,Lochaber AC,MS,0:39:16
11,Cant,Robert,Lochaber AC,MS,0:40:53
12,Orr,Ernie,Lochaber AC,MS,0:42:11
13,Smith,Gordon,Lochaber AC,MS,0:43:01
14,Marie Reid,Ann,Lochaber AC,F,0:43:12
15,MacLntyre,Lyndsay,Lochaber AC,F,0:44:12
16,Forster,Nicola,Lochaber AC,F,0:45:37
17,Volwerk,Leen,Lochaber AC,MS,0:47:44
18,Dougan,John,Lochaber AC,M40,0:48:13
19,Jane Macleod,Susan,Lochaber AC,F,0:52:13
20,Collins,Ritchie,Lochaber AC,M,0:54:32
21,Kitson,Aileen,Lochaber AC,F,0:55:36
22,Hunter,Linda,Lochaber AC,F,1:01:38
