RunnerPosition,Surname,Firstname,Club,RunnerCategory,FinishTime
1,Limbu,Kumar,,MS Record,6:25:22
2,Sichel,William,,MSV,6:37:06
3,Mcewan,Murdo,,MSV,6:56:20
4,Macnamara,John,,MS,7:02:40
5,Painsipp,Jorg,,MS,7:16:30
6,Cunningham,Richard,,MS,7:23:40
7,Douglas,Warren,,MS,7:27:20
8,Gilmour,Duncan,,MS,7:27:20
9,Grant,Eryk,,MV,7:28:40
10,Thistlethwaite,Tony,,MSV,7:34:00
11,Field,Steve,,MS,7:37:25
12,Ian,Beattie,,MS,7:38:00
13,Spenceley,Hilary,,FSV Record,7:39:50
14,Ridgway,Iain,,MS,7:46:40
15,Kleeman,Sarah,,FS,7:46:40
16,Douglas,Alex,,MV,7:49:45
17,Cox,Debbie,,FS,7:51:10
18,Gray,Rob,,MS,7:53:23
19,Boyce,Steve,,MS,7:55:08
20,Kuz,Lynne,,FV,8:03:41
21,Brett,Phil,,MS,8:11:19
22,Bell,Rosie,,FV,8:20:30
23,Thomson,Robert,,MV,8:21:50
24,Downie,Timothy,,MV,8:25:13
25,Murdoch,Fletcher,,MSV,8:25:30
26,White,Ashleigh,,FS,8:38:00
27,White,Greg,,MS,8:38:00
28,Bowman,Jean,,FSV,8:41:50
29,Bowman,Angus,,MV,8:41:50
30,Thomson,Ellen,,FV,8:43:10
31,Clewett,James,,MS,8:46:36
32,Bowie,Tom,,MSV,9:02:30
33,Fischer,Marieanne,,FV,9:04:05
34,Douglas,George,,MS,9:21:45
35,Reid,Rob,,MSV,9:25:30
36,Morley,Stephen,,MS,9:29:30
37,Morley,Derek,,MS,9:29:30
38,Drouet,Paula,,FSV,9:33:00
39,Anderson,Eric,,MV,9:33:20
40,Barnes,Mark,,MS,9:34:25
41,Willis,Tim,,MS,9:34:25
42,Spencer,Shelley,,FV,9:56:45
43,Cassidy,Juliette,,FS,9:56:45
44,Paton,Jack,,MS,9:56:45
45,Atkins,Tim,,MS,10:06:44
46,Adams,Russell,,MS,10:06:52
47,Houston,Iain,,MS,10:35:55
48,Macfie,Alison,,FV,10:41:10
49,Macfie,Malcolm,,MV,10:41:10
50,Deans,Martin,,MS,10:44:24
51,Macpherson,Allan,,MS,10:44:24
52,Kay,Rosalind,,FSV,10:44:24
53,Tate,Jon,,MV,10:51:55
54,Mason,Stephen,,MS,10:59:05
55,Blair,Alex,,MV,10:59:05
56,Rae,Ian,,MS,10:59:05
57,Melaragni,Dario,,MS,11:49:30
58,Matthew,Blair,,MS,Withdrew
59,Mcloone,Stephen,,MV,Withdrew
60,Macdonald,Neil,,MS,Withdrew
61,Mcgregor,George,,MSV,Withdrew
62,Carrigan,Brian,,MS,Withdrew
