RunnerPosition,Surname,Firstname,Club,RunnerCategory,FinishTime
1,Lightfoot,Rickie,Cumberland Fell Runners,MS,0:22:33
2,Scott,Dominic,Norham RC,MS,0:23:59
3,Matthewson,Al,Hunters Bog Trotters,MS,0:25:45
4,Bearhop,Derek,Carnethy Hill Running Club,MV40,0:26:03
5,Brown,Dougie,Solway,MV40,0:26:41
6,Jackson,Wayne,Cumberland Fell Runners,MS,0:27:17
7,Cameron,Gordon,Carnethy Hill Running Club,MV40,0:28:07
8,Goldsworthy,John,Galloway,MV40,0:28:12
9,Smith,Donald,Westerlands CCC,MV50,0:29:28
10,Medine,Shaun,u/a,MS,0:30:32
11,Dawson,Tim,u/a,MV40,0:31:22
12,Robertson,Jane,Westerlands CCC,FV40,0:31:45
13,Singh,Shirley,u/a,FV40,0:33:37
14,Robson,Jean,Annan & District AC,FV40,0:34:54
15,Macdonald,Nick,Carnethy Hill Running Club,MV40,0:35:35
