Position,Name,Club,Category,Time,Team,Leg
1,Peter Avent,,,00:23:48,Shettleston Senior Men A,1
1,Joe Symonds,,,00:55:34,Shettleston Senior Men A,2
1,Tom Owens,,,00:55:34,Shettleston Senior Men A,2
1,Alasdair McLeod,,,00:45:52,Shettleston Senior Men A,3
1,Robert Simpson,,,00:45:52,Shettleston Senior Men A,3
1,Ross Gollan,,,00:27:33,Shettleston Senior Men A,4
2,Pat Gierjatowicz,,,00:25:27,HBT: Hoppy Beer's Tremendous,1
2,Murray Strain,,,00:55:40,HBT: Hoppy Beer's Tremendous,2
2,Pete Hodkinson,,,00:55:40,HBT: Hoppy Beer's Tremendous,2
2,Doug Tullie,,,00:47:44,HBT: Hoppy Beer's Tremendous,3
2,Oleg Chepelin,,,00:47:44,HBT: Hoppy Beer's Tremendous,3
2,Tom Martyn,,,00:27:10,HBT: Hoppy Beer's Tremendous,4
3,Chris Upson,,,00:27:16,Cambuslang Harriers,1
3,Ben Hukins,,,00:57:34,Cambuslang Harriers,2
3,Alasdair Campbell,,,00:57:34,Cambuslang Harriers,2
3,Colin Donnelly,,,00:54:16,Cambuslang Harriers,3
3,Iain Maccorquodale,,,00:54:16,Cambuslang Harriers,3
3,Joshua Boyle,,,00:28:15,Cambuslang Harriers,4
4,Graham Nash,,,00:25:57,Carnethy Mens V40 A,1
4,Dessie Flanagan,,,00:59:28,Carnethy Mens V40 A,2
4,Stewart Whitlie,,,00:59:28,Carnethy Mens V40 A,2
4,Mike Reid,,,00:51:05,Carnethy Mens V40 A,3
4,Mark Johnston,,,00:51:05,Carnethy Mens V40 A,3
4,Jon Ascroft,,,00:31:18,Carnethy Mens V40 A,4
5,Fergus Johnston,,,00:28:20,Carnethy Mens A,1
5,Konrad Rawlik,,,00:58:10,Carnethy Mens A,2
5,James Waldie,,,00:58:10,Carnethy Mens A,2
5,Alex McVey,,,00:53:09,Carnethy Mens A,3
5,Iain Gilmore,,,00:53:09,Carnethy Mens A,3
5,James Britton,,,00:29:06,Carnethy Mens A,4
6,Gwyn Bellamy,,,00:24:49,Westerlands: Westies A's,1
6,Sam Alexander,,,01:01:21,Westerlands: Westies A's,2
6,Bastien Perez,,,01:01:21,Westerlands: Westies A's,2
6,Manny Gorman,,,00:51:28,Westerlands: Westies A's,3
6,Brian Bonnyman,,,00:51:28,Westerlands: Westies A's,3
6,Gregor Stewart,,,00:32:27,Westerlands: Westies A's,4
7,Gordon Barrie,,,00:26:03,Dundee Hawks: Hawks A,1
7,Billy Gibson,,,01:05:21,Dundee Hawks: Hawks A,2
7,Mike Herron,,,01:05:21,Dundee Hawks: Hawks A,2
7,Chris Walsh,,,00:53:28,Dundee Hawks: Hawks A,3
7,Johnny McBain,,,00:53:28,Dundee Hawks: Hawks A,3
7,Munro Stewart,,,00:30:59,Dundee Hawks: Hawks A,4
8,Graham Ramsay,,,00:33:12,Shettleston Senior Men B,1
8,Peter Mackie,,,00:59:48,Shettleston Senior Men B,2
8,Matthew Sullivan,,,00:59:48,Shettleston Senior Men B,2
8,Ross Cruickshanks,,,00:58:25,Shettleston Senior Men B,3
8,Ryan Stewart,,,00:58:25,Shettleston Senior Men B,3
8,Lucas Cheskin,,,00:29:18,Shettleston Senior Men B,4
9,Gavin McWhinnie,,,00:27:46,"Fife Athletic Club - ""A"" Team",1
9,George Rees,,,01:03:58,"Fife Athletic Club - ""A"" Team",2
9,Sam Fernando,,,01:03:58,"Fife Athletic Club - ""A"" Team",2
9,Craig Morris,,,00:55:40,"Fife Athletic Club - ""A"" Team",3
9,Gregor Malcolm,,,00:55:40,"Fife Athletic Club - ""A"" Team",3
9,Iain McWhinnie,,,00:35:58,"Fife Athletic Club - ""A"" Team",4
10,Alistair Preiss,,,00:27:55,Ochil: Male V40,1
10,Dave Wallace,,,01:01:37,Ochil: Male V40,2
10,Dave Godfree,,,01:01:37,Ochil: Male V40,2
10,Grant Baxter,,,00:57:13,Ochil: Male V40,3
10,Ewan Jack,,,00:57:13,Ochil: Male V40,3
10,Mark Baugh,,,00:37:08,Ochil: Male V40,4
11,Walter Henderson,,,00:28:04,Shettleston V40,1
11,Jethro Lennox,,,00:58:11,Shettleston V40,2
