RunnerPosition,Surname,Firstname,Club,RunnerCategory,FinishTime
1,Mitchell,T.,Fife AC,M,0:40:30
2,Rodgers,Billy,Lochaber AC,M,0:40:51
3,Brooks,John,Lochaber AC,MJ,0:41:34
4,Bartlett,Graeme,Forres Haniers,M,0:41:52
5,Murphy,Ian,Clydesdale Harriers,M,0:42:31
6,H. Martin,Neil,Lomond Hill Runners,M,0:43:14
7,V. W. Bell,Dents,H. E. L P.,MV,0:43:19
8,Cummlng,David,Ochil Hill Runners,M,0:43:29
9,Davis,Adrian,Fife AC,M,0:43:35
10,Crows,Deemond,Shettleston Harriers,M,0:44:27
12,Flynn,Martin,Camethy H.rc.,M,0:45:07
13,Fox,Peter,Dundee Hawkhlll,M,0:45:21
14,Gallacher,John,Ochil Hill Runners,M,0:45:46
15,McFarlane,Russell,Fife AC,MJ,0:45:48
16,Canavan,Martin,Penicuick Harriers,MJ,0:46:00
17,McLean,Donald,Lomond Hill Runners,M,0:46:32
18,Ross,Tom,Fife AC,MV,0:46:56
19,Shields,James,Clydesdale Harriers.,MV,0:47:11
20,Diver,Michael,Clydesdale Harriers,M,0:47:14
21,C. Marlin,S.,Lomond Hill Runners,M,0:47:25
22,Wallace,Lain,Hunters Bog Trotter.,M,0:47:35
23,Fortune,L,Fife AC,MV,0:48:00
24,Bell-scott,Euan,Perth Stmthtay Harriers,MV,0:48:04
25,Buchanan,Peter,Ochil Hill Runners,M,0:48:17
26,MacPherson,Vincent,Fife AC,MJ,0:48:29
27,Kelly,Frank,Ochil Hill Runners,MV,0:48:34
28,Edridge,Brian,Clydesdale Harriers,MV,0:48:35
29,MacIntyre,Ruddy,Clydesdale Harriers,M,0:48:35
30,Waldie,Brian,Carnethy Hill Running Club,MV,0:48:45
31,MacKay,Euan,Ua,M,0:49:15
32,Morrison,Peter,Carnegie Harriers,M,0:49:36
33,Nolan,Scott,Lochaber AC,M,0:50:16
34,Donnelly,John,Shettleston Harriers,M,5028
35,McGinley,Hugh,Lomond Hill Runners,M,0:50:41
36,Buchan,Peter,Fife AC,M,0:51:13
37,Borrowman,Paul,Nonewerdoen,M,0:51:17
38,Love,Craig,Ua,M,0:51:21
39,Greenaway,Roger,Ochil Hill Runners,MV,0:51:22
40,Brooks,Billy,La.c.,MJ,0:51:41
41,Stephen,Jack,Ochil Hill Runners,MV,0:53:04
42,McGillivray,Alan,Fife AC,MV,0:53:12
43,Low,Peter,Fife AC,MV,0:53:37
44,Barclay,John,Kinross Road Runners,MV,0:53:39
45,R. Farquharson,David,Arbroath Footers,M,0:53:44
46,Francey,Ken,Ua,MV,0:53:59
47,Greig,Gordon,Fife AC,MV,0:54:16
48,Kettles,Bob,Lasswade A.c.,MV,0:54:23
49,Francis,David,Fife AC,MV,0:54:53
50,Meiklejohn,A.,Fife AC,MV,0:55:14
51,Thomson,Andy,Lomond Hill Runners,M,0:55:26
52,Mudge,Angela,Ochil Hill Runners,F,0:55:28
53,McNulty,Ian,U/a,M,0:55:44
54,Gatehouse,Richard,Lomond Hill Runners,MV,0:55:49
55,Duncan,George,Fmc Carnegie Harriers,M,0:55:52
56,Clarke,Gavin,Ochil Hill Runners,MV,0:56:14
57,Leslie,Philip,Ochil Hill Runners,M,0:56:16
58,Mallister,Kenny,Lochaber AC,M,0:56:22
59,Smith,Caroline,U/a,F,0:56:33
60,Tailor,Jim,100 Kilometre Association,M,0:56:34
61,Stewart,Jim,Calderglen Harriers,MV,0:57:22
62,Hailey,Jane,Livingston,F,0:58:04
63,Turnbull,Drew,East Kilbride Athletic Club,M50,0:59:06
64,Kemp,Brian,Kinross Road Runners,MV,0:60:24
65,West,Nick,Carnegie Harriers,MV,0:60:34
66,M. Milne,Scott,Dollar Academy,MV,0:60:44
67,West,Aiison,Carnegie Harrier.,FV,0:61:50
68,Osmond,Chris,Westerlands CCC,MV,0:63:07
70,Benny,Graham,Westerlands CCC,MV,0:63:50
71,Elilson,David,Fife AC,MV,0:65:17
72,Wilkins,John,Arbroath Footers,MV,0:67:59
73,Barlow,Mike,Carnethy Hill Running Club,MV,0:68:07
74,Lemoncello,Phyllis,Fife AC,FV,0:68:07
75,Mitchell,David,Kinross Road Runiers,M,0:68:14
76,Wall,Richard,Help,M,0:70:08
77,Mullett,P.,Lomond A.c.,M,0:71:35
78,Hirst,P.,U/a,MV,0:74:01
79,Blyth,Stuart,Dollar Academy,MV,DNF
