RunnerPosition,Surname,Firstname,Club,RunnerCategory,FinishTime
1,Burns,Stephen,,M,0:45:36
2,Orr,David,,M,0:47:39
3,Boswell,Roger,,Mv,0:47:56
4,McLennan,Alastair,,M,0:49:31
5,Britton,Chris,,M,0:50:09
6,Brooks,Graham,,Mv,0:50:44
7,Craig,Andrew,,M,0:51:51
8,Sr Brooks,Billy,,Mv,0:52:23
9,Smith,Brian,,M,0:53:31
10,Orr,Ernie,,Msv,0:55:38
11,Forster,Damian,,M,0:55:51
12,Cant,Robert,,Mv,0:55:58
13,Fish,John,,Msv,0:57:22
14,McTavish,Colin,,Mv,0:57:45
15,McAllister,Kenny,,M,0:59:24
16,Dougan,John,Lochaber AC,M,0:59:27
17,Forster,Nicola,,F,1:00:52
18,Daynes,Ed,,M,1:01:09
19,Collins,Richard,,M,1:01:11
20,Slater,Sandy,,Mv,1:01:39
21,Richardson,Sarah,,F,1:08:38
22,Stynes,Carol,,F,1:09:53
23,Campbell,Eddie,Lochaber AC,MV,1:10:28
24,MacCallum,Main,,F,1:15:20
25,Smith,Lyn,,F,1:15:25
26,Smith,Frances,,F,1:18:26
27,Burns,Jane,,F,1:24:49
