RunnerPosition,Surname,FirstName,Club,RunnerCategory,FinishTime
1,Tresidder,Es,Lochaber AC,M,00:47:40
2,Prikulis,Denis,Vegan Runners,M,00:47:49
3,Cabrera Valdes,Francisco Javier,Highland Hill Runners,M,00:50:02
4,Bentley,Alfie,Lochaber AC,M,00:50:23
5,Hutson,Liam,Lochaber AC,M,00:50:40
6,Yells,John,Lochaber AC,M,00:50:53
7,Mckenzie,Ryan,Highland Hill Runners,M40,00:51:39
8,Ramsay,Lawrence,Police Scotland,M,00:51:42
9,Whiteside,Gavin,Highland Hill Runners,M40,00:51:50
10,MacDonald,Steve,Lochaber AC,M,00:52:19
11,Gorman,Manny,Westerlands CCC,M50,00:53:37
12,Gallie,David,Highland Hill Runners,M50,00:54:22
13,Dallas,Barry,Unattached,M40,00:54:51
14,Willis,Jake,Lochaber AC,M40,00:54:58
15,Walker,Alistair,Deeside Runners,M,00:55:37
16,Davidson,Gregor,Lochaber AC,M,00:56:08
17,Mackellaig,Iain,Lochaber AC,M50,00:56:17
18,Schenzle,Marvin,Unattached,M,00:56:36
19,Cymbalista,Pawel,Lochaber AC,M,00:57:25
20,Wallace,Ben,Unattached,M,00:57:40
21,Wilson,Stewart,Highland Hill Runners,M50,00:57:43
22,Fielding,Richard,Unattached,M40,00:58:11
23,Lyons,Karen,Highland Hill Runners,F40,00:58:34
24,Waslidge,Neil,Lochaber AC,M50,00:59:12
25,Maclean,Paul,Lochaber AC,M40,00:59:25
26,Bain,Julian,Highland Hill Runners,M,00:59:27
27,Kennedy,Ali,Lochaber AC,M50,01:00:07
28,Dodman,Ben,Lochaber AC,M40,01:00:43
29,MacKay,Isla,Lochaber AC,F,01:00:49
30,Walter,Lisette,Lochaber AC,F,01:02:21
31,Macbeath,Niall,Lochaber AC,M40,01:03:10
32,Macdonald,Matt,Lochaber AC,M,01:03:15
33,Blackhall,Amanda,Lochaber AC,F40,01:03:17
34,Martin,Nathan,Lochaber AC,M40,01:03:21
35,Conway,Pete,Lochaber AC,M,01:03:27
36,Connolly,Michael,Lochaber AC,M60,01:03:49
37,Munro,David,Lochaber AC,M50,01:04:37
38,Paterson,Donald,Lochaber AC,M40,01:04:39
39,Mackie,Eugene,Unattached,M,01:04:40
40,Maclean,Robert,Lochaber AC,M50,01:04:42
41,Slezas,Michael,Lochaber AC,M,01:04:55
42,Barnetson,Calum,Unattached,M,01:05:12
43,Taylor,Gordie,Highland Hill Runners,M50,01:05:21
44,Collins,Richard,Lochaber AC,M50,01:06:55
45,Macnab,Graham,Lochaber AC,M50,01:09:15
46,Davie,Bruce,Lochaber AC,M50,01:09:45
47,Smith,Jo,Lochaber AC,F,01:10:24
48,Duncan,Davy,Ochils,M60,01:11:34
49,Prins,Lucy,Lochaber AC,F50,01:12:19
50,Pescod,Louise,Lochaber AC,F40,01:14:08
51,Hamilton,Jim,Lochaber AC,M50,01:14:28
52,Pearce,Emma,Lochaber AC,F50,01:15:22
53,Johnson,Linda,Lochaber AC,F50,01:16:36
54,Macdonald,Donna,Lochaber AC,F40,01:18:16
55,Campbell,Klara,Lochaber AC,F40,01:20:59
56,Smith,Helen,Lochaber AC,F40,01:21:01
57,Hamilton,Pamela,Lochaber AC,F40,01:24:18
58,Murdoch,Raymond,Lochaber AC,M70,01:25:43
59,Donalson,Sam,Unattached,M,01:26:38
60,Paul,Brenda,Westerlands CCC,F40,01:27:29
