RunnerPosition,Surname,Firstname,Club,RunnerCategory,FinishTime
1,Marshall,B,,,0:33:24
2,McGonigle,D,,,0:33:45
3,Davies,Jim,Borrowdale Fell Runners,M,0:34:17
4,Wilkinson,J,,,0:34:30
5,Powell,M,,,0:34:52
6,Davis,A,,,0:34:59
7,Brand,Tim,Livingston,,0:35:03
8,,Botheroyd,,,0:35:23
9,McNeill,C,,,0:35:42
10,Keith,A,,,0:35:52
11,Stevenson,J,,,0:35:56
12,Laing,Martin,Fife AC,,0:36:21
13,MacKay,E,,,0:36:31
14,Gallaher,J,,,0:36:44
15,Ilgounas,S,,,0:36:50
16,Calder,D,,,0:37:00
17,Clark,J,,,0:37:03
18,Eades,C,,,0:37:06
19,Duncan,N,,,0:37:15
20,Hampshire,J,,,0:37:18
21,Roper,M,,,0:37:43
22,Salmon,P,,,0:37:45
23,McInnes,G,,,0:37:48
24,Diamantides,Helene,Westerlands CCC,F,0:38:16
25,Bowers,J,,,0:38:28
26,Ross,T,,,0:38:33
27,Durn,C,,,0:38:38
28,Ogston,M,,,0:38:45
29,McCraw,Ron,Ochil Hill Runners,,0:38:46
30,I'anson,L,,,0:38:58
31,Buchanan,P,,,0:38:09
32,Scott,A,,,0:38:08
33,Cook,S,,,0:38:11
34,Osborne,J,,,0:39:16
35,Kelly,F,,,0:39:23
36,Wilson,S,,,0:39:28
37,Diver,Michael,Clydesdale Harriers,M,0:39:36
38,Mudge,Angela,Carnethy Hill Running Club,F,0:39:39
39,Andrew,J,,,0:39:45
40,Antony,A,,,0:39:48
41,Connor,B,,,0:39:51
42,Smith,Bruce,Standard Life Athletic Club,,0:40:07
43,Pryde,Gordon,Lomond Hill Runners,M,0:40:15
44,Robb,J,,,0:40:17
45,McGuire,A,,,0:40:25
46,Bullen,B,,,0:40:26
47,Wilton,G,,,0:40:27
48,Kerr,S,,,0:40:36
49,Thomson,T,,,0:40:38
50,Davies,N,,,0:40:39
51,Lee,M,,,0:40:45
52,Donnelly,J,,,0:40:46
53,Fleming,G,,,0:40:50
54,Luff,G,,,0:40:55
55,Murray,D,,,0:40:58
56,Norval,S,,,0:40:59
57,Hume,A,,,0:41:01
58,Salvone,J,,,0:41:05
59,Caban,P,,,0:41:11
60,Greenaway,R,,,0:41:13
61,Adams,David,Hamilton Harriers,,0:41:19
62,Mitchell,S,,,41-20
63,Adams,Keith,Westerlands CCC,M,0:41:22
64,Tavendal,R,,,0:41:27
65,Thomas,B,,,0:41:34
66,Morgan,J,,,0:41:38
67,Hanley,N,,,0:41:48
68,Melville,N,,,0:41:52
69,Watson,J,,,0:41:54
70,Taylor,I,,,0:42:02
71,Shaw,P,,,0:42:15
72,McArthur,S,,,0:42:19
73,Love,C,,,0:42:22
74,Low,P,,,0:42:27
75,Bram,M,,,0:42:33
76,Shanks,0,,,0:42:41
77,Nash,M,,,0:42:44
78,Callender,B,,,0:42:49
79,McAlpine,R,,,0:42:59
80,Burns,E,,,0:43:09
81,Stewart,A,,,43-10
82,Campbell,A,,,43-20
83,Lardner,E,,,0:43:35
84,Forte,P,,,0:43:49
85,Mitchell,G,,,43-50
86,Tedcastle,S,,,0:44:13
87,McIntosh,M,,,0:44:19
88,Lees,G,,,0:44:02
89,Hughes,Bob,Ochil Hill Runners,,0:44:24
90,Oliver,C,,,0:44:25
91,Chapman,M,,,0:44:26
92,Briggs,Steve,Ochil Hill Runners,,0:44:27
93,Shearer,C,,,0:44:31
94,McGregor,D,,,0:44:32
95,Callender,G,,,0:44:41
96,Wake,A,,,0:44:51
97,Cation,Frank,Fife AC,,0:44:58
98,Whyte,L,,,0:45:09
99,Birse,A,,,45:16:00
100,Redburn,N,,,0:45:21
101,Harne,J,,,0:45:25
102,Campbell,B,,,0:45:26
103,Daly,K,,,0:45:28
104,Gatehouse,R,,,0:45:29
105,Parsisson,D,,,0:45:33
106,Eades,L,,,0:45:39
107,Abram,Stephen,Westerlands CCC,M,0:45:48
108,Dealtry,E,,,0:45:49
109,Mitchell,K,,,0:45:56
110,Dean,H,,,0:45:58
111,Wadsworth,A,,,0:46:09
112,Angus,G,,,0:46:21
113,Turnbull,Drew,East Kilbride Athletic Club,M50,0:46:24
114,MacDonald,D,,,0:46:34
115,McIntosh,R,,,0:46:35
116,Litterick,T,,,0:46:36
117,McPhie,D,,,0:46:37
118,Bagnell,D,,,0:46:57
119,Lendrum,F,,,47-00
120,Cromar,S,,,47-10
121,Halley,J,,,0:47:13
122,Prisco,C,,,0:47:21
123,Coon,J,,,0:47:23
124,Johnston,A,,,0:47:51
125,Cloquet,A,,,0:47:54
126,Myerscough,J,,,0:47:59
127,McKelvie,S,,,0:48:01
128,West,A,,,0:48:02
129,Brown,J,,,0:48:28
130,West,N,,,0:48:33
131,Gillespie,A,,,0:49:12
132,Booth,S,,,0:49:27
133,McCourt,T,,,0:49:39
134,Shreiber,J,,,0:49:05
135,Sutherland,A,,,0:50:05
136,Gray,B,,,0:50:22
137,Benny,G,,,0:50:38
138,Tenant,G,,,0:50:39
139,Morrison,D,,,0:50:44
140,Stuart,M,,,0:50:52
141,Dicker,C,,,0:50:55
142,McLaughlan,P,,,0:51:26
143,Paton,J,,,0:51:27
144,Dickson,J,,,0:51:32
145,Selvester,S,,,0:51:59
146,Johnston,Shiela,U/A,,0:53:24
147,Barlow,M,,,0:54:01
148,Rankin,C,,,0:55:11
149,Pares,J,,,55-20
150,Melhuish,S,,,0:56:19
151,Todd,R,,,0:56:31
152,Uhlig,S,,,0:60:46
153,Rogers,David,Westerlands CCC,M,0:61:21
154,Mould,J,,,0:63:43
200,Accvin,D,,,DNF
200,Barlow,L,,,DNF
200,Morrison,Peter,Carnegie Harriers,M,DNF
200,Mossman,J,,,DNF
200,Provan,Louise,Dundee Hawkhill,F,DNF
