RunnerPosition,Surname,FirstName,Club,RunnerCategory,FinishTime
1,Haines,Hector,Hunters Bog Trotters,M,00:35:14
2,Stevenson,Ben,Edinburgh University,M,00:35:21
3,Stewart,Gregor,Westerlands CCC,M,00:35:37
4,Wright,Andrew,Ochil Hill Runners,M40,00:36:15
5,Feltbower,Steve,Falkirk Victoria Harriers,M,00:36:23
6,Stansfield,Daniel,Forth Valley Orienteers,M,00:36:41
7,Gomersall,Tim,Dundee University,M,00:36:51
8,Foster,George,Dundee Hawkhill Harriers,M,00:36:58
9,Dunn,James,Edinburgh University,M,00:37:38
10,Purkis,Mark,Edinburgh University,M,00:37:42
11,Bonnyman,Brian,Westerlands CCC,M40,00:37:59
12,Crowe,Jamie,Stirling University AC,M,00:38:19
13,Boyne,Grant,Glasgow University Hares & Hounds,M,00:38:24
14,Eiser,Dave,Ochil Hill Runners,M,00:38:28
15,Gilmore,Andrew,Carnethy,M,00:38:59
16,Drummond,Fraser,Edinburgh University,M,00:38:59
17,Ward,Dave,Hunters Bog Trotters,M,00:39:05
18,Campbell,Graeme,Ochil Hill Runners,M40,00:39:09
19,Fraser,Callum,Strathclyde University Harrier,M,00:39:13
20,Gilmore,Iain,Stirling University AC,M,00:39:19
21,Braby,Liam,Carnethy,M,00:39:23
22,Callan,Thomas,Glasgow University Hares & Hounds,M,00:39:24
23,O'Neill,Owen,Westerlands CCC,M,00:39:34
24,Brand,Tim,Lochaber AC,M50,00:39:43
25,Winter,Stephen,Shettleston Harriers,M,00:39:55
26,MacKie,Peter,Shettleston Harriers,M,00:39:59
27,McAlinden,Niall,Westerlands CCC,M,00:40:02
28,Matthews,Steve,Dundee Hawkhill Harriers,M40,00:40:05
29,Williams,Phil,Central AC,M40,00:40:20
30,Baxter,Grant,Ochil Hill Runners,M40,00:40:24
31,Johnston,Fergus,Gala Harriers,M,00:40:42
32,Yells,John,Edinburgh University,M,00:40:46
33,Burt,Cameron,Westerlands CCC,M,00:40:47
34,MacKay,Wattie,Strathearn Harriers,M50,00:40:52
35,Stevenson,John,Ochil Hill Runners,M50,00:40:56
36,Love,Craig,Dundee Hawkhill Harriers,M40,00:41:02
37,Downey,David,,M40,00:41:19
38,Haines,Rachel,Hunters Bog Trotters,F,00:41:25
39,Gibney,Timmothy,Edinburgh University,M,00:41:47
40,Crowe,Des,Dundee Hawkhill Harriers,M50,00:41:54
41,Lobdell,Skylar,Scottish Athletics Member,M,00:42:00
42,Smith,Alan,Deeside,M50,00:42:05
43,Bryce,Andy,Unattached,M,00:42:10
44,Gardner,Simon,Westerlands CCC,M,00:42:14
45,Smith,Gavin,Hunters Bog Trotters,M,00:42:16
46,Tindley,Georgia,Edinburgh University,F,00:42:31
47,Luetchford,Alex,Edinburgh University,M,00:42:32
48,Bryson,James,Edinburgh University,M,00:42:45
49,Pickson,Ben,Unattached,M,00:42:52
50,Stansfield,Ben,Forth Valley Orienteers,M,00:42:56
51,Douglas,Stuart,Falkirk Victoria Harriers,M,00:43:06
52,Cope,David,Stirling University AC,M,00:43:13
53,Richardson,Angela,Scottish Athletics Member,F,00:43:17
54,Freshwater,Craig,Westerlands CCC,M,00:43:26
55,Watson,Charlotte,Edinburgh University,F,00:43:31
56,McDonald,Jamie,Central AC,M,00:43:40
57,Gilmore,Neil,Carnethy,M50,00:43:48
58,Brown,Gareth,North Ayrshire Ac,M,00:44:03
59,Ladouce,Simon,,M,00:44:06
60,Storey,Alexander,Strathearn Harriers,M,00:44:19
61,Randfield,Simon,,M40,00:44:26
62,Hunter,Angus,Unattached,M,00:44:32
63,Tuck,Ian,,M,00:44:34
64,Howson,Andy,,M,00:44:36
65,Brooks,Mike,Penicuik Harriers,M50,00:44:40
66,MacMillan,George,,M40,00:44:41
67,Watson,Dan,Lochtayside,M40,00:44:52
68,Hanson,Beth,Edinburgh University,F,00:44:58
69,Harding,Zoe,Edinburgh University,F,00:45:01
70,Drummond,James,,M,00:45:06
71,Buchanan,Hugh,Central AC,M50,00:45:07
72,Fileding,Richard,Unattached,M40,00:45:16
73,Dudchenko,Paul,Linlithgow AAC,M,00:45:21
74,Warnock,Robert,Wee Country Harriers,M50,00:45:28
75,Elder,David,Lomond Hill Runners,M,00:45:32
76,McKiddie,Christopher,Westerlands CCC,M,00:45:33
77,Hayward,Adam,Unattached,M,00:45:41
78,Devlin,Gordon,Unattached,M,00:45:50
79,Strange,Nick,Stirling Tri Club,M40,00:45:52
80,Saksvoll,Alexander,,M,00:45:54
81,Harris,Fraser,Ochil Hill Runners,M40,00:46:05
82,Jackson,Andy,Strathclyde University,M,00:46:05
83,Wilon,Rob,Penicuik Harriers,M40,00:46:18
84,Jelly,Ewan,Perth Road Runners,M,00:46:41
85,Ferguson,Allan,Unattached,M,00:46:48
86,Penny,Alastair,University Of Stirling Triathletes,M,00:46:53
87,Cameron,Ewan,Westerlands CCC,M,00:46:54
88,Brodie,Stuart,Ochil Hill Runners,M,00:46:55
89,Keatch,Steven,,M,00:46:56
90,Howe,David,Falkland Trail Runners,M40,00:46:57
91,Gallagher,Andy,Strathearn Harriers,M50,00:46:59
92,McNeill,Norman,Ochil Hill Runners,M40,00:47:03
93,Bloodworth,Jack,Ochil Hill Runners,M,00:47:09
94,Van,Andre,,M,00:47:09
95,Black,Ali,Carnethy,M,00:47:11
96,Galloway,Stuart,Unattached,M,00:47:11
97,Turner,Judith,Falkland Trail Runners,F40,00:47:12
98,Orr,Johnston,Westerlands CCC,M,00:47:15
99,Price,Aron,Westerlands CCC,M,00:47:20
100,Graham,Scott,,M,00:47:22
101,Subke,Jens,Central AC,M40,00:47:22
102,Wilson,Scott,Unattached,M,00:47:33
103,Strange,Vicky,Stirling Triathlon Club,F40,00:47:36
104,McNaught,Ross,Stirling Triathlon Club,M,00:47:40
105,Metselaar,Matthijs,,M,00:47:45
106,Stephen,Jillian,Hunters Bog Trotters,F,00:47:46
107,Chadwick,Michael,,M,00:47:59
108,Nicoll,Grahame,Tayside Orienteers,M50,00:48:06
109,Dean,Hazel,Central AC,F50,00:48:06
110,Gaffney,David,Unattached,M,00:48:17
111,Rigmand,Derek,Bellahouston Road Runners,M40,00:48:22
112,Gough,Nick,Strathearn Harriers,M,00:48:27
113,Greenwood,Sarah,,F,00:48:37
114,Watkinson,Robert,,M50,00:49:09
115,Doherty,Martin,Unattached,M40,00:49:10
116,MacEwan,John,Ochil Hill Runners,M40,00:49:13
117,Barlow,Jonathan,Ochil Hill Runners,M,00:49:21
118,Evenden,Raymond,,M40,00:49:26
119,Kelsall,Fiona,Ochil Hill Runners,F40,00:49:27
120,Moffat,Ewan,,M50,00:49:30
121,Ashworth,James,Ochil Hill Runners,M40,00:49:42
122,Chalmers,David,Kinross Road Runners,M,00:49:51
123,McFarlane,Ian,Wee County Harriers,M50,00:49:51
124,Osborn,David,Lomond Hill Runners,M50,00:49:52
125,Gorgas,Steffen,Westerlands CCC,M40,00:49:54
126,McMillan,Lorna,,F,00:50:00
127,Stakes,David,Bellahouston Road Runners,M50,00:50:01
128,Wilson,Stuart,Stirling Tri Club,M40,00:50:06
129,Hodgson,Phil,Todmorden Harriers,M50,00:50:08
130,Waters,Paul,,M,00:50:12
131,Roberts,Nigel,Stirling Triathlon Club,M50,00:50:16
132,Gilmour,Mairi,Glasgow University,F,00:50:20
133,May,Iain,,M,00:50:24
134,Bruce,Duncan,North Ayrshire Ac,M,00:50:29
135,Gaille,Angus,Linlithgow AAC,M50,00:50:30
136,Turnbull,Billy,Wee County Harriers,M50,00:50:32
137,Nicholl,Ross,Unattached,M,00:50:37
138,Hawkins,Tommy,Unattached,M,00:50:39
139,Bromage,Iain,,M40,00:50:43
140,Stevenson,Jim,Beacon Runners,M40,00:50:46
141,Dick,Darren James,Linlithgow AAC,M40,00:50:51
142,Sword,Lawrence Trevor,,M40,00:50:55
143,Kealey,Philip,,M40,00:50:58
144,Bowman,Angus,Lomond Hill Runners,M50,00:50:58
145,O'Malley,Sinead,Hunters Bog Trotters,F,00:51:01
146,Brown,Jamie,Hunters Bog Trotters,M,00:51:03
147,Kealey,Karen,Ochil Hill Runners,F40,00:51:07
148,Coull,Charles,,M50,00:51:14
149,Haines,David,,M,00:51:18
150,MacIntosh,Mairi,Ochil Hill Runners,F,00:51:23
151,Christy,Lisa,Glasgow University Hares & Hounds,F,00:51:26
152,Taylor,Kenneth,Westerlands CCC,M,00:51:31
153,Scott,Paul,Unattached,M,00:51:33
154,Beedie,Iain,Lomond Hill Runners,M40,00:51:36
155,Tibbs,Brian,Mugdock Runners,M50,00:51:37
156,Dombrowski,Stephan,Unattached,M,00:51:38
157,Juskowiak,Ben,,M,00:51:42
158,Schreiber,Joanna,Girvan Amateur AC,F50,00:51:43
159,Adams,Elizabeth,Westerlands CCC,F,00:51:53
160,Graham,Ian,Unattached,M,00:51:57
161,Ng,Duncan,Glasgow University,M,00:52:03
162,Edwards,Colin,,M40,00:52:07
163,McGuire,Gerard,,M,00:52:07
164,MacNair,Alasdair,Wee County Harriers,M,00:52:16
165,Faedy,Romuald,,M40,00:52:25
166,Johnston,Stephen,Milburn Harriers,M50,00:52:28
167,Cooke,Leanne,Westerlands CCC,F,00:52:30
168,Leiper,Victoria,Shettleston Harriers,F,00:52:30
169,Caldwell,Christine,Unattached,F,00:52:33
170,Ballantyne,Katrina,Glasgow University Hares & Hounds,F,00:52:38
171,Laverty,Steven,Hunters Bog Trotters,M,00:52:42
172,Pettigrew,Iain,Ayr Seaforth AAC,M40,00:52:49
