RunnerPosition,Surname,Firstname,Club,RunnerCategory,FinishTime
1,Richmond,Kenny,Shettleston,M40,00:49:14
2,Stewart,Iain,Westerlands,M,00:49:18
3,Fulton,David,HBT,M,00:50:15
4,Love,Craig,Dundee Hawkhill,M40,00:52:50
5,Gilmour,Andrew,Carnethy Hill Runners,M,00:52:55
6,Taylor,Ewan,Perth Road Runners,M,00:53:01
7,Fraser,Gary,Ochil HR,M40,00:53:27
8,Smith,Alan,Deeside Runners,M50,00:54:05
9,Stewart,Gregor,Westerlands,M,00:54:21
10,Gilmour,Iain,Carnethy Hill Runners,M,00:54:40
11,MacDonalld,Grant,Bellahouston RR,M,00:54:41
12,Baxter,Grant,Ochil HR,M40,00:54:42
13,Carter,Tim,Bratclub,M,00:54:45
14,Gray,Andy,Ochil HR,M,00:54:59
15,Callendar,James,Westerlands,M,00:54:59
16,Harper,Peter,Unattached,M40,00:55:09
17,Mackie,Peter,Unattached,M,00:55:15
18,O'Neill,Owen,Westerlands,M,00:55:28
19,Mardall,Nick,Deeside Runners,M40,00:56:45
20,Geoghegan,Michael,Portobello,M,00:57:27
21,Martin,Neil,Lomond Hill Runners,M40,00:58:27
22,Scott,David,Ochil HR,M50,00:59:51
23,Raitt,Neil,Nottingham University Old Boys,M40,00:59:58
24,Gowan,David,Fife AC,M50,01:00:03
25,Earle,Paddy,Tinto Hill Runners,M50,01:00:23
26,Anderson,Laurie,Lomond Hill Runners,M50,01:00:35
27,Kennedy,John,Clydesdale Harriers,M50,01:01:06
28,Gilmour,Neil,Carnethy Hill Runners,M40,01:01:10
29,Poolman,Ian,Fife AC,M,01:01:34
30,Wilson,Rob,Penicuik Harriers,M40,01:01:58
31,Mitchell,Dave,Dundee Hawkhill,M50,01:02:16
32,Higginbottom,Jacqui,Carnethy Hill Runners,F40,01:02:20
33,Anderson,Alex,Anster Haddies,M,01:03:10
34,Sleggs,Paul,Corstorphine AAC,M,01:03:18
35,McCallum,Mark,Unattached,M,01:03:24
36,Mathieson,Stuart,Bellahouston RR,M,01:03:45
37,Edwards,Barry,Bellahouston RR,M,01:03:51
38,Ingram,Richard,Garioch Road Runners,M,01:03:59
39,Reid,Don,Westerlands,M50,01:05:12
40,Knox,Matthew,Unattached,M,01:05:23
41,Gorgas,Steffen,Westerlands,M40,01:05:32
42,Inman,Jason,Forth Valley Orienteers,M40,01:05:43
43,Connor,Julia,Moorfoots,F,01:05:47
44,Semple,Hamilton,Westerlands,M50,01:06:35
45,McCallum,Alasdair,Unattached,M40,01:06:43
46,Brennan,Brian,Westerlands,M50,01:06:50
47,Ritchie,Hilary,Fife AC,F40,01:06:53
48,Hamilton,Anilta,Cosmics,F50,01:07:00
49,Erskine,Alec,Carnethy Hill Runners,M40,01:07:10
50,Junnier,Beryl,Ochil HR,F50,01:08:05
51,Duncan,David,Ochil HR,M50,01:08:42
52,Kealey,Karen,Central AC,F40,01:09:05
53,Baxter,Katy,Ochil HR,F40,01:10:30
54,Stakes,David,Bellahouston RR,M40,01:11:03
55,Greig,Alistair,Unattached,M50,01:11:10
56,McCartney,Tom,Unattached,M40,01:11:10
57,O'Neill,Daniel,Unattached,M40,01:11:19
58,McEwan,John,Ochil HR,M40,01:11:43
59,Douglas,George,Westerlands,M40,01:11:45
60,Sheridan,Sarah,Unattached,F40,01:11:51
61,Butler,Thomas,Unattached,M40,01:12:00
62,Moffat,Ewan,Unattached,M40,01:12:21
63,Gilligan,Steven,Bellahouston RR,M40,01:12:49
64,Midgeley,Peter,Westerlands,M50,01:14:06
65,Legge,Sarah,Fife AC,F40,01:14:24
66,Weinschenk,Stephan,Unattached,M40,01:14:26
67,Ledlie,Colin,Carnethy Hill Runners,M40,01:14:43
68,McNally,John,Westerlands,M50,01:14:40
69,Fowler,Nigel,Fife AC,M40,01:15:00
70,Adams,Brendan,Unattached,M40,01:15:10
71,Harris,Matt,Carnegie Harriers,M,01:15:14
72,Johnston,Stephen,Milburn Harriers,M50,01:16:05
73,Bullen,John,Unattached,M,01:16:08
74,Buchanan,Lynn,Central AC,F40,01:16:09
75,Anderson,Barry,Ochil HR,M,01:16:44
76,Law,David,Corstorphine AAC,M50,01:16:47
77,Martin,Alastair,Unattached,M40,01:17:11
78,Lang,Sybil,Unattached,F40,01:17:29
79,Robertson,Brian,Unattached,M,01:17:32
80,Polak,Jo,Unattached,F50,01:19:15
81,Love,Charlie,Dundee Hawkhill,M60,01:20:42
82,Lawton,Michael,Unattached,M40,01:21:10
83,Bates,David,Unattached,M,01:21:17
84,Kennedy,Nancy,Lochaber,F50,01:21:54
85,Lee,Phil,Unattached,M,01:22:14
86,Stapley,Tony,Portobello,M60,01:26:33
87,Gleave,Sarah,Unattached,F40,01:28:27
88,McNee,Lucy,Unattached,F40,01:29:17
89,Steven,Charlie,Calderglen Harriers,M50,01:30:04
90,Robinson,Giles,Unattached,M,01:31:19
91,Allan,John,Motherwell AC,M50,01:36:11
92,Hughes,Eoin,Unattached,M,01:37:20
93,Fraser,Ron,Dundee Road Runners,M50,01:37:38
94,Dehn,Yvonne,Anster Haddies,F,01:42:15
95,Thornton,Robert,Fife AC,M50,01:45:45
96,Molmans,Lizan,Unattached,F40,01:48:43
