RunnerPosition,Surname,FirstName,Club,RunnerCategory,FinishTime
1,Peachey,Simon,Cosmics,M,00:39:57
2,Brooks,Robert,Cosmics,M,00:42:15
3,Whitehead,Clare,Cosmics,F,00:43:00
4,Smith,Alan,Deeside Runners,M40,00:43:43
5,Henry,Peter,Deeside Runners,M,00:43:44
6,Ingram,Barry,Metro Aberdeen,M,00:45:21
7,Russell,Colin,Cosmics,M,00:46:09
8,Bain,Andy,MAROC,M,00:46:27
9,Jessiman,Andy,Peebles Triathlon Club,M,00:46:28
10,Helmore,Steve,Cosmics,M50,00:47:12
11,Hicks,Simon,N/A,M,00:47:21
12,Larmour,Colin,Cosmics,M40,00:47:22
13,O'Sullivan,Sean,Cosmics,M,00:47:56
14,McLeod,Carolyn,N/A,F40,00:49:58
15,Mitchell,Dave,Dundee Hawkhill Harriers,M40,00:50:15
16,Ord,Steve,Deeside Runners,M40,00:50:20
17,Duncan,David,Ochil Hillrunners,M50,00:50:35
18,Bellarby,Jonathon,Cosmics,M40,00:50:37
19,Crossland,Alex,Stonehaven Running Club,M,00:50:56
20,Jermieson,Ashley,Cosmics,M50,00:51:04
21,Boyd,Jenny,Cosmics,F,00:51:46
22,Irvine,Rob,Cosmics,M40,00:52:02
23,Manning,Bruce,Cosmics,M50,00:52:21
24,Hamilton,Anita,Cosmics,F50,00:53:26
25,O'Neill,Eoghan,Stonehaven Running Club,M,00:53:29
26,McIntosh,Peter,N/A,M,00:54:14
27,Reid,Colin,Cosmics,M40,00:54:19
28,Morrow,Dave,Stonehaven Running Club,M,00:55:03
29,Bryce,Murray,Cosmics,M50,00:55:49
30,Weir,Jonathon,N/A,M,00:56:43
31,Gutteridge,Gary,Cosmics,M50,00:56:57
32,Anderson,Keith,Stonehaven Running Club,M,00:57:32
33,Donoghue,Craig,Stonehaven Running Club,M,00:59:36
34,Watson,Kevin,Stonehaven Running Club,M,00:59:44
35,Delaney,Liz,Cosmics,F,00:59:52
36,Van der Pol,Marjon,Cosmics,F,00:59:52
37,Clunas,Gillian,Cosmics,F50,01:00:32
38,Stewart,Elaine,Cosmics,F50,01:01:19
39,Campbell,Liz,Stonehaven Running Club,F,01:01:20
40,Smith,Ann,Cosmics,F40,01:01:26
41,Larmour,Pauline,Cosmics,F40,01:03:18
42,Shanks,Iain,Stonehaven Running Club,M,01:06:26
43,Gordon,Ruth,Stonehaven Running Club,F,01:06:47
44,Reid,Conor,Fleet Feet,M18,01:06:47
45,O'Sullivan,Sarah,Cosmics,F,01:12:02
46,McKay,Alfie,Cosmics,M50,01:15:30
