RunnerPosition,Surname,Firstname,Club,RunnerCategory,FinishTime
1,Traill,Steven,Lochaber AC,M,01:06:13
2,Burns,Stephen,Lochaber AC,M40,01:07:37
3,Cruz,Tiago,Gau-Bajouca,M,01:08:00
4,Yells,John,Lochaber AC,M,01:11:08
5,Monk,Steven,Lochaber AC,M,01:13:30
6,Kennedy,Ali,Lochaber AC,M50,01:14:04
7,Mackellaig,Ian,Lochaber AC,M40,01:14:16
8,Wilson,Stewart,Inverness Harriers,M40,01:14:37
9,Kennedy,Peter,Lochaber AC,M40,01:15:33
10,Gertig,Helen,Unattached,F,01:18:07
11,MacLeod,Allan,Lochaber AC,M40,01:19:00
12,Forrest,Stuart,Highland Hill Runners,M,01:19:14
13,MacKinnon,Barrie,Lochaber AC,M,01:19:34
14,MacLean,Robert,Lochaber AC,M40,01:20:18
15,Bass,Owen,Deeside Runners,M50,01:20:26
16,Blackhall,Amanda,Lochaber AC,F40,01:20:41
17,Lang,Kenny,Lochaber AC,M50,01:22:56
18,Forbes,Craig,Lochaber AC,M,01:23:17
19,Britton,Colin,Lochaber AC,M,01:27:13
20,Taylor,Gordie,Highland Hill Runners,M50,01:27:43
21,Foster,Foss,Lochaber AC,M40,01:28:16
22,Forster,Nix,Lochaber AC,F40,01:28:39
23,Denny,Colin,Lochaber AC,M50,01:30:27
24,Fyffe,Lewis,Lochaber AC,M,01:30:52
25,Macbeath,Niall,Lochaber AC,M40,01:31:31
26,MacDonald,Brian,Lochaber AC,M,01:32:56
27,Prins,Lucy,Lochaber AC,F40,01:34:13
28,Ross,Susan-Jane,Lochaber AC,F40,01:37:03
29,Kyle,Phil,Lochaber AC,M50,01:37:07
30,MacLeod,Richard,Lochaber AC,M,01:37:35
31,MacKinnon,Vikki,Lochaber AC,F,01:38:38
32,Masson,Rebecca,Lochaber AC,F,01:38:55
33,Douglas,George,Westerlands,M50,01:42:09
34,Pearce,Emma,Lochaber AC,F50,01:43:14
35,Britton,Emma,Lochaber AC,F,01:44:01
36,Cameron,Kathleen,Lochaber AC,F,01:48:42
37,Hamilton,Jim,Lochaber AC,M50,01:49:46
38,O'Brien,Audrey,Jog Scotland,F40,02:00:35
39,Bass,Ursula,Deeside,F40,02:01:26
