RunnerPosition,Surname,FirstName,Club,RunnerCategory,FinishTime
1,Diver,Michael,,M,00:27:37
2,Matthews,Pete,,M,00:28:05
3,Sanford,James,,M,00:28:21
4,Stewart,Andrew,,M,00:30:47
5,Loveless,Sian,,F,00:31:01
6,Izberovic,Tomas,,M,00:31:05
7,Wardner,Matthew,,M,00:31:15
8,Imrie,Heather,,F,00:31:23
9,Monaghan,Ken,,M,00:31:49
10,Nicholls,Shaun,,M,00:32:25
11,Young,Stuart,,M,00:32:57
12,Taylor,Alan,,M,00:33:00
13,Wright,Steven,,M,00:33:10
14,Pearson,Shaun,,M,00:33:12
15,Watts,Beth,,F,00:34:24
16,Harries,Tom,,M,00:34:42
17,Cichanski,Paul,,M,00:34:47
18,Jamieson,Stuart,,M,00:34:56
19,Tweedie,John,,M,00:35:29
20,Hamilton,Andrew,,M,00:35:39
21,Marshall,Margaret,,F,00:35:42
22,Elliot,Rab,,M,00:35:49
23,Deakin,Gary,,M,00:35:50
24,Johnston,Simon,,M,00:36:00
25,Johnstone,Louise,,F,00:36:33
26,Snow,Jon,,M,00:36:36
27,Connor,Mark,,M,00:37:10
28,Kidston,Douglas,,M,00:38:31
29,Ridley,Joseph,,M,00:38:41
30,Mclaren,Euan,,M,00:38:54
31,Narrie,Stefan,,M,00:39:06
32,Michie,Joy,,F,00:39:25
33,Mole,Alastair,,M,00:39:30
34,Devlin,John,,M,00:39:33
35,Bollasina,Massimo,,M,00:40:20
36,Cavanagh,Alexandra,,F,00:40:21
37,Shirron,Julie,,F,00:40:55
38,Basso,Luca,,M,00:41:12
39,Nelson,Tom,,M,00:41:19
40,Murray,Alistair,,M,00:41:38
41,Grome,Bryan,,M,00:42:04
42,Braid,Graham,,M,00:42:15
43,Paton,Jim,,M,00:42:16
44,Herron,Shauna,,F,00:42:16
45,Graham,Clare,,F,00:42:27
46,Fallon,Tom,,M,00:42:35
47,Rhodes,Chris,,M,00:44:39
48,Leeman,Samantha,,F,00:46:00
