RunnerPosition,Surname,Firstname,Club,RunnerCategory,FinishTime
1,Rodgers,David,Lochaber Athletic Club,MS,0:26:52
2,Wilkinson,John,Gala Harriers,MS,0:26:53
3,Rodgers,Billy,U/A,MS,0:27:07
4,Brooks,John,Lochaber Athletic Club,J,0:27:20
5,Lee,Robert,Livingston and District Athletic Club,MS,0:27:39
6,Cavers,David,Teviotdale Harriers,MS,0:27:46
7,Rigby,Mark,Westerlands Cross Country Club,S,0:28:00
8,Ward,Adam,Edinburgh Athletic College,MS,0:28:01
9,Veitch,Ian,Gala Harriers,MS,0:28:04
10,Crowe,Des,Shettleston Harriers,MS,0:28:26
11,Bell,Dennis,Help,V,0:28:31
12,Weir,Dave,Perth Strathtay Harriers,MS,0:29:09
13,James,Mark,Carnethy Hill Running Club,MS,0:29:21
14,Davis,Adrian,Fife AC,MS,0:29:25
15,Spenceley,Andrew,Carnethy Hill Running Club,MS,0:29:27
16,Hogarth,Robert,Claremont Harriers,J,0:29:33
17,Bennett,Sandy,Westerlands Cross Country Club,MS,0:29:48
18,Boswell,Roger,Lochaber Athletic Club,V,0:29:52
19,Kirkland,John,Dundee Hawkhill Harriers,MS,0:30:01
20,Blair-fish,John,Carnethy Hill Running Club,V,0:30:08
21,Bell,David,Help,MS,0:30:10
22,Knox,Bill,Teviotdale Harriers,V,0:30:13
23,McFarlane,Russell,Fife AC,J,0:30:18
24,Shaw,Charlie,Westerlands Cross Country Club,V,0:30:20
25,Wallace,Iain,Hunters Bog Trotters,MS,0:30:24
26,McPherson,Vincent,Fife AC,J,0:30:38
27,Knox,Jim,Teviotdale Harriers,V,0:30:46
28,Longmore,Rory,Solway,MS,0:30:48
29,Shiel,Douglas,Carnethy Hill Running Club,MS,0:31:23
30,Ross,Tom,Fife AC,V,0:31:33
31,Williamson,Hugh,Carnethy Hill Running Club,MS,0:31:49
32,Gorman,Manuel,Westerlands Cross Country Club,MS,0:32:11
33,Hutchison,Hamish,Carnethy Hill Running Club,J,0:32:34
34,Muhl,Jonathan,Carnethy Hill Running Club,MS,0:32:38
35,Burns,Keith,Carnethy Hill Running Club,SV,0:32:42
36,Diamantides,Helene,Westerlands Cross Country Club,F,0:32:48
37,Love,Charles,Dundee Hawkhill Harriers,SV,0:32:50
38,Caldow,George,Gala Harriers,MS,0:32:59
39,Hope,Ross,Help,MS,0:33:05
40,Marsh,John,Teviotdale Harriers,V,0:33:28
41,Waldie,Brian,Carnethy Hill Running Club,SV,0:33:34
42,Blane,Gordon,Sbac,MS,0:33:37
43,Baxter,Peter,Westerlands Cross Country Club,MS,0:33:49
44,Cranston,Robert,U/A,MS,0:34:06
45,Mair,James,Carnethy Hill Running Club,V,0:34:07
46,Armstrong,George,Help,SV,0:34:14
47,McConnell,Joe,Irvine Cable,MS,0:34:18
48,Carnochan,Andrew,Carnethy Hill Running Club,MS,0:34:22
49,O'brien,Joseph,Gala Harriers,MS,0:34:24
50,Wilson,Allan,Dundee Hawkhill Harriers,MS,0:34:45
51,Todd,Mari,Ambleside Athletic Club,F,0:34:48
52,Lennox,Christopher,Law District Athletic Club,V,0:34:51
53,Low,Peter,Fife AC,V,0:34:57
54,Lorrimer,Alistair,Hunters Bog Trotters,V,0:35:09
55,McGillivray,Allan,Fife AC,SV,0:35:29
56,Harvey,Eddie,Carnethy Hill Running Club,SV,0:35:39
57,Ford,Tom,U/A,MS,0:35:44
58,Kinnear,William,Annan Athletic Club,V,0:35:48
59,Duff,Lawrie,U/A,MS,0:35:53
60,Pritchard,Colin,Carnethy Hill Running Club,V,0:36:02
61,Eelbeth,David,U/A,MS,0:36:27
62,Rother,Penny,Eac,F,0:36:28
63,Scott,Elspeth,Westerlands Cross Country Club,F,0:36:30
64,McWhinnie,Jim,Carnethy Hill Running Club,MS,0:36:34
65,Sloan,Robin,Roxburgh Reivers,V,0:36:43
66,Lennox,Jethro,Law District Athletic Club,J,0:37:10
67,Orr,Ryan,Gala Harriers,MS,0:37:13
68,Chrystal,Ian,Lochaber Athletic Club,SV,0:37:16
69,Welsh,Ewan,Gala Harriers,MS,0:37:44
70,Coltman,Alan,Teviotdale Harriers,MS,0:38:08
71,Heggarty,Nicholas,Gala Harriers,J,0:38:23
72,Kerr,Tom,Gala Harriers,V,0:38:27
73,Whalley,Christine,Livingston and District Athletic Club,F,0:38:33
74,Owen,David,U/A,MS,0:38:51
75,Cation,Frank,Fife AC,V,0:38:56
76,Marshall,Ian,Hunters Bog Trotters,V,0:39:07
77,Hope,Lesley,Lochaber Athletic Club,F,0:39:24
78,Pritchard,Matthew,Carnethy Hill Running Club,J,0:39:34
79,Miekle,George,Gala Harriers,F,0:40:03
80,Rose,Nigel,Carnethy Hill Running Club,SV,0:40:16
81,Bias,Freddie,East Kilbride Athletic Club,SV,0:40:17
82,Benny,Graham,Westerlands Cross Country Club,SV,0:40:55
83,Morton,Jim,Irvine Cable,M,0:41:04
84,Blake,Pippa,Perth Strathtay Harriers,F,0:41:06
85,Bennett,Bill,Penicuick Harriers,SV,0:41:11
86,Spenceley,Hilary,Carnethy Hill Running Club,F,0:42:55
87,Woodman,Marie,Carnethy Hill Running Club,F,0:43:57
88,Zinn,Philip,U/A,MS,0:44:21
89,Suess,Nigel,U/A,V,0:44:30
90,Maguire,John,U/A,MS,0:45:47
91,Smith,Janice,Penicuick Harriers,F,0:45:52
92,Waldie,Scott,Melrose Athletic Club,V,0:46:33
93,King,Shelagh,Clydesdale Harriers,F,0:48:39
94,Knox,Lindsey,Teviotdale Harriers,F,0:51:09
95,Dennyson,Helen,U/A,F,0:52:58
96,Rattray,Jim,U/A,MS,0:55:58
97,McNay,Chris,U/A,J,0:55:38
98,Dennyson,Bill,U/A,SV,0:56:09
99,Zinn,Helen,U/A,F,0:71:02
