RunnerPosition,Surname,FirstName,Club,RunnerCategory,FinishTime
1,Mitchell,Craig,Lochaber,M,00:22:41
2,Williamson,Jason,Cosmics,M,00:23:01
3,Gorman,Manny,Westies,M,00:23:25
4,McDonald,Dennis,Cosmics,M40,00:23:59
5,Moroney,Bruce,Metro,M40,00:24:07
6,Lorimer,Hayden,HBT,M,00:24:43
7,Robertson,Keith,Cosmics,M40,00:25:40
8,Hamilton-Jones,Marnoch,Gramp,U17,00:25:55
9,Ingram,Barry,Fraserburgh,M,00:26:16
10,Bass,Owen,Deeside,M40,00:26:23
11,Duncan,Bruce,Gramp,M,00:26:53
12,Lang,Richard,Cosmics,M,00:27:10
13,Larmour,Colin,Cosmics,M40,00:27:17
14,Bricknell,Bruce,Cosmics,M40,00:27:31
15,Copeland,Barry,Splash & Dash,M40,00:27:41
16,McLeod,Roddy,Metro,M40,00:27:45
17,Colegrave,John,Cosmics,M50,00:28:04
18,Blane,David,Garioch,M40,00:28:30
19,Hunter,Stuart,Cosmics,M40,00:28:38
20,Hamilton,Ian,Gramp,M40,00:29:06
21,Sullivan,David,Deeside,M50,00:29:23
22,Stone,Mike,Cosmics,M40,00:29:59
23,Brettle,Matt,Cosmics,M,00:30:06
24,Gutteridge,Gary,Cosmics,M50,00:30:19
25,Cran,Ian,Garioch,M50,00:30:40
26,Marks,Graeme,Cosmics,M50,00:31:00
27,Elder,Bob,Cosmics,M50,00:31:08
28,Dahl,Fiona,Cosmics,F,00:31:16
29,Hamilton,Anita,Cosmics,F50,00:31:32
30,Davidson,Ian,Maroc,M50,00:31:34
31,Poole,Gareth,U/A,M,00:31:36
32,Harrison,Mark,U/A,M,00:31:47
33,Reid,Colin,Cosmics,M40,00:31:54
34,Bryce,Murray,Cosmics,M50,00:32:20
35,Johnstone,Derek,Cosmics,M40,00:32:42
36,Mackay,Mike,U/A,M,00:33:08
37,Irvine,Rob,Cosmics,M40,00:33:19
38,Taylor,Colin,Cosmics,M40,00:33:29
39,Stewart,Elaine,Cosmics,F50,00:33:50
40,Clark,Murray,Cosmics,M50,00:33:53
41,Ferguson,Alison,Metro,F,00:34:34
42,Clark,David,U/A,M,00:35:00
43,Mackay,Fiona,Cosmics,F40,00:35:27
44,Clunas,Gillian,Cosmics,F40,00:36:14
45,McIntosh,Bert,Splash & Dash,M60,00:36:51
