RunnerPosition,Surname,Firstname,Club,RunnerCategory,FinishTime
1,Simpson,Robbie,Deeside,M,20:32
2,Griffin,Tim,Cosmic,M40,23:19
3,Williamson,Jason,Cosmic,M40,23:45
4,Whitehead,Clare,Deeside,F,23:55
5,Lorimer,Hayden,U/A,M,24:00
6,Tomlin,Chris,Cosmic,M40,24:44
7,Jaffrey,Neil,Metro,M,25:07
8,Drummond,Fraser,Cosmic,M16,25:38
9,Bass,Owen,Deeside,M40,25:49
10,Murray,Rab,The Darkside,M40,25:52
11,Millott,Niku,Metro,M,26:00
12,McCormack,Sarah,Moorfoot,F,26:13
13,Diamond,Mark,Metro,M,26:43
14,Oldham,Veronique,Cosmic,F40,26:46
15,Smith,Stuart,Cosmic,M,26:50
16,Larmour,Colin,Cosmic,M40,27:10
17,Rennie,Nick,U/A,M40,27:31
18,Grassie,Duncan,Grampian Orienteers,M,27:52
19,Hague,Peter,Cairngorm Runners,M50,27:59
20,Roxburgh,Duncan,U/A,M,28:08
21,Ingram,Richard,Garioch,M,28:17
22,Hart,Matthew,U/A,M,28:54
23,Williams,Rupert,Cosmic,M40,29:19
24,Jermieson,Ashley,Cosmic,M60,29:23
25,Clark,Graeme,Fraserburgh,M50,29:27
26,McLeod,Roddy,Metro,M40,29:37
27,Stone,Mike,Cosmic,M40,30:14
28,Reid,Colin,Cosmic,M40,30:19
29,Colegrave,John,Cosmic,M50,30:32
30,Bellarby,Jonathan,Cosmic,M40,31:11
31,Tait,Jamie,Metro,M,31:36
32,Hamilton,Anita,Cosmic,F50,31:41
33,Irvine,Rob,Cosmic,M40,31:45
34,Barclay,Kevin,U/A,M40,31:52
35,Smith,Claire,Metro,F,31:57
36,Bryce,Murray,Cosmic,M50,32:04
37,Clark,Murray,Cosmic,M50,32:06
38,Larmour,Pauline,Cosmic,F40,32:10
39,Morrison,Gary,Cosmic,M40,32:45
40,Cran,Ian,Garioch,M50,33:12
41,Martin,Emma,3 Peaks Tri,F,33:19
42,Morrice,Paul,Metro,M,33:32
43,Arnason,Arnar,North Iceland,M40,34:24
44,Clark,Lesley,U/A,F,34:45
45,Taylor,Colin,Cosmic,M40,34:54
46,Clunas,Gillian,Cosmic,F40,35:34
47,Davidson,Jane,U/A,F,35:57
48,Waites,Steve,Garioch,M50,36:20
49,Cruickshank,Wendy,Metro,F50,36:23
50,Watt,Gillian,Garioch,F40,39:32
