RunnerPosition,Surname,FirstName,Club,RunnerCategory,FinishTime
1,Mathieson,Gordon,Falkland Trail Runners,M,00:29:17
2,Robinson,Duncan,Unattached,M,00:29:23
3,Russell,Chris,Falkland Trail Runners,M,00:30:42
4,Strachan,Scott,Kinross Road Runners,M45,00:31:54
5,Kemp,Alan,Kinross Road Runners,M40,00:32:12
6,Scott,David,Kinross Road Runners,M40,00:32:16
7,Gilmore,Iain,Carnethy,M,00:32:34
8,Anderson,Heather,Fife AC,F,00:32:43
9,Newton,Matt,Kinross Road Runners,M45,00:32:44
10,Davis,Adrian,Lomond Hill Runners,M55,00:33:08
11,McElroy,Stuart,Kinross Road Runners,M,00:33:44
12,Clark,Dave,Falkland Trail Runners,M40,00:33:48
13,Stewart,Billy,Glenrothes Triathlon Club,M,00:34:04
14,Smith,John,Unattached,M50,00:34:09
15,Lessels,Jamie,Falkland Trail Runners,M16,00:34:27
16,Jones,Tim,Kinross Road Runners,M40,00:34:57
17,Ballantine,Andrew,Falkland Trail Runners,M,00:35:08
18,Mclean,Mark,Leven Las Vegas,M50,00:35:25
19,Turner,Judith,Falkland Trail Runners,F,00:35:31
20,Andrew,Mike,Carnethy,M55,00:35:42
21,Pryde,Gordon,Lomond Hill Runners,M60,00:35:54
22,Lessels,Bryan,Falkland Trail Runners,M45,00:36:01
23,Kemp,Graham,Kinross Road Runners,M,00:36:33
24,Muir,Neil,Perth Road Runners,M55,00:36:44
25,Curtis,Michael,Kirkcaldy Wizards,M50,00:36:44
26,Mclaren,Brian,Leven Las Vegas,M,00:37:20
27,Luff,Stephen,Kirkcaldy Wizards,M45,00:37:36
28,Grace,Paul,Perth Road Runners,M50,00:37:39
29,Anderson,Laurie,Lomond Hill Runners,M60,00:37:48
30,Robinson,Hilary,Unattached,F,00:37:55
31,Moffatt,Jamie,Unattached,M,00:37:58
32,Brannigan,Brian,Unattached,M55,00:38:05
33,Boyle,John,Kinross Road Runners,M60,00:38:11
34,Shaw,Trevor,Lochtayside,M,00:38:28
35,Gannon,Patrick,Unattached,M,00:38:36
36,Macdonald,Stuart,Kirkcaldy Wizards,M,00:38:43
37,Dillon,Stewart,Unattached,M55,00:38:51
38,Leggett,Robert,Falkland Trail Runners,M,00:38:58
39,Mitchell,Neill,Fife AC,M50,00:39:16
40,Horsfield,Fiona,Kinross Road Runners,F,00:39:30
41,Brennan,Brian,Westerlands,M60,00:39:45
42,Milne,Ronald,Forfar Road Runners,M60,00:40:03
43,Hutt,Sarah,Kinross Road Runners,F,00:40:09
44,Marshall,Hailey,Falkland Trail Runners,F,00:40:16
45,Ritchie,Hilary,Fife AC,F55,00:40:19
46,Vernor,Frank,Unattached,M40,00:40:23
47,Reid,Stewart,Perth Road Runners,M40,00:40:35
48,Simpson,Iain,Falkland Trail Runners,M45,00:40:49
49,Bonthrone,Keith,Fife AC,M55,00:40:55
50,Forte,Phil,Dundee Hawkhill Harriers,M60,00:41:14
51,Patterson,Alice,Unattached,F,00:41:22
52,Sinclair,David,Perth Road Runners,M,00:41:27
53,Cessford,Lee,Falkland Trail Runners,M40,00:42:06
54,Robertson,Grant,Dundee Road Runners,M50,00:42:41
55,Rennie,Sian,Wormit Runners,F,00:43:04
56,Drewery,Kevin,Unattached,M,00:43:05
57,Lessels,Louise,Falkland Trail Runners,F40,00:43:07
58,Haddow,Carolyn,Falkland Trail Runners,F55,00:43:24
59,Murdoch,Mike,Falkland Trail Runners,M40,00:43:46
60,Gardener,Alan,Falkland Trail Runners,M45,00:44:04
61,Duff,Bill,Falkland Trail Runners,M65,00:44:24
62,Kershaw,Daniel,Falkland Trail Runners,M40,00:44:24
63,McDermand,Chris,Unattached,M40,00:45:32
64,Mathieson,Stephen,Kirkcaldy Wizards,M40,00:45:56
65,Milne,Elizabeth,Forfar Road Runners,F50,00:46:08
66,Lopez,Gillian,Kinross Road Runners,F55,00:46:32
67,Reilly,Jim,Kinross Road Runners,M55,00:46:32
68,Fraser,Ronald,Dundee Road Runners,M55,00:47:05
69,McArthur,Jack,Unattached,M,00:47:20
70,Coull,Gordon,Falkland Trail Runners,M,00:47:29
71,McArthur,Ross,Falkland Trail Runners,M,00:47:54
72,Kemp,Gillian,Kinross Road Runners,F,00:47:56
73,Hunter,Neil,Kinross Road Runners,M50,00:48:09
74,Martin,Lizzie,Falkland Trail Runners,F,00:48:28
75,Alcock,Mike,Falkland Trail Runners,M65,00:48:36
76,Rennie,Amanda,Kinross Road Runners,F40,00:48:42
77,Pease,David,Falkland Trail Runners,M55,00:48:52
78,Jones,Lucy,Kinross Road Runners,F40,00:49:35
79,Greer,Stephen,Carnegie Harriers,M60,00:50:25
80,Lessels,Emma,Falkland Trail Runners,F16,00:50:46
81,Mackay,Stephen,Unattached,M50,00:51:24
82,Robertson,Alison,Kinross Road Runners,F,00:51:24
83,Houston,Alison,Kinross Road Runners,F65,00:51:25
84,Aitken,Kerry,Kinross Road Runners,F45,00:51:28
85,Arthur,Wendy,Unattached,F50,00:51:42
86,Stewart,Jane,Ochil Hill Runners,F40,00:51:44
87,Ireland,Gillian,Falkland Trail Runners,F,00:52:05
88,Shaw,Richard,Anster Haddies,M60,00:52:25
89,Lutton,Craig,Forfar Road Runners,M40,00:52:53
90,Gerken,Julia,Falkland Trail Runners,F,00:52:59
91,Lee,Rosemary,Falkland Trail Runners,F60,00:53:03
92,Mcintyre,John,Fife AC,M50,00:53:26
93,Ferguson,Michael,Falkland Trail Runners,M50,00:53:34
94,Smith,Jennifer,Carnegie Harriers,F45,00:53:44
95,Sipple,Daile,Perth Road Runners,F50,00:54:04
96,Adamson,Derek,Falkland Trail Runners,M50,00:54:11
97,Bell,Sandy,Fife AC,M50,00:54:32
98,Verdot,Leigh,Kinross Road Runners,F,00:54:34
99,Lee,John,Falkland Trail Runners,M60,00:54:44
100,Gibson,Annie,Falkland Trail Runners,F55,00:55:09
101,Walker,Carolyn,Linlithgow Athletic Club,F55,00:55:45
102,Blyth,Robbie,Falkland Trail Runners,M50,00:57:08
103,Rieu-Clarke,Peter,Fife AC,M65,00:59:01
104,Wehrle,Mark,Meedies Running Club,M,00:59:04
105,Wallace,Lesley,Kirkcaldy Wizards,F55,01:00:48
106,McLean,Susan,Kinross Road Runners,F50,01:01:46
107,Eaton,Sarah,Kinross Road Runners,F55,01:01:46
108,Lopez,Hannah,Kinross Road Runners,F,01:02:31
109,Cole,Paula,Unattached,F50,01:04:31
110,Clark,John,Falkland Trail Runners,M45,01:04:39
111,Duncan Clark,Tahra,Kirkcaldy Wizards,F50,01:04:39
112,Miller,Lindsay,Unattached,F,01:06:21
113,Mclean,Kevan,Unattached,M45,01:06:31
114,Robertson,Laura,Falkland Trail Runners,F45,01:06:43
115,Smith,Norman,Kinross Road Runners,M,01:06:57
116,Yule,Tracy,Meedies Running Club,F,01:07:46
117,Spence,Karen,Falkland Trail Runners,F50,01:08:00
118,Donaldson-Buist,Sindy,Falkland Trail Runners,F40,01:10:10
119,Gardener,Sandra,Falkland Trail Runners,F45,01:10:45
120,Bell,Matthew,Unattached,M,01:11:27
121,Barrie,Sarah,Unattached,F,01:11:27
122,Hanna,Samarra,Unattached,F,01:19:12
123,Campbell,Karen,Falkland Trail Runners,F55,01:32:39
124,Gilbert,Kim,Falkland Trail Runners,F55,01:32:39
