RunnerPosition,Surname,FirstName,Club,RunnerCategory,FinishTime
1,Mosgrove,Mark,Banchory Running Club,M,03:08:40
2,Kelly,Jason,Stonehaven Running Club,M,03:12:20
3,Batt,Dwayne,Metro Aberdeen Running Club,M,03:16:24
4,Knight,Paul,Metro Aberdeen Running Club,M,03:17:35
5,Curry,Matthew,Carnethy HRC,M,03:22:22
6,Webb,Paul,Stonehaven Running Club,M,03:22:43
7,Hill,Christopher,Cosmic Hillbashers,M,03:24:37
8,Campbell,Iain,Unattached,M,03:40:14
9,Russell,Colin,Cosmic Hillbashers,M,03:40:49
10,Mccoull,Fraser,RunRecover / RaceFitness,M,03:42:02
11,Maxwell,Stewart,Metro Aberdeen Running Club,M,03:42:17
12,Scott,David,Metro Aberdeen Running Club,M,03:42:17
13,Le Huray,Mark,Metro Aberdeen Running Club,M,03:43:48
14,Kedar,Lauren,Cosmic Hillbashers,F,03:43:55
15,Kelly,Neill,Unattached,M50,03:44:38
16,Reid,Angela,North Ayrshire Athletic Club,F,03:49:14
17,Finegan,Noel,Race Fitness,M,03:50:21
18,Barron,Bob,Deveron Harriers,M,03:52:29
19,Rees-Jenkins,Jennifer,Insch Trail Running Club,F,03:55:30
20,Myles,Mark,Unattached,M,03:55:42
21,Harris,Gavin,Deveron Harriers,M,03:56:57
22,Doidge-harrison,Steve,Unattached,M,03:57:42
23,Sell,Scott,Stonehaven Running Club,M,03:59:32
24,Gilmore,David,Fraserburgh Running Club,M,03:59:56
25,Mills,Harriet,Edinburgh University Hare and Hounds,F,04:00:31
26,Watters,Dee,Stonehaven Running Club,F,04:00:50
27,Watters,Steven,Stonehaven Running Club,M,04:00:55
28,mckellar,kevin,Unattached,M,04:02:20
29,Swinton,Adam,Metro Aberdeen Running Club,M50,04:13:40
30,Grant,Ewan,Unattached,M,04:13:41
31,Gordon,Andrew,Cosmic Hillbashers,M,04:13:42
32,Bryce,Rebecca,Stonehaven Running Club,F,04:15:21
33,Keenan,Jack,Unattached,M,04:22:58
34,Shepperson,Talitha,jogscotland Kintore,F,04:23:48
35,Shepperson,Andrew,jogscotland Kintore,M,04:23:48
36,Ritchie,Graham,Stonehaven Running Club,M50,04:24:16
37,Duncan,Alexander,Fraserburgh Running Club,M50,04:25:41
38,Whitaker,Tony,Banchory Running Club,M50,04:27:44
39,Buchan,Alexander,Unattached,M,04:27:44
40,Heywood,Ian,Unattached,M50,04:28:02
41,Watson,Gareth,Turriff Running Club,M,04:29:00
42,Thom,Jo,Stonehaven Running Club,F,04:29:04
43,Maclean,Lorna,Unattached,F,04:29:40
44,Presly,Victoria,Unattached,F,04:29:45
45,Cumming,Graeme,Cosmic Hillbashers,M50,04:30:17
46,Cameron,Norman,Unattached,M50,04:30:45
47,Cole,Stephen,Unattached,M50,04:31:35
48,Ingram,Richard,Unattached,M,04:32:29
49,Robertson,Kate,Stonehaven Running Club,F,04:33:46
50,Ogston,Stacey,Stonehaven Running Club,F,04:41:57
51,Crombie,Ray,Unattached,M50,04:42:23
52,Elliott,Chris,Arbroath Footers Running Club,M,04:42:24
53,Beswick,Russell,Unattached,M,04:42:38
54,Hassan,Sharon,Insch Trail Running Club,F,04:47:06
55,Clark,Stuart,Unattached,M,04:50:10
56,Dick,Alan,Aberdeen AAC,M50,04:50:44
57,Irvine,Rob,Cosmic Hillbashers,M50,04:52:15
58,Cheyne,Lesley,Stonehaven Running Club,F,04:53:43
59,Penkala,Jagoda,Arbroath Footers Running Club,F,04:55:05
60,Maclean,John,Unattached,M,04:55:18
61,perry,martin,Fraserburgh Running Club,M50,04:55:50
62,Turner,Bruce,Unattached,M,04:57:57
63,Field,Ivan,100 Marathon Club,M50,05:00:56
64,Brindley,Garry,Cowie Crawlers,M50,05:01:06
65,Fowler,Tina,Arbroath Footers Running Club,F,05:05:19
66,Davies,Christine,Arbroath Footers Running Club,F50,05:05:19
67,Towns,Mary,Arbroath Footers Running Club,F,05:05:19
68,Wallace,Sarah,Metro Aberdeen Running Club,F,05:07:01
69,Shanks,Victoria,Stonehaven Running Club,F,05:08:37
70,Serrell,Patrick,Unattached,M,05:10:21
71,Berry,Cecilia,Garioch Roadrunners,F,05:11:24
72,Prendergast,Victoria,Three Peaks Triathletes,F,05:11:24
73,Third,Colin,Unattached,M,05:12:25
74,greig,mark,Unattached,M50,05:14:07
75,Collins,Paul,Garscube Harriers,M50,05:14:24
76,Duncan,Michael,Aberdeen Hash House Harriers,M50,05:18:04
77,Worth,Martin,Huntly Rinnin Quines and Loons,M50,05:18:04
78,Lornie,Graeme,jogscotland Hazelhead,M50,05:22:48
79,Dornan,Wilson,Insch Trail Running Club,M,05:25:58
80,Chalmers,George,Unattached,M50,05:25:58
81,Honey,Jack,Unattached,M50,05:29:05
82,Findlay,Richard,Unattached,M,05:33:12
83,Wallek,Natalya,Unattached,F,05:33:12
84,Innes,Tracey,Stonehaven Running Club,F,05:40:20
85,Hughes,Caroline,Stonehaven Running Club,F,05:59:16
86,Ward,Georgina,Stonehaven Running Club,F,05:59:16
87,Hastie,Sandra,Unattached,F,06:30:33
88,Buchan,Caroline,Peterhead jogscotland & Athletics Club,F,06:30:37
89,McBain,Rachel,Fit Like Joggers,F,06:44:28
90,Musinovic,Mina,Unattached,F,06:44:28
