RunnerPosition,Surname,Firstname,Club,RunnerCategory,FinishTime
1,Beaven,Ally,Highland Hill Runners,M,01:02:02
2,Bryson,Gavin,Highland Hill Runners,M,01:04:36
3,O'Donnell,Michael,Inverness Harriers,M,01:05:03
4,Kerr,David,Highland Hill Runners,M40,01:05:38
5,Bannerman,Ross,East Sutherland AC,M40,01:06:19
6,Gollan,Eoghann,East Sutherland AC,M,01:07:14
7,Coull,Eoin,Ross County AC,M40,01:07:46
8,Worsley,Steve,Inverness Harriers,M50,01:08:56
9,Burnett,Robin,Inverness Harriers,M40,01:09:54
10,Wilby,Andrew,Highland Hill Runners,M40,01:10:32
11,Rowe-Leete,Daniel,Unattached,M,01:10:33
12,Walmsley,Dan,Highland Hill Runners,M,01:12:40
13,Thompson,Vikki,Unattached,F,01:13:22
14,Hickey,Hamish,Ross County AC,M,01:14:29
15,Wilson,Stewart,Highland Hill Runners,M50,01:14:36
16,Roberts,Dave,Highland Hill Runners,M40,01:16:02
17,MacDonald,Dougie,Highland Hill Runners,M40,01:16:03
18,Wallace,Craig,Highland Hill Runners,M,01:16:18
19,MacLean,Robert,Ross County AC,M50,01:16:33
20,Forrest,Stuart,Highland Hill Runners,M,01:17:01
21,Lyons,Karen,Highland Hill Runners,F40,01:17:02
22,Chatburn,Richard,Highland Hill Runners,M40,01:18:02
23,Grant,Rhona,Highland Hill Runners,F,01:19:33
24,McPherson,John,Inverness Harriers,M,01:20:19
25,Cameron,Hilary,Forres Harriers,F40,01:20:23
26,Stuart,William,Moray Road Runners,M40,01:20:52
27,Thomas,Huw,Unattached,M40,01:24:33
28,Popple,Steve,Highland Hill Runners,M50,01:25:39
29,Bryan,Dave,East Sutherland AC,M40,01:26:29
30,Sutherland,Alex,Highland Hill Runners,M70,01:26:42
31,Douglas,Dave,Highland Hill Runners,M40,01:27:00
32,Williams,Rupert,Cosmics,M50,01:30:27
33,Marwick,Caroline,Inverness Harriers,F,01:30:43
34,Coull,Lorraine,Ross County AC,F40,01:31:16
35,McGrory,Sarah,Unattached,F,01:37:19
36,Smith,Linda,Moray Road Runners,F50,01:37:49
37,Nadin,Bethan,Highland Hill Runners,F,01:39:17
38,Beck,Sharon,Highland Hill Runners,F40,01:40:24
39,Ellen,Jo,Ross County AC,F40,01:40:51
