RunnerPosition,Surname,FirstName,Club,RunnerCategory,FinishTime
1,Feltbower,Stephen,Ochils,M,00:30:42
2,Anthony,Alasdair,Ochils,M40,00:31:59
3,Gardner,Pete,HBT,M,00:32:11
4,Eiser,Dave,Ochils,M40,00:33:41
5,Coy,Tom,Unattached,M40,00:34:58
6,Downey,David,Dunblane Runners,M40,00:34:59
7,Stansfield,Ben,Forth Valley Orienteers,M40,00:35:40
8,Barton,Russel,Unattached,M,00:35:57
9,Buchanan,Catriona,Ochils,F,00:36:23
10,Cameron,Iain,Central AC,M40,00:36:26
11,Anderson,Ross,Westerlands,M,00:37:06
12,Ferrier,Neil,Central AC,M,00:37:11
13,Glen,Ronnie,Perth RR,M40,00:37:22
14,Preiss,Alastair,Ochils,M40,00:37:28
15,Wright,Martyn,Unattached,M,00:37:30
16,Milne,Ross,Unattached,M,00:37:34
17,Furse,Chris,Westerlands,M40,00:37:43
18,Weir,Jonathan,Unattached,M40,00:37:48
19,Drummond,James,Unattached,M,00:38:21
20,Irving,Iain,Unattached,M,00:38:30
21,Muir,Neil,Perth RR,M40,00:38:32
22,Holland,Lee,Carnegie Harriers,M40,00:39:01
23,Brodie,Stuart,Ochils,M,00:39:03
24,Anderton,Nathan,Unattached,M40,00:39:17
25,Buchanan,Hugh,Central AC,M40,00:39:23
26,Dunsmore,Iain,Central AC,M40,00:39:26
27,Findlay,Clark,Unattached,M40,00:39:34
28,Appelbe,Gordon,Central AC,M,00:39:46
29,Featherby,Tristan,Pocklington,M,00:39:48
30,Barker,Graham,Fife AC,M,00:40:31
31,Munro,Frazer,Kinross RR,M40,00:40:38
32,Sinclair,David,Perth RR,M,00:41:02
33,Pettigrew,Iain,Ayr Seaforth,M40,00:41:06
34,McKiddie,Christopher,Westerlands,M,00:41:07
35,McArthur,Claire,Hamilton Harriers,F40,00:41:10
36,Jones,Tim,Kinross RR,M40,00:41:16
37,Rivers,Steve,Unattached,M,00:41:32
38,MacPhillimy,Ewan,Unattached,M40,00:42:07
39,Stewart,Graeme,Unattached,M,00:42:19
40,Stansfield,Lizzie,Central AC,F,00:42:23
41,Fitzpatrick,Pat,Ochils,M40,00:42:47
42,Fortune,Carole,Gala Harriers,F40,00:42:48
43,Smith,Brian,Fife AC,M40,00:42:56
44,Dales,Mike,Perth RR,M40,00:42:59
45,Aikman,Lisa,Perth RR,F,00:43:05
46,McCabe,Liam,Central AC,M40,00:43:30
47,Morrison,Ian,Ayr Seaforth,M40,00:43:35
48,Whitehouse,Megan,Unattached,F,00:43:43
49,Summers,Bobby,Beacon Runners,M40,00:43:53
50,Astley,Aidrian,Unattached,M40,00:44:02
51,Royles,Brodie,Unattached,M40,00:44:22
52,Fowler,Paul,Ochils,M40,00:44:27
53,Manson,Fiona,Perth RR,F40,00:44:44
54,Gall,Allan,Central AC,M40,00:44:45
55,Duncan,David,Ochils,M40,00:44:50
56,McEwan,Steven,Unattached,M,00:45:23
57,Kealey,Karen,Ochis,F40,00:45:40
58,McColm,Stuart,Ayr Seaforth,M40,00:45:51
59,Cessford,Lee,Falkland Trail Runners,M40,00:46:00
60,Evans,Mark,Stirling Tri Club,M40,00:46:10
61,Stevenson,David,Unattached,M40,00:46:23
62,Heron,Rosalind,Stag Orienteers,F,00:46:43
63,Gill,Peter,Unattached,M40,00:47:11
64,Russel,Naiomi,Unattached,F,00:47:35
65,Valentine,Russ,Falkland Trail Runners,M40,00:49:11
66,Moylett,Rebecca,Acorn,F,00:49:17
67,Main,Clinton,Unattached,M40,00:50:16
68,Heron,Caena,Stag Orienteers,F,00:50:49
69,Tweddle,Rowen,Dunblane RR,F40,00:51:01
70,Duff,Bill,Falkland Trail Runners,M40,00:51:01
71,Davidson,Stewart,Fife AC,M40,00:53:34
72,McKean,Lawrie,Jog Scotland Milngavie,M40,00:53:52
73,Crawford,Shona,Unattached,F40,00:56:35
74,Campbell,Cameron,Central AC,M40,01:10:12
75,Millar,John,Central AC,M40,01:10:12
