RunnerPosition,Surname,FirstName,Club,RunnerCategory,FinishTime
1,Wild,Finlay,Lochaber AC,M,00:48:16
2,Marshall,Brian,Help,M40,00:54:05
3,Wilby,David,Highland Hill Runners,M,00:54:11
4,Fraser,Calum,Lochaber AC,M,00:54:40
5,Taylor,Luke,Highland Hill Runners,M,00:55:21
6,Shephard,Francis,Unattached,M,00:55:24
7,Smith,Alan,Deeside,M50,00:55:53
8,Gay,Jon,Lochaber AC,M40,00:56:46
9,Gorman,Manny,Westerlands CCC,M40,00:59:41
10,Traill,Steven,Lochaber AC,M,01:00:07
11,McCluskie,Tay,Unattached,M,01:01:21
12,Ward,Jack,Unattached,M,01:01:55
13,Wilson,Stewart,Inverness Harriers,M40,01:02:27
14,MacDougall,Colin,Tinto Hill Runners,M40,01:02:53
15,Forrest,Stuart,Highland Hill Runners,M,01:03:01
16,Urquhart,John,Spey Runners,M40,01:03:20
17,Perrie,John,Wharfedale Harriers,M,01:04:00
18,Kennedy,Peter,Lochaber AC,M40,01:04:18
19,Bass,Owen,Deeside,M50,01:04:26
20,MacMillan,Gavin,Lochaber AC,M,01:04:34
21,Briffett,Graham,Highland Hill Runners,M40,01:04:58
22,Valentine,Yan,Lochaber AC,M,01:07:00
23,Bell,Michael,Lochaber AC,M40,01:07:03
24,Coghill,John,Unattached,M,01:07:10
25,Popple,Steve,Highland Hill Runners,M40,01:08:22
26,Gertig,Helen,Inverness Harriers,F,01:08:26
27,Till,Niall,Skye and Lochalsh running club,M,01:09:32
28,Inglis,Ricky,Unattached,M,01:09:35
29,Simpson,Geoff,HBT,M50,01:10:28
30,Blackhall,Keith,Lochaber AC,M40,01:10:34
31,Peebles,Kevin,Unattached,M40,01:10:55
32,Taylor,Gordie,Highland Hill Runners,M50,01:11:12
33,Meszaros,Tarquin,Unattached,M,01:12:14
34,Worsley,Steven,Inverness Harriers,M50,01:12:50
35,Blackhall,Amanda,Lochaber AC,F40,01:13:14
36,Moffat,John,Highland Hill Runners,M50,01:13:24
37,Gunn,Tark,Lochaber AC,M40,01:13:25
38,Weir,Jonathan,Unattached,M,01:13:29
39,Bowman,Angus,Lomond Hill Runners,M50,01:13:40
40,MacBeath,Niall,Lochaber AC,M40,01:14:20
41,Mardall,Lina,Deeside,F40,01:14:22
42,Shepherd,Andrew,Carnethy,M50,01:14:53
43,Matthewson,Alastair,Highland Hill Runners,M50,01:15:11
44,Gray,Ewan,Lochaber AC,M,01:15:19
45,Maclean,Robert,Lochaber AC,M40,01:15:29
46,Dudley,Mike,Unattached,M,01:15:54
47,Ingram,Richard,Cosmic Hill Bashers,M40,01:16:00
48,Neill,Gordon,Unattached,M,01:16:34
49,Wilson,Colin,Lomond Hill Runners,M50,01:17:15
50,McLaughlin,Robert,Unattached,M,01:17:55
51,MacSween,Alisdair,Unattached,M50,01:17:56
52,Britton,Colin,Lochaber AC,M,01:18:51
53,Betts,Richard,Unattached,M,01:18:55
54,Mitchell,Chris,Unattached,M60,01:18:59
55,Sinclair,Gordon,Unattached,M,01:19:18
56,Shaw,Trevor,Lochtayside,M50,01:19:19
57,Brett,Alec,Highland Hill Runners,M60,01:20:10
58,MacSween,Angus,Unattached,M,01:20:43
59,MacQueen,Robert,Unattached,M,01:21:02
60,Duncan,David,Ochill H.R.,M60,01:21:48
61,Brennan,Brian,Westerlands CCC,M50,01:22:49
62,Gaff,Melanie,Unattached,F,01:23:17
63,Gray,Neil,Unattached,M,01:24:21
64,Bolas,Conor,Unattached,M,01:24:22
