RunnerPosition,Surname,FirstName,Club,RunnerCategory,FinishTime
1,Steward,Joe,England,M,00:31:52
2,Jones,Kristian,Wales,M,00:32:34
3,Houghton,Bertie,England,M,00:33:29
4,Spencer,Tom,England,M,00:34:11
5,Lamont,Tim,England,M,00:34:28
6,Crowe,Jamie,Scotland,M,00:34:30
7,Simpson,Robbie,Scotland,M,00:34:34
8,Gollan,Ross,Scotland,M,00:34:47
9,Subuh-Symons,Oscar,England,M,00:35:01
10,Abernethy,Rory,Scotland,M,00:35:21
11,Wood,Tom,Wales,M,00:35:50
12,Foster,George,Matlock Athletic Club,M,00:36:15
13,Coupar,Alasdair,East Sutherland AC,M,00:37:33
14,Malcolm,Gregor,Ochil Hill Runners,M,00:37:59
15,Adkin,Scout,Scotland,F,00:38:33
16,Stewart,Ryan,Northern Ireland,M,00:38:47
17,Gollan,Ruairdh,East Sutherland AC,M,00:39:01
18,Holmes,Harry,Matlock Athletic Club,M,00:39:38
19,Mason,Alex,England,M,00:40:04
20,McKenna,Jack,Northern Ireland,M,00:40:32
21,Willhoit,Sara,England,F,00:40:36
22,Black,Tomas,Wales,M,00:40:39
23,Beaven,Ally,Highland Hill Runners,M,00:40:40
24,Manson,Iain,Unattached,M,00:40:49
25,Mcinally,Ralph,Strathearn Harriers,M,00:41:02
26,Pannone,Eve,England,F,00:41:17
27,Shaw,Emily,England,F,00:41:27
28,Dickson,Kirsty,Scotland,F,00:41:35
29,Johnston,Keith,Northern Ireland,M,00:41:52
30,Mcatee,Joshua,Northern Ireland,M,00:41:55
31,Williams,Phillipa,England,F,00:41:56
32,McMullan,Ethan,Northern Ireland,M20,00:42:04
33,Lang,Naomi,Scotland,F,00:42:13
34,Hall,Oliver,Unattached,M,00:42:27
35,Twentyman,Elle,England,F,00:42:37
36,Oldfield,Ifan,Wrexham AAC,M,00:42:46
37,Baxter,Grant,Ochil Hill Runners,M50,00:44:10
38,Weir,Ellen,England,F,00:44:26
39,Fullerton,Jack,Corstorphine,M,00:44:27
40,Zealley,Edward,Unattached,M,00:44:48
41,Graves,Catriona,Scotland,F,00:45:19
42,Entwistle,Katrina,Wales,F,00:45:34
43,Carcas,Pippa,Scotland,F,00:45:46
44,Logan,Bethan,Wales,F,00:45:58
45,Duncan,Eric,Highland Hill Runners,M50,00:46:42
46,Wood,Fergus,Deeside Runners,M,00:47:00
47,Stone,Malcolm,Aberdeen AAC,M50,00:48:11
48,Kirk,Lachlan,Unattached,M,00:50:15
49,Ryder,Hollie,Wales,F,00:51:03
50,Burza,Bart,Kinross Road Runners,M,00:52:00
51,Janowski,Krzysztof,Unattached,M,00:53:00
52,Greig,Kevin,Dundee Road Runners,M40,00:57:06
53,Rush,James,Keswick AC,M,00:59:26
54,Crutchley,Ashley,Northern Ireland,M,00:59:59
55,Thompson,Fabienne,Lomond Hill Runners,F50,01:00:44
56,Millar,David,Unattached,M50,01:02:33
57,Vigrow,Scott,Unattached,M,01:03:57
58,Arnot,Derek,Unattached,M60,01:04:44
59,Oliver,David,Deeside Runners,M60,01:06:02
60,Noble,Anne,Troon Tortoises,F60,01:07:02
61,Oliver,Jane,Deeside Runners,F60,01:23:17
