RunnerPosition,Surname,Firstname,Club,RunnerCategory,FinishTime
1,Gallagher,Ronnie,Westerlands CCC,MV40,2:30:20
2,Anderson,Adam,Carnethy Hill Running Club,MS,2:34:27
3,Smith,Bruce,Standard Life,MV40,2:43:19
4,Makin,Dave,Achille Ratti,MV40,2:45:23
5,Upson,Chris,Westerlands CCC,MV40,2:47:08
6,Templeman,Simon,Ochill Hill Runners,MS,2:55:48
7,Taylor,Nat,Girvan Harriers,MV50,2:57:22
8,Macleod,Murdo,Westerlands CCC,MV50,2:59:30
9,Hulme,Martin,Corstorphine,MV50,3:03:48
10,Brash,Colin,Girvan Harriers,MS,3:03:54
11,Reid,Don,Westerlands CCC,MV40,3:11:41
12,Mckendrick,Scott,Irvine RC,MS,3:14:27
13,Irving,Roger,Annan & District AC,MV40,3:14:34
14,Goldsworthy,John,Galloway Harriers,MV40,3:15:05
15,Gorgas,Steffen,Westerlands CCC,MS,3:20:41
16,Adams,Keith,Westerlands CCC,MV50,3:22:10
17,Abram,Michael,Arran Runners,MV40,3:26:25
18,Begley,Tommy,Irvine RC,MS,3:33:36
19,Reid,Martin,U/A,MV40,3:40:55
20,Priestley,Nigel,Annan & District AC,MV40,3:40:55
21,Mcmanus,Ian,Irvine RC,MV60,3:48:16
22,Mcara,Bish,U/A,MV40,3:48:22
23,Diver,Michael,Clydesdale Harriers,MS,3:49:01
24,Turnbull,Drew,Westerlands CCC,MV60,4:27:57
