RunnerPosition,Surname,Firstname,Club,RunnerCategory,FinishTime
1,Marshall,Brian,Help,MS,1:21:37
2,Anderson(jnr),Adam,Unknown,MS,1:23:02
3,Gallagher,Ronnie,Westerlands CCC,M40,1:23:27
4,Smith,Alan,Deeside Runners,M40,1:23:36
5,Bulloss,Nick,Arran Runners,MS,1:27:06
6,Smith,Bruce,Standard Life Athletic Club,M40,1:27:11
7,MacAllister,James,Unknown,MS,1:29:13
8,Brash,Colin,Girvan Harriers,MS,1:29:46
9,Allsop,Gordon,Arran Runners,MS,1:30:08
10,Jack,Ewan,Unknown,MS,1:30:38
11,McKendrick,Scott,Irvine RC,MS,1:30:53
12,Darlow,Tim,Unknown,MS,1:31:03
13,Watson,Robin,Ochil Hill Runners,M40,1:34:50
14,Taylor,Nat,Girvan Harriers,M40,1:35:42
15,Stanger,Chris,Arran Runners,MS,1:35:59
16,Brannan,Tosh,Unknown,M40,1:36:29
17,Liston,David,Unknown,MS,1:37:11
18,Diver,Michael,Clydesdale Harriers,MS,1:37:28
19,Cairns,Kenneth,Penicuick Harriers,MS,1:37:59
20,MacLeod,Murdo,Westerlands CCC,M50,1:38:26
21,Abram,Michael,Arran Runners,M40,1:38:27
22,Russel,Scott,J.w.kilmarnock Harriers,MS,1:38:33
23,Anderson,Laurie,Fife AC,M40,1:38:59
24,Rathjen,Jon,Hunters Bog Trotters,MS,1:39:02
25,Fraser,Garry,Unknown,MS,1:40:47
26,Buchanan,Peter,Ochil Hill Runners,M40,1:41:06
27,MacBeath,Niall,Lochaber AC,MS,1:42:21
28,Macnab,Graham,Lochaber AC,M40,1:42:59
29,Duncan,David,Ochil Hill Runners,M40,1:43:05
30,Adams,Keith,Westerlands CCC,M50,1:43:11
31,Gebbe,John,J.w.kilmarnock Harriers,M50,1:43:20
32,Gordon,Alasdair,Unknown,MS,1:44:06
33,Murray,Alasdair,J.w.kilmarnock Harriers,MS,1:44:26
34,Scriven,Alice,Unknown,SW,1:44:32
35,Gorgas,Steffen,Westerlands CCC,MS,1:45:30
36,Begley,Tommy,Irvine RC,MS,1:46:25
37,Miller,Colin,Irvine RC,M40,1:46:34
38,Pugh,Roderick,J.w.kilmarnock Harriers,M40,1:47:51
39,Shepherd,Andrew,Carnethy Hill Running Club,M40,1:48:05
40,Adamson,Richie,Unknown,MS,1:49:11
41,PAbram,Sp,Arran Runners,M40,1:51:10
42,Walker,Robert,Penicuick Harriers,M40,1:51:21
43,White,Jim,Irvine RC,M50,1:51:46
44,Wightman,Robbie,Unknown,MS,1:53:23
45,Hume,Nicol,Unknown,M40,1:54:19
46,Gary,Patrick,Unknown,M40,1:54:53
47,Davidson,Iain,Girvan Harriers,M40,1:55:18
48,Emsley,Paul,Arran Runners,M40,1:55:59
49,Milne,Ron,Forfar Road Runners,M40,1:56:14
50,Wilson,Alan,Westerlands CCC,M40,1:56:27
51,Dowell,Finlay,Irvine RC,M40,1:56:32
52,Baird,Iain,Unknown,M50,1:56:33
53,Gilmore,Tommy,Arran Runners,M50,1:58:01
54,Shaw,Lyndsey,Lochaber AC,SW,1:58:33
55,Anderson(snr),Adam,Unknown,M60,2:00:06
56,Rands,Maggie,Unknown,SW,2:00:18
57,Gatehouse,Richard,Lomond Hill Runners,M50,2:00:31
58,MacPherson,Helen,Westerlands CCC,W40,2:01:40
59,Ross,Susan-jane,Lochaber AC,SW,2:03:59
60,Headley,Philipa,Carnethy Hill Running Club,SW,2:04:41
61,Gray,Susan,Carnethy Hill Running Club,SW,2:04:56
62,Smith,Janice,Hunters Bog Trotters,W40,2:05:37
63,Ferguson,Angus,Shettleston Harriers,MS,2:06:03
64,McManus,Ian,Irvine RC,M60,2:06:33
65,Jack,Alex,Unknown,MS,2:06:53
66,Kitson,Aileen,Lochaber AC,W40,2:08:46
67,Kerr,G,J.w.kilmarnock Harriers,M40,2:08:57
68,Miller,Janice,Arran Runners,SW,2:09:16
69,Noble,Alistair,Girvan Harriers,M50,2:09:31
70,Rathjen,Mandy,Hunters Bog Trotters,W40,2:09:36
71,Knox,Isobel,Hunters Bog Trotters,SW,2:09:42
72,Ness,Joanna,Lochaber AC,W40,2:10:49
73,Spenceley,Hilary,Carnethy Hill Running Club,W40,2:12:40
74,King,Alex,Ochil Hill Runners,M40,2:14:29
75,Rathjen,Sandra,Hunters Bog Trotters,SW,2:14:48
76,Bailey,Tom,Arran Runners,M40,2:15:50
77,Proudfoot,Andrew,Unknown,MS,2:20:39
78,McFarlane,Paul,Unknown,MS,2:20:41
79,Davidson,Sean,Penicuick Harriers,M40,2:24:02
80,Robertson,Bridget,J.w.kilmarnock Harriers,SW,2:24:31
81,Miller,Mary,Irvine RC,W40,2:34:37
82,Hamilton,Iain,Unknown,M50,2:42:50
83,Gallagher,Gerard,Unknown,MS,2:44:58
84,Shand,Derek,Arran Runners,M40,2:51:40
