RunnerPosition,Surname,Firstname,Club,RunnerCategory,FinishTime
1,Whitehead,Dan,Cosmics,M,00:26:09
2,Simpson,Stuart,Ochil Hill Runners,M,00:26:54
3,Crowe,Des,Shettleston,M40,00:28:29
4,Shaw,Mark,Lochaber AC,M40,00:29:07
5,Stott,Etienne,Viking Kayak Club,M,00:30:03
6,Smith,Allan,Deeside Runners,M40,00:30:43
7,Scott,Dawn,Lochaber AC,F,00:31:11
8,Philips,Robert,Perth Road Runners,M,00:31:45
9,Robinson,Gordon,Perth Road Runners,M50,00:31:48
10,Ballie,Tim,Aberdeen Kayak Club,M,00:31:54
11,Holdway,Kevin,Cosmics,M,00:32:02
12,Taylor,J.J.,Unattached,M18,00:32:07
13,Holdway,Robert,Staff+Stone C.C.,M,00:32:18
14,Brady,Tom,Staff+Stone C.C.,M18,00:32:53
15,Kerr,Conor,Central AC,M16,00:34:14
16,Kerr,Hugh,Central AC,M40,00:34:15
17,Brady,Nick,Staff+Stone C.C.,M40,00:34:29
18,Haining,Leanne,Gala Harriers,F,00:34:33
19,Goddard,Dan,Peak UK,M,00:34:34
20,Bain,David,Staff+Stone C.C.,M16,00:34:57
21,Power,Thomas,Llandysul Paddlers,M18,00:36:00
22,Randall,Andrew,Addelstone C.C.,M18,00:36:24
23,Bradshaw,Dave,Manchester Canoe Club,M40,00:36:28
24,Brennan,Brian,Westerlands,M50,00:36:57
25,Thornton,Robert,Unattached,M40,00:39:17
26,Proctor,Mark,Staff+Stone C.C.,M18,00:41:26
27,Morley,Joe,West Yorkshire CC,M18,00:41:26
28,Mathews,Rachel,Unattached,F,00:41:46
29,Smith,Tilly,Deeside Runners,F,00:41:54
30,Morley,Ian,West Yorkshire CC,M40,00:41:58
31,Chynoweth,Fiona,Staff+Stone C.C.,F,00:42:00
32,Draper,Richard,Ribble Canoe Club,M18,00:45:25
33,Mathews,Alice,Dee Valley Racers,M18,00:46:38
34,Wells,Geoff,Manchester Canoe Club,M18,00:47:25
35,Franklin,Zachray,Windsor CC,M16,00:48:27
36,Bright,Julie,Matlock Canoe Club,F,00:48:43
37,Fishwick,Samantha,Unattached,F,00:48:43
38,Howcroft,Josh,Manchester Canoe Club,M18,00:52:57
39,Latham,Tom,Bradford & Bingley CC,M18,00:52:57
40,Shaw,Jonathan,Ribble Canoe Club,M16,00:53:48
