RunnerPosition,Surname,FirstName,Club,RunnerCategory,FinishTime
1,Stubbs,Harrison,Westerlands CCC,M,03:05:08
2,Appleton,James,Ullapool,M,03:08:54
3,Owens,Tom,Shettleston Harriers,M40,03:15:09
4,Bartholomew,Douglas,Highland Hill Runners,M,03:22:15
5,Killingbeck,Siobhan,Gairloch,F,03:31:39
6,Richardson,Alexander,Dornoch,M,03:32:52
7,Hodgson,Sarah,Highland Hill Runners,F,03:33:03
8,Wilson,Katie,Highland Hill Runners,F,03:36:24
9,Nicoll,Andy,Edinburgh,M,03:40:02
10,Tirbooman,Alice,Highland Hill Runners,F,03:42:08
11,Tindley,Georgia,Highland Hill Runners,F,03:49:19
12,Cummins,Dave,Highland Hill Runners,M50,03:49:30
13,Brooks,Fergus,Achnasheen,M,03:50:54
14,Maclennan,Iain,Highland Hill Runners,M50,03:56:56
15,Campbell,Ross,Highland Hill Runners,M,04:03:48
16,Sparks,Arron,Highland Hill Runners,M,04:11:29
17,Baptist,Maisie,Gairloch,F,04:11:41
18,Bee,Megan,Highland Hill Runners,F,04:11:58
19,Price,Ben,Forres,M,04:18:37
20,Duthie,James,Inverness,M40,04:20:04
21,Evans,Hannah,Fort William,F40,04:25:38
22,Stretton,Sarah,Torridon,F,04:29:28
23,Munro,Andrew,Glasgow,M,04:33:04
24,Williams,Lizzie,Achiltibuie,F40,04:34:04
25,Gilmour,Mairi,HBT,F,04:37:10
26,McLeod,Rachel,Forres Harriers,F,04:37:51
27,Huynh,Carla,Edinburgh,F,04:40:29
28,Colquhoun,Lucy,Peebles,F50,04:41:50
29,Steel,Mark,Gairloch,M60,04:44:32
30,McKay,Caroline,Fortrose,F40,04:45:59
31,Hammonds,Claire,Fortrose,F,04:45:59
32,Moffat,John,Highland Hill Runners,M60,04:50:20
33,Marsh,Catherine,Roy Bridge,F,04:50:25
34,Macdonald,Marcus,Ullapool,M,04:53:54
35,Johnston,Daniel,Burntisland,M50,04:55:53
36,Kerr,John,East Kilbride,M,04:59:44
37,Mackinlay,Gail,Fortrose,F40,05:00:56
38,Bretherton,Ged,Wigan,M60,05:05:42
39,Mathieson,Thomas,Evanton jog Scotland,M60,05:10:03
40,Fileman,Megan,Edinburgh,F,05:10:09
41,Simpson,Campbell,Inverness,M,05:10:11
42,Fletcher,Tasmin,Acharacle,F,05:12:27
43,King,Maggie,West Linton,F50,05:13:38
44,Darlow,Kate,Gala Harriers,F40,05:13:38
45,Goudie,Jamie,Inverness,M,05:14:51
46,Lee,Francesca,Penrith,F,05:14:51
47,Entwhistle,Dave,Coll Runnings,M,05:20:43
48,Hannay,Jack,Edinburgh,M,05:21:33
49,Bergius,Sam,London,M,05:21:33
50,Urquhart,Fiona,Evanton,F,05:24:13
51,Smith,Alan,Metro Aberdeen,M50,05:37:17
52,Polak,Jo,Torridon,F60,05:45:20
53,Rowantree,Jeanne,Golspie,F60,05:47:18
54,Hardy,Will,Llanberis,M,05:48:19
55,Downie,Timothy,Ayr Seaforth,M60,05:57:08
56,Comins,Kate,Earlston,F50,06:01:32
57,Walters,Emma,Arisaig,F50,06:01:32
58,Halliwell,Emma,Edinburgh,F,06:04:27
59,MacPherson,Isla,Ullapool,F,06:06:27
60,Cameron,Gordon,Aberdeen,M50,06:24:26
61,Fixter,Rebecca,Stirling,F,06:31:46
62,Rankin,Helena,Cairngorm Runners,F,06:32:24
63,Rowe,Madeleine,Cairngorm Runners,F,06:32:34
64,Harrison,Louise,Huntly,F40,06:34:18
65,Harrison,Scott,Huntly,M50,06:34:18
66,Austin,Fiona,Freuchie,F50,06:39:00
67,Wylie,Maz,Inverness,F40,06:37:00
68,Best,Matthew,Newtonmore,M,06:45:29
