RunnerPosition,Surname,FirstName,Club,RunnerCategory,FinishTime
1,Fraser,Scott,Lothian,M20,00:16:09
2,Anthony,Alasdair,Ochil HR,M21,00:16:15
3,Marshall,Brian,HELP,M21,00:16:23
4,Kitchin,Andy,Lothian,M40,00:17:47
5,Tullie,James,Edinburgh Uni H&H,M20,00:18:01
6,Crowe,Des,Shettleston,M40,00:18:17
7,Simpson,Stuart,Ochil HR,M40,00:18:26
8,Sanderson,Stuart,Penicuik Harriers,M40,00:18:35
9,Wiseman,Bob,Central AC,M21,00:18:48
10,Fraser,Stuart,City of Edinburgh,M18,00:18:53
11,Fairmaner,Bill,Cheshire Hill Racers,M40,00:18:59
12,Bennet,Sandy,Carnegie Harriers,M40,00:19:00
13,Upson,Chris,Westerlands,M40,00:19:02
14,Tullie,Andrew,Teviotdale,M18,00:19:03
15,Thin,Jamie,HBT,M21,00:19:09
16,Anderson,Russell,Moorfoot Runners,M40,00:19:14
17,Smith,Bruce,Standard Life,M40,00:19:21
18,Halsall,Steven,The Hub,M21,00:19:25
19,Wilkie,Grant,Corstorphine,M21,00:19:27
20,Fairgrieve,Andy,Annan & District AC,M40,00:19:31
21,Inglis,Robert,Lothian,M18,00:19:49
22,Booth,Vincent,Cheshire Hill Racers,M40,00:19:50
23,Riach,David,Westerlands,M40,00:20:24
24,Docherty,Richard,Lothian,M40,00:20:27
25,Hulme,Martin,Corstorphine,M50,00:20:30
26,Ballantyne,Dick,Keighley & Craven,M40,00:20:46
27,Daines,Luke,Bristol University,M20,00:20:46
28,Anderson,Laurie,Fife AC,M40,00:20:52
29,Ferguson,Grant,Glentress Riders,M18,00:20:59
30,Inglis,Mhairi,Lothian,F18,00:21:02
31,Pryde,Gordon,Lomond HR,M40,00:21:03
32,Hearne,Gregor,Unattached,M21,00:21:05
33,BH,G,HBT,M40,00:21:07
34,Inglis,Sarah,Lothian,F18,00:21:15
35,Waterhouse,Bob,Carnethy,M50,00:21:16
36,Tullie,John,Teviotdale,M40,00:21:23
37,McLeod,Mark,Moorfoot Runners,M18,00:21:25
38,Mooney,Edel,Lothian,F21,00:21:29
39,Paton,Derek,Standard Life,M21,00:21:30
40,Shiell,Dougie,Carnethy,M40,00:21:38
41,Morris,Robin,Carnethy,M50,00:21:48
42,Calder,Dave,Westerlands,M40,00:21:53
43,Maxwell,Ian,Unattached,M40,00:22:08
44,Jenkins,Kate,Carnethy,F21,00:22:09
45,Bowie,Tom,Carnegie Harriers,M60,00:22:12
46,Wardlaw,Eilidh,HBT,F21,00:22:13
47,Goldsworthy,John,Galloway Harriers,M50,00:22:32
48,Nelson,Scott,Lothian,M21,00:22:37
49,Steel,Tom,Hamilton Harriers,M21,00:22:41
50,Scott,Cameron,Carnethy,M40,00:22:46
51,Kerr,Andrew,Troon Tortoises,M21,00:22:47
52,Pickett,Sarah,Central AC,F21,00:22:48
53,Thompson,Darren,Lothian,M18,00:22:49
54,Telfer,John,Keswick AC,M40,00:22:56
55,Murdoch,George,Carnegie Harriers,M40,00:22:59
56,Carr,Dean,Corstorphine,M21,00:23:03
57,Veit,Jan,Corstorphine,M40,00:23:14
58,Singh,Shirley,Unattached,F40,00:23:18
59,Graham,Alan,Lomond HR,M50,00:23:24
60,Kingscott,Philip,Lothian,M18,00:23:24
61,Dalitz,Rod,Carnethy,M50,00:23:27
62,Anderson,Katy,Gala Harriers,F21,00:23:28
63,Mallett,Patrick,Lomond HR,M40,00:23:42
64,Cranston,Robert,Teviotdale,M40,00:24:02
65,Buchanan,Jim,Annan & District AC,M60,00:24:05
66,Campbell,Neil,Carnegie Harriers,M40,00:24:09
67,Vivers,Gordon,Annan & District AC,M40,00:24:15
68,Drain,Alex,Troon Tortoises,M50,00:24:17
69,Ledlie,Colin,Carnethy,M40,00:24:18
70,McEwen,Alex,City of Edinburgh,M50,00:24:46
71,Kingscott,Fraser,Lothian,M21,00:25:08
72,Sloan,Robin,Carnethy,M50,00:25:31
73,Sim,Andrew,Carnegie Harriers,M21,00:25:45
74,Alexander,Jim,Lothian,M40,00:25:48
75,Carr,Gillian,Corstorphine,F21,00:25:50
76,Law,David,Corstorphine,M40,00:25:50
77,Ruffell,Stuart,Carnethy,M50,00:25:52
78,McLeod,Chris,Moorfoot Runners,F40,00:25:55
79,McAdam,Pauline,Westerlands,F50,00:25:56
80,Davis,Gavin,Unattached,M21,00:26:07
81,Ballantyne,Karen,Keighley & Craven,F21,00:26:20
82,Bennet,Lynne,Carnegie Harriers,F21,00:26:37
83,McDonald,Alan,Carnethy,M40,00:26:37
84,Minto,John,Annan & District AC,M21,00:26:41
85,McIntosh,Willie,Nithsdale,M50,00:26:44
86,Hay,Brian,Overton Harriers,M21,00:26:45
87,Stapley,Tony,Portobello,M50,00:26:48
88,Robson,Jean,Annan & District AC,F40,00:26:55
89,Smith,Janice,HBT,F40,00:26:57
90,McDougal,Ian,Unattached,M21,00:27:23
91,Sim,Helene,Carnegie Harriers,M60,00:27:44
92,Winning,Brian,City of Edinburgh,M21,00:28:08
93,Sheridan,Brian,Unattached,F40,00:28:10
94,Reid,Derek,Unattached,M40,00:28:12
95,Robson,Rachael,Nithsdale,F18,00:28:30
96,Maxwell,Kirstin,Unattached,F18,00:28:56
97,Adcock,Graham,Unattached,M40,00:28:59
98,Turnbull,Drew,Westerlands,M60,00:29:14
99,Bennet,Bill,Penicuik Harriers,M60,00:29:15
100,Irons,Martin,Edinburgh Tri,M50,00:29:18
101,McCain,Fred,Carnethy,M50,00:29:44
102,Nimmo,Ian,Carnethy,M60,00:30:23
103,Hayes,Miya,Unattached,F18,00:30:32
104,Beveridge,Grant,Unattached,M18,00:30:49
105,Wall,Dick,HBT,M50,00:31:22
106,Morton,Jim,Unattached,M40,00:31:47
107,Turnbull,Margaret,Lothian,F40,00:32:00
108,Hayes,Derek,Unattached,M50,00:32:54
109,McGrath,Francis,Unattached,M21,00:33:40
110,McAdam,Myra,Westerlands,F21,00:34:14
111,Lane,Carl,Unattached,M60,00:34:42
112,Wall,Andrew,HBT,M21,00:36:00
113,Mills,Lauren,Unattached,F18,00:37:28
114,Davidson,Sean,Penicuik Harriers,M40,00:37:43
115,Adcock,Miriam,Leighton Fun Runners,F21,00:37:51
116,Hayes,Mary,Unattached,F40,00:37:53
117,Shearer,Hannah,Unattached,F18,00:41:02
118,Shearer,Colin,Unattached,M50,00:41:02
119,Puplett,Sarah,Reading,F21,00:42:14
