RunnerPosition,Surname,FirstName,Club,RunnerCategory,FinishTime
1,Whitehead,Dan,Unattached,M,00:59:14
2,Crowe,Des,Unattached,M40,01:00:24
3,Gill,Stephen,Unattached,M,01:02:48
4,MacLean,Paul,Unattached,M,01:03:40
5,Austin,Dave,Unattached,M,01:04:03
6,Simpson,Geoff,Unattached,M,01:05:13
7,Torrance,Peter,Unattached,M,01:10:03
8,Malone,Sean,Unattached,M40,01:11:03
9,Morrison,Alex,Unattached,M,01:11:27
10,Higginbottom,Jacqui,Unattached,F,01:13:20
11,McVey,Maureen,Unattached,F40,01:13:44
12,Morgan,Dougal,Unattached,M50,01:14:29
13,Gray,Russell,Unattached,M40,01:15:12
14,Brennan,Brian,Unattached,M,01:15:50
15,Hall,Jeff,Unattached,M,01:16:08
16,Easson,Craig,Unattached,M,01:16:27
17,McNeil,Craig,Unattached,M,01:18:00
18,Fowler,John,Unattached,M,01:18:02
19,Davidson,Ian,Unattached,M,01:19:21
20,Gregory,Martin,Unattached,M40,01:19:44
21,Pearson,Robert,Unattached,M40,01:21:36
22,Willis,Steve,Unattached,M,01:21:56
23,Munro,Iain,Unattached,M,01:21:59
24,Mcnab,Mike,Unattached,M,01:22:48
25,Gardner,Andrei,Unattached,M,01:23:20
26,Dalgorno,Roy,Unattached,M,01:23:26
27,Malone,Irene,Unattached,F,01:24:13
28,Lander-Stow,Richard,Unattached,M,01:27:11
29,Duguid,Francis,Unattached,M,01:27:18
30,Bryce,Murray,Unattached,M,01:27:30
31,Bannerman,Isobel,Unattached,F50,01:28:22
32,Ogg,Bill,Unattached,M,01:28:40
33,Bannerman,John,Unattached,M50,01:28:55
34,Whitehead,Jim,Unattached,M,01:32:38
35,Johnston,Alison,Unattached,F,01:37:03
36,Creegan,Joe,Unattached,M,01:42:46
37,Creegan,Martin,Unattached,M,01:42:46
38,Ross,Roger,Unattached,M,01:43:15
39,MacDonald,Fiona,Unattached,F,01:43:44
40,Burtwell,Gillian,Unattached,F,01:44:34
41,Bryant,Margaret,Unattached,F,01:45:31
42,McKnight,Rebecca,Unattached,F,01:45:37
43,Ross,Lynn,Unattached,F,01:45:56
44,Duthie,Andrew,Unattached,M,01:49:25
45,Overton,Andy,Unattached,M,01:54:25
46,Lynch,Mark,Unattached,M,01:54:25
47,Marshall,Katy,Unattached,F,01:56:45
48,Marshall,Richard,Unattached,M50,01:56:45
